Samples	ID83A	ID83B	ID83C
SP135192	0	0	2
SP135335	8	11	37
SP135278	4	0	20
SP135287	60569	3710	0
SP135345	71	22	190
SP85122	93829	6611	0
SP84384	101328	0	310
SP135184	0	0	7
SP135226	38	115	76
SP135436	422	604	280
SP135262	12	41	80
SP135431	429	970	233
SP135425	169	294	377
SP135222	85	291	96
SP135230	106	95	109
SP135205	40	26	33
SP135180	0	0	5
SP135213	101	27	224
SP135217	0	0	1
SP135405	154	317	337
SP135238	6	0	2
SP135270	151	220	494
SP135411	84	87	113
SP135188	34	30	136
SP135194	118	145	104
SP135186	79	128	226
SP135420	283	124	370
SP135258	12	40	18
SP135234	261	525	360
SP135293	0	0	5
SP135393	144	171	282
SP135299	93	322	402
SP135415	18	57	123
SP135310	0	0	1
SP135323	11	0	136
SP135390	3	15	27
SP135209	11	22	43
SP135240	75	422	197
SP135182	1376	943	509
SP85251	17	214	185
SP84408	31	86	164
SP84491	735	1379	1133
SP84743	835	194	2155
SP83967	129	108	244
SP105253	429	1133	520
SP84998	370	373	172
SP84062	5	55	151
SP84982	52976	0	0
SP84790	263	279	677
SP105673	128	0	1249
SP85339	569	936	149
SP84719	404	213	244
SP105425	660	738	225
SP84056	144	557	627
SP105261	148	139	245
SP85379	587	846	438
SP105086	373	364	836
SP84392	98097	4078	0
SP105018	0	0	4707
SP84858	749	405	775
SP84086	0	444	195
SP105213	385	302	311
SP105577	304	206	303
SP85431	17	242	264
SP84962	78	377	257
SP105006	331	192	460
SP84439	89485	2508	3886
SP105159	175	174	324
SP85230	2	0	1045
SP84922	1200	256	870
SP85130	655	476	447
SP104984	208	309	230
SP85222	72	131	109
SP105375	440	1398	1249
SP85287	129	668	252
CPCT02060042T	0	92	125
CPCT02130027T	91	323	284
CPCT02290024T	981	1344	429
CPCT02230080T	672	827	298
CPCT02070282T	620	692	485
CPCT02060201T	402	976	289
CPCT02010752T	147	226	368
CPCT02130046T	476	607	390
CPCT02190033T	648	1299	450
WIDE01010213T	687	262	1265
CPCT02440010T	669	966	1058
WIDE01010272T	382	338	184
DRUP01070085T	76267	14834	0
CPCT02380045T	245	1342	394
CPCT02150013T	178	294	393
CPCT02010769T	322	427	608
CPCT02450014T	26952	240534	0
CPCT02130122T	106	782	342
CPCT02230107T	1133	572	324
DRUP01090017T	798	1095	1503
CPCT02020781T	557	394	1436
CPCT02310016T	416	369	416
CPCT02300050T	951	522	977
CPCT02020808T	708	506	767
CPCT02050414T	593	1485	459
CPCT02230042T	0	212	120
CPCT02040170T	110	177	529
CPCT02330059T	1050	1314	867
CPCT02330063T	859	1007	652
CPCT02020512T	229	590	167
CPCT02110031T	285	416	544
CPCT02030347T	167318	0	0
CPCT02050179T	1192	1373	518
CPCT02010591T	224	340	486
CPCT02170007T	614	218	841
CPCT02210025T	435	657	1020
CPCT02030376T	411	223	504
CPCT02050110T	528	1058	716
CPCT02030318T	1017	1177	591
CPCT02100056T	381	18	349
CPCT02030326T	414	710	491
CPCT02120007T	711	569	777
WIDE01010573T	500	626	1211
WIDE01010693T	351	434	330
