Samples	ID83A	ID83B	ID83C	ID83D	ID83E
SP135192	8.68E-02	0.00E+00	3.94E-02	0.00E+00	9.03E-02
SP135335	2.47E-01	0.00E+00	8.21E-01	6.38E-01	3.45E-01
SP135278	2.21E-01	1.46E-01	4.58E-01	0.00E+00	3.81E-01
SP135287	2.98E+01	3.09E+01	1.53E+01	1.75E+00	1.81E+00
SP135345	9.98E-01	4.22E-01	1.86E+00	9.03E-01	9.45E-01
SP85122	4.57E+01	4.73E+01	2.75E+01	5.02E+00	2.43E+00
SP84384	4.09E+01	4.55E+01	3.70E+01	2.78E+00	2.59E+00
SP135184	0.00E+00	0.00E+00	2.53E-01	1.97E-01	2.76E-01
SP135226	1.14E+00	8.17E-01	1.43E+00	1.30E-01	5.50E-01
SP135436	2.89E+00	3.01E+00	4.12E+00	1.11E+00	1.08E+00
SP135262	2.43E-01	1.43E-01	7.52E-01	5.79E-01	3.98E-01
SP135431	3.64E+00	5.07E+00	6.12E+00	2.12E+00	1.07E+00
SP135425	2.16E+00	1.42E+00	3.04E+00	1.94E+00	1.35E+00
SP135222	1.55E+00	1.96E+00	2.45E+00	5.72E-01	7.09E-01
SP135230	1.33E+00	9.10E-01	1.64E+00	5.25E-01	5.53E-01
SP135205	6.96E-01	5.14E-01	7.99E-01	0.00E+00	2.94E-01
SP135180	0.00E+00	9.32E-02	1.91E-01	1.92E-01	0.00E+00
SP135213	1.35E+00	5.90E-01	2.00E+00	4.52E-01	1.45E+00
SP135217	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
SP135405	2.27E+00	2.07E+00	3.39E+00	8.00E-01	1.53E+00
SP135238	1.69E-01	1.65E-01	2.11E-01	1.68E-01	4.00E-02
SP135270	1.99E+00	1.78E+00	2.90E+00	7.98E-01	2.07E+00
SP135411	1.33E+00	8.10E-01	1.58E+00	2.85E-01	6.44E-01
SP135188	8.49E-01	2.84E-01	1.69E+00	1.63E+00	7.95E-01
SP135194	1.53E+00	1.12E+00	1.86E+00	5.44E-01	5.51E-01
SP135186	1.39E+00	2.25E-01	1.80E+00	7.67E-01	1.11E+00
SP135420	2.32E+00	8.36E-01	2.82E+00	1.14E+00	1.17E+00
SP135258	5.63E-01	8.41E-01	9.97E-01	1.00E-02	3.64E-01
SP135234	2.64E+00	2.59E+00	4.11E+00	1.88E+00	1.26E+00
SP135293	0.00E+00	1.00E-02	1.50E-01	1.20E-01	1.58E-01
SP135393	1.92E+00	1.10E+00	3.25E+00	2.85E+00	8.45E-01
SP135299	1.86E+00	1.58E+00	2.97E+00	2.41E+00	1.38E+00
SP135415	7.45E-01	3.26E-01	1.19E+00	4.74E-01	8.47E-01
SP135310	0.00E+00	0.00E+00	5.03E-02	0.00E+00	5.03E-02
SP135323	3.84E-01	2.00E-02	2.41E+00	1.06E+00	1.59E+00
SP135390	2.96E-01	0.00E+00	5.26E-01	2.98E-01	3.92E-01
SP135209	4.79E-01	4.42E-02	7.74E-01	6.62E-01	1.00E-02
SP135240	2.00E+00	2.28E+00	3.18E+00	7.00E-01	1.09E+00
SP135182	4.88E+00	4.50E+00	7.04E+00	1.77E+00	1.63E+00
SP85251	1.10E+00	1.07E+00	1.73E+00	1.00E-02	8.36E-01
SP84408	9.01E-01	6.08E-01	1.55E+00	1.11E+00	7.66E-01
SP84491	5.73E+00	6.25E+00	1.13E+01	6.40E+00	2.59E+00
SP84743	1.50E+01	2.40E+00	8.79E+00	1.45E+01	3.22E+00
SP83967	1.66E+00	6.95E-01	2.02E+00	5.12E-01	9.82E-01
SP105253	4.05E+00	5.79E+00	7.67E+00	4.09E+00	1.29E+00
SP84998	2.44E+00	2.31E+00	3.41E+00	3.19E-01	7.52E-01
SP84062	6.18E-01	4.85E-01	2.10E+00	1.34E+00	9.04E-01
SP84982	1.60E+01	1.57E+01	9.08E+00	4.24E+00	1.49E+00
SP84790	2.82E+00	1.15E+00	3.94E+00	3.96E+00	1.23E+00
SP105673	2.20E+00	1.37E+00	4.29E+00	8.35E-01	3.95E+00
SP85339	3.23E+00	5.22E+00	5.97E+00	1.38E+00	1.01E+00
SP84719	2.44E+00	1.75E+00	3.02E+00	1.12E+00	1.16E+00
SP105425	3.45E+00	4.16E+00	5.28E+00	2.20E+00	1.13E+00
SP84056	2.50E+00	3.51E+00	4.90E+00	1.77E+00	2.19E+00
SP105261	1.75E+00	1.19E+00	2.28E+00	1.22E+00	1.31E+00
SP85379	3.73E+00	4.96E+00	7.62E+00	4.10E+00	1.19E+00
SP105086	3.23E+00	1.77E+00	4.38E+00	9.80E-01	2.54E+00
SP84392	4.00E+01	4.13E+01	1.63E+01	4.39E+00	2.69E+00
SP105018	7.55E+00	4.01E+00	0.00E+00	7.38E+00	9.41E+00
SP84858	3.89E+00	1.87E+00	4.82E+00	2.05E+00	2.75E+00
SP84086	8.84E-01	3.68E+00	4.25E+00	7.90E-01	1.32E+00
SP105213	2.22E+00	1.71E+00	3.26E+00	9.65E-01	1.49E+00
SP105577	2.25E+00	1.60E+00	2.81E+00	1.06E+00	1.13E+00
SP85431	1.05E+00	9.41E-01	1.80E+00	2.04E-01	1.34E+00
SP84962	2.03E+00	1.85E+00	3.07E+00	8.50E-01	1.09E+00
SP105006	2.64E+00	1.48E+00	3.30E+00	1.67E+00	1.57E+00
SP84439	3.83E+01	4.45E+01	4.64E+01	1.59E+01	1.51E+00
SP105159	1.92E+00	6.71E-01	2.17E+00	4.12E-01	1.02E+00
SP85230	1.38E+00	1.78E-01	3.31E+00	9.11E-01	3.24E+00
SP84922	4.43E+00	1.72E+00	6.01E+00	5.80E+00	2.12E+00
SP85130	3.36E+00	2.33E+00	4.38E+00	1.49E+00	1.33E+00
SP104984	2.00E+00	2.19E+00	3.08E+00	1.21E+00	1.11E+00
SP85222	1.18E+00	8.71E-01	1.50E+00	5.89E-01	5.98E-01
SP105375	7.43E+00	5.51E+00	1.04E+01	9.50E+00	2.11E+00
SP85287	2.33E+00	3.74E+00	4.35E+00	8.68E-01	1.24E+00
CPCT02060042T	2.35E-01	1.19E+00	4.99E+00	3.53E+00	1.29E+00
CPCT02130027T	1.63E+00	2.52E+00	1.13E+01	9.41E+00	1.15E+00
CPCT02290024T	4.84E+00	8.24E+00	1.88E+01	1.17E+01	1.35E+00
CPCT02230080T	3.49E+00	4.93E+00	1.17E+01	8.53E+00	1.10E+00
CPCT02070282T	3.41E+00	3.16E+00	8.93E+00	6.54E+00	1.16E+00
CPCT02060201T	3.48E+00	8.55E+00	1.94E+01	1.24E+01	1.47E+00
CPCT02010752T	1.98E+00	1.84E+00	1.15E+01	1.06E+01	1.53E+00
CPCT02130046T	3.32E+00	3.91E+00	1.21E+01	9.70E+00	1.11E+00
CPCT02190033T	4.32E+00	8.22E+00	2.24E+01	1.56E+01	1.72E+00
WIDE01010213T	3.77E+00	3.41E+00	1.57E+01	1.27E+01	3.35E+00
CPCT02440010T	5.66E+00	4.48E+00	2.21E+01	1.84E+01	1.84E+00
WIDE01010272T	2.37E+00	2.63E+00	5.57E+00	3.87E+00	9.42E-01
DRUP01070085T	4.54E+01	7.43E+01	1.34E+02	7.14E+01	4.44E+00
CPCT02380045T	3.26E+00	7.39E+00	1.61E+01	9.91E+00	1.29E+00
CPCT02150013T	2.12E+00	2.06E+00	1.22E+01	1.10E+01	1.44E+00
CPCT02010769T	2.76E+00	2.85E+00	1.03E+01	8.55E+00	1.72E+00
CPCT02450014T	4.77E+02	4.61E+02	2.84E+01	1.91E+01	1.39E+00
CPCT02130122T	2.45E+00	5.56E+00	1.19E+01	7.48E+00	1.36E+00
CPCT02230107T	3.59E+00	4.06E+00	1.16E+01	9.10E+00	9.83E-01
DRUP01090017T	7.96E+00	4.65E+00	2.16E+01	1.77E+01	2.50E+00
CPCT02020781T	3.76E+00	4.11E+00	2.03E+01	1.66E+01	3.48E+00
CPCT02310016T	3.04E+00	2.33E+00	1.25E+01	1.08E+01	9.42E-01
CPCT02300050T	3.82E+00	3.07E+00	1.56E+01	1.31E+01	2.19E+00
CPCT02020808T	3.67E+00	4.86E+00	1.06E+01	5.75E+00	2.63E+00
CPCT02050414T	4.28E+00	7.97E+00	1.41E+01	6.63E+00	1.84E+00
CPCT02230042T	5.09E-02	2.04E+00	8.19E+00	6.23E+00	8.40E-01
CPCT02040170T	1.51E+00	1.32E+00	6.69E+00	6.08E+00	1.04E+00
CPCT02330059T	5.06E+00	7.62E+00	2.59E+01	1.91E+01	2.38E+00
CPCT02330063T	4.15E+00	5.09E+00	1.65E+01	1.26E+01	1.77E+00
CPCT02020512T	2.62E+00	3.46E+00	4.74E+00	2.44E+00	8.45E-01
CPCT02110031T	2.80E+00	1.61E+00	8.10E+00	7.17E+00	1.47E+00
CPCT02030347T	7.36E+01	5.67E+01	1.41E+02	8.27E+01	7.68E+00
CPCT02050179T	5.20E+00	9.14E+00	2.08E+01	1.25E+01	1.89E+00
CPCT02010591T	2.40E+00	2.06E+00	9.49E+00	7.99E+00	1.35E+00
