Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
SP135192	0	0	1	0	0	1
SP135335	7	0	38	0	2	9
SP135278	5	0	10	0	0	9
SP135287	58577	2797	1990	915	0	0
SP135345	71	0	138	0	24	50
SP85122	91254	6684	0	2502	0	0
SP84384	99744	1494	0	0	0	400
SP135184	0	0	1	0	0	6
SP135226	31	10	175	9	0	4
SP135436	367	237	584	37	28	53
SP135262	4	0	98	0	20	11
SP135431	315	352	688	163	114	0
SP135425	136	8	566	0	76	54
SP135222	67	112	254	19	9	11
SP135230	99	14	170	0	12	15
SP135205	39	2	53	0	0	5
SP135180	0	2	0	0	2	1
SP135213	104	0	132	0	6	110
SP135217	0	0	0	0	0	1
SP135405	135	71	490	6	15	91
SP135238	7	0	0	0	0	1
SP135270	132	72	352	60	11	238
SP135411	80	0	186	0	1	17
SP135188	20	0	96	0	57	27
SP135194	104	18	209	19	4	13
SP135186	69	0	296	0	20	48
SP135420	283	0	372	0	42	80
SP135258	10	19	34	1	0	6
SP135234	208	137	620	56	69	56
SP135293	0	0	0	0	0	5
SP135393	94	24	275	0	177	27
SP135299	42	30	553	0	149	43
SP135415	13	0	149	0	9	27
SP135310	0	0	0	0	0	1
SP135323	12	0	62	0	7	66
SP135390	1	0	35	0	3	6
SP135209	7	0	51	0	16	2
SP135240	52	126	445	29	12	30
SP135182	1256	328	1042	53	76	73
SP85251	8	19	366	0	0	23
SP84408	20	0	210	0	27	24
SP84491	534	411	1418	308	373	203
SP84743	145	34	0	33	2929	43
SP83967	127	0	289	0	10	55
SP105253	276	430	855	205	277	39
SP84998	332	96	426	50	0	11
SP84062	0	0	164	0	7	40
SP84982	52976	0	0	0	0	0
SP84790	167	0	614	0	371	67
SP105673	157	0	208	0	19	993
SP85339	446	330	597	240	41	0
SP84719	385	56	339	0	34	47
SP105425	550	273	553	154	84	9
SP84056	94	233	580	107	64	250
SP105261	132	7	274	17	35	67
SP85379	446	275	688	208	226	28
SP105086	361	0	936	0	23	253
SP84392	95772	4857	1502	0	3	41
SP105018	88	165	0	0	249	4205
SP84858	699	64	696	103	86	281
SP84086	0	199	372	0	0	68
SP105213	356	49	491	6	29	67
SP105577	286	23	364	35	17	88
SP85431	3	8	427	30	1	54
SP84962	58	92	495	0	16	51
SP105006	325	0	491	1	30	136
SP84439	87650	1336	5306	0	1256	331
SP105159	171	0	438	0	4	60
SP85230	26	0	144	0	14	863
SP84922	1138	0	669	0	371	148
SP85130	601	42	764	58	53	60
SP104984	177	76	379	48	31	36
SP85222	62	15	201	14	7	13
SP105375	35	539	965	259	1285	4
SP85287	87	225	599	93	15	30
CPCT02060042T	0	10	159	19	0	29
CPCT02130027T	0	0	49	563	27	59
CPCT02290024T	752	322	763	823	71	23
CPCT02230080T	499	208	339	617	113	21
CPCT02070282T	481	90	604	431	165	26
CPCT02060201T	225	245	276	803	72	46
CPCT02010752T	62	0	0	502	63	114
CPCT02130046T	304	60	236	639	207	27
CPCT02190033T	412	421	362	998	144	60
WIDE01010213T	562	0	126	681	220	625
CPCT02440010T	307	87	358	1127	728	86
WIDE01010272T	319	74	190	273	19	29
DRUP01070085T	70663	7515	0	12301	622	0
CPCT02380045T	68	409	622	733	134	15
CPCT02150013T	84	0	67	553	68	93
CPCT02010769T	174	44	227	500	284	128
CPCT02450014T	22358	245128	0	0	0	0
CPCT02130122T	7	228	352	555	11	77
CPCT02230107T	982	99	260	562	110	16
DRUP01090017T	307	153	458	1123	1262	93
CPCT02020781T	447	0	376	804	46	714
CPCT02310016T	300	0	228	460	187	26
CPCT02300050T	773	0	402	696	365	214
CPCT02020808T	603	216	136	571	39	416
CPCT02050414T	406	455	837	739	35	65
CPCT02230042T	0	50	121	138	0	23
CPCT02040170T	0	1	111	200	449	55
CPCT02330059T	760	220	670	1216	241	124
CPCT02330063T	672	102	748	841	70	85
CPCT02020512T	162	193	381	216	24	10
CPCT02110031T	209	0	520	330	76	110
CPCT02030347T	167318	0	0	0	0	0
CPCT02050179T	937	337	637	1040	55	77
CPCT02010591T	129	0	305	392	150	74
CPCT02170007T	561	0	137	620	91	264
CPCT02210025T	58	0	0	1102	859	93
CPCT02030376T	357	0	215	339	67	160
CPCT02050110T	330	241	751	610	263	107
CPCT02030318T	829	310	781	700	64	101
CPCT02100056T	377	0	16	153	87	115
CPCT02030326T	275	144	512	429	176	79
CPCT02120007T	450	89	128	694	630	66
WIDE01010573T	425	0	1198	281	91	342
WIDE01010693T	252	73	321	296	145	28
