Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
SP135192	0	0	0	0	0	2	0	0	0
SP135335	5	0	0	6	2	28	1	3	11
SP135278	3	0	2	0	0	7	0	5	7
SP135287	37793	21664	0	4594	0	228	0	0	0
SP135345	39	0	7	4	0	193	10	12	18
SP85122	55756	36673	2100	5911	0	0	0	0	0
SP84384	48338	52979	321	0	0	0	0	0	0
SP135184	0	0	0	0	0	5	0	2	0
SP135226	37	0	0	79	3	51	0	3	56
SP135436	318	119	60	416	0	175	29	62	127
SP135262	0	15	2	24	0	18	14	5	55
SP135431	355	137	0	740	0	134	129	36	101
SP135425	126	8	7	203	0	295	62	36	103
SP135222	81	19	27	197	0	37	11	18	82
SP135230	76	9	25	52	0	93	9	7	39
SP135205	16	26	7	11	0	18	0	2	19
SP135180	0	0	0	0	0	5	0	0	0
SP135213	75	20	5	39	4	37	5	91	76
SP135217	0	0	0	0	0	0	0	1	0
SP135405	143	0	20	235	0	164	13	83	150
SP135238	4	0	0	0	0	0	0	0	4
SP135270	138	27	11	210	20	25	14	234	186
SP135411	37	47	12	45	0	106	0	6	31
SP135188	10	9	0	13	9	88	41	10	20
SP135194	102	2	0	109	5	88	3	11	47
SP135186	54	11	0	90	0	158	14	29	77
SP135420	197	21	24	83	0	193	28	36	195
SP135258	12	2	5	27	0	12	0	8	4
SP135234	237	5	10	394	4	240	66	62	128
SP135293	0	0	0	0	1	0	0	4	0
SP135393	85	15	9	113	4	128	156	21	66
SP135299	56	13	1	217	8	235	130	31	126
SP135415	5	16	1	35	3	54	6	13	65
SP135310	0	0	0	0	0	0	0	0	1
SP135323	5	0	0	0	0	50	0	18	74
SP135390	3	0	0	10	0	14	3	4	11
SP135209	3	8	0	11	4	7	11	0	32
SP135240	74	37	0	312	0	106	15	41	109
SP135182	1003	314	73	689	0	435	70	77	167
SP85251	11	33	2	139	3	64	0	18	146
SP84408	20	0	4	48	12	114	18	6	59
SP84491	630	0	103	947	116	836	344	203	68
SP84743	184	58	54	25	71	26	2615	76	75
SP83967	75	50	0	79	0	61	8	30	178
SP105253	352	89	70	798	29	205	284	77	178
SP84998	308	36	17	277	0	96	2	16	163
SP84062	0	5	11	19	22	81	4	16	53
SP84982	32768	20009	0	0	0	90	109	0	0
SP84790	106	80	24	161	0	280	294	28	246
SP105673	129	0	18	26	19	156	12	882	135
SP85339	566	5	4	744	15	139	51	34	96
SP84719	80	413	33	98	6	79	27	31	94
SP105425	505	172	24	549	19	150	88	34	82
SP84056	160	1	65	423	34	141	65	264	175
SP105261	123	0	6	108	12	100	30	57	96
SP85379	519	0	29	627	39	338	225	49	45
SP105086	301	0	68	255	6	314	16	180	433
SP84392	51215	46550	1037	3373	0	0	0	0	0
SP105018	41	118	12	41	0	70	239	4186	0
SP84858	591	99	13	379	22	54	85	270	416
SP84086	9	0	0	383	21	84	16	99	27
SP105213	302	48	0	243	0	179	27	63	136
SP105577	220	69	8	159	21	96	16	77	147
SP85431	28	0	0	163	24	147	0	43	118
SP84962	25	116	0	262	0	113	17	56	123
SP105006	263	0	30	131	36	270	19	95	139
SP84439	36415	57547	10	946	0	0	961	0	0
SP105159	104	60	14	113	0	82	4	28	268
SP85230	25	0	0	0	35	130	3	721	133
SP84922	838	91	34	173	19	817	291	63	0
SP85130	503	89	0	374	6	175	51	56	324
SP104984	187	0	23	219	12	90	30	36	150
SP85222	37	49	0	82	14	62	6	9	53
SP105375	190	103	32	995	32	216	1289	71	159
SP85287	150	0	47	454	24	271	15	39	49
CPCT02060042T	0	0	1	28	107	36	0	12	33
CPCT02130027T	83	43	0	94	336	6	20	30	86
CPCT02290024T	881	74	22	869	402	390	67	44	5
CPCT02230080T	592	48	33	518	295	73	113	42	83
CPCT02070282T	488	70	35	418	209	60	152	28	337
CPCT02060201T	380	93	8	580	423	13	77	76	17
CPCT02010752T	128	20	0	45	353	0	48	71	76
CPCT02130046T	417	9	0	354	315	0	195	39	144
CPCT02190033T	622	0	189	663	516	107	138	74	88
WIDE01010213T	561	48	44	175	385	170	186	561	84
