Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
SP135192	0	0	0	0	2	0	0
SP135335	7	0	9	0	40	0	0
SP135278	5	0	0	0	14	0	5
SP135287	56928	0	7351	0	0	0	0
SP135345	69	0	17	0	197	0	0
SP85122	88262	0	12178	0	0	0	0
SP84384	95978	0	5660	0	0	0	0
SP135184	0	0	0	0	7	0	0
SP135226	19	0	104	0	106	0	0
SP135436	307	0	630	0	297	0	72
SP135262	0	0	35	0	80	18	0
SP135431	221	0	1015	0	260	136	0
SP135425	107	0	277	0	386	70	0
SP135222	34	0	300	0	138	0	0
SP135230	88	0	93	0	129	0	0
SP135205	34	0	24	0	41	0	0
SP135180	0	0	0	0	5	0	0
SP135213	91	5	45	9	102	5	95
SP135217	0	0	0	0	0	0	1
SP135405	96	0	325	0	295	0	92
SP135238	8	0	0	0	0	0	0
SP135270	100	14	265	33	201	11	241
SP135411	68	0	76	0	140	0	0
SP135188	21	0	24	0	98	43	14
SP135194	91	0	145	0	131	0	0
SP135186	58	0	120	0	220	0	35
SP135420	242	26	90	2	346	29	42
SP135258	4	0	43	0	14	0	9
SP135234	149	11	515	2	328	71	70
SP135293	0	0	0	0	0	0	5
SP135393	79	11	149	2	169	161	26
SP135299	13	9	284	1	335	136	39
SP135415	11	5	42	1	118	6	15
SP135310	0	0	0	0	1	0	0
SP135323	13	0	0	0	112	0	22
SP135390	0	0	15	0	25	0	5
SP135209	6	0	15	0	43	12	0
SP135240	0	0	424	0	224	0	46
SP135182	1195	0	1018	0	615	0	0
SP85251	0	0	174	0	242	0	0
SP84408	15	6	59	13	158	20	10
SP84491	398	93	1269	138	746	369	234
SP84743	264	146	0	0	0	2774	0
SP83967	107	0	97	0	245	0	32
SP105253	161	80	1067	30	363	296	85
SP84998	295	0	372	0	248	0	0
SP84062	1	16	22	22	125	5	20
SP84982	52976	0	0	0	0	0	0
SP84790	153	0	235	0	517	314	0
SP105673	152	16	30	32	229	13	905
SP85339	401	0	1012	0	241	0	0
SP84719	360	0	222	0	279	0	0
SP105425	494	26	735	24	212	93	39
SP84056	26	73	552	39	298	66	274
SP105261	112	5	133	21	170	31	60
SP85379	372	18	828	60	297	235	61
SP105086	302	70	292	25	679	15	190
SP84392	92323	0	9852	0	0	0	0
SP105018	0	0	144	0	0	290	4273
SP84858	631	7	457	66	414	80	274
SP84086	0	177	191	0	202	0	69
SP105213	321	0	319	0	288	0	70
SP105577	251	10	202	32	222	15	81
SP85431	0	0	202	0	275	0	46
SP84962	0	0	392	0	255	0	65
SP105006	276	26	160	57	340	22	102
SP84439	86917	0	8962	0	0	0	0
SP105159	145	0	149	0	379	0	0
SP85230	43	0	0	0	260	0	744
SP84922	1025	15	252	45	580	312	97
SP85130	565	0	493	0	520	0	0
SP104984	143	21	275	24	216	30	38
SP85222	47	4	112	12	118	7	12
SP105375	0	0	1311	0	501	1275	0
SP85287	11	53	606	16	294	19	50
CPCT02060042T	0	40	0	79	98	0	0
CPCT02130027T	5	5	124	452	64	19	29
CPCT02290024T	655	12	1152	534	269	77	55
CPCT02230080T	450	23	676	412	80	115	41
CPCT02070282T	424	32	520	309	336	152	24
CPCT02060201T	159	0	796	560	0	78	74
CPCT02010752T	57	0	58	501	0	51	74
CPCT02130046T	280	0	461	518	0	214	0
CPCT02190033T	336	180	871	706	88	142	74
WIDE01010213T	536	33	226	533	123	193	570
CPCT02440010T	288	52	590	841	185	664	73
WIDE01010272T	288	39	235	197	102	17	26
DRUP01070085T	71501	0	19600	0	0	0	0
CPCT02380045T	0	0	1110	460	302	109	0
CPCT02150013T	83	25	81	469	110	50	47
CPCT02010769T	163	55	249	382	146	252	110
CPCT02450014T	22968	244518	0	0	0	0	0
CPCT02130122T	0	171	428	357	200	0	74
CPCT02230107T	918	59	394	407	143	99	9
DRUP01090017T	302	112	643	842	274	1145	78
CPCT02020781T	402	4	312	704	325	33	607
CPCT02310016T	268	0	188	410	179	156	0
CPCT02300050T	704	22	308	617	336	308	155
CPCT02020808T	563	63	489	378	16	39	433
CPCT02050414T	282	94	1243	456	314	42	106
CPCT02230042T	0	80	0	190	62	0	0
CPCT02040170T	0	53	0	280	96	387	0
CPCT02330059T	676	116	866	897	346	221	109
CPCT02330063T	592	49	717	613	409	64	74
CPCT02020512T	110	47	493	123	162	27	24
CPCT02110031T	177	48	221	311	357	60	71
CPCT02030347T	167318	0	0	0	0	0	0
CPCT02050179T	843	71	1076	709	232	56	96
CPCT02010591T	122	76	109	344	250	115	34
CPCT02170007T	481	0	0	710	362	0	120
CPCT02210025T	84	0	271	984	0	773	0
CPCT02030376T	312	0	120	346	200	51	109
CPCT02050110T	247	26	897	401	341	261	129
CPCT02030318T	732	104	925	477	375	63	109
CPCT02100056T	324	0	0	177	121	60	66
CPCT02030326T	220	0	622	279	221	176	97
CPCT02120007T	437	96	285	533	93	562	51
WIDE01010573T	344	38	453	366	817	69	250
WIDE01010693T	222	26	323	211	170	135	28
