Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
SP85623	7	0	5	0	20	0	7	0	24	5
SP85491	2	0	0	0	15	0	29	17	35	0
SP87582	2	0	0	0	5	27	7	0	5	17
SP89090	2	12	4	0	14	0	0	1	39	0
SP85511	11	0	6	0	0	23	59	40	14	4
SP85952	0	8	1	0	0	0	0	46	0	0
SP85840	7	3	0	0	0	0	0	54	10	18
SP87675	0	8	0	12	3	0	0	28	4	12
SP85836	0	4	1	7	25	14	0	0	94	10
SP120767	6	0	8	0	26	0	31	30	31	6
SP105708	2	0	0	20	19	0	0	44	0	11
SP85818	0	0	0	0	0	0	0	0	0	2
SP105922	2	0	0	0	37	0	0	0	20	2
SP86118	9	0	0	7	39	0	0	37	0	2
SP86306	7	17	0	0	59	74	0	2	0	0
SP87099	10	0	2	16	49	12	0	0	0	14
SP87434	5	9	0	0	0	0	0	32	15	9
SP85864	0	4	2	3	0	0	0	0	0	15
SP105807	0	4	0	10	23	16	0	0	51	0
SP89291	1	6	0	4	30	0	0	0	0	11
SP88050	1	12	0	0	19	0	0	0	0	10
SP88593	2	5	0	0	0	0	0	47	0	18
SP88158	1	2	0	0	23	0	0	0	0	3
SP87534	4	27	7	0	2	41	55	35	0	14
SP88776	0	9	0	0	1	0	0	56	37	0
SP85725	2	13	0	1	0	0	4	0	64	0
SP86660	0	25	2	5	22	8	11	35	32	22
SP87903	0	6	0	0	0	0	8	19	15	0
SP88098	1	16	4	0	20	0	80	0	0	0
SP85487	0	49	0	32	0	49	71	30	0	10
SP105759	10	2	3	0	0	0	0	36	0	9
SP86775	0	0	2	0	0	0	0	1	13	4
SP88322	3	19	0	0	44	0	0	12	15	0
SP85582	0	9	2	10	2	0	4	11	26	23
SP87446	9	14	0	0	30	121	0	0	0	27
SP87337	2	0	0	0	5	0	0	0	26	7
SP86929	3	17	7	0	45	35	40	0	6	4
SP86130	7	7	1	0	0	0	0	20	17	21
SP86425	21	13	0	0	102	0	0	0	0	0
SP85495	4	0	0	0	0	0	0	6	1	18
SP85787	0	0	3	0	1	0	0	12	3	22
SP86836	0	0	0	0	0	0	0	0	0	16
SP89245	0	1	0	8	0	0	0	0	22	1
SP86989	4	0	2	10	37	0	73	0	9	16
SP88757	0	2	3	0	13	0	13	0	28	0
SP85733	6	0	6	0	54	0	0	26	0	7
SP85737	0	0	2	0	2	0	0	19	0	2
SP85647	3	3	0	0	23	8	0	3	7	20
CPCT02011098T	14	39	73	0	0	0	32	0	30	0
WIDE01010618T	54	781	68	78	9	0	0	11	11	4
WIDE01010310T	0	9	50	683	0	0	0	0	13	2
CPCT02080230T	10	124	187	0	3	0	0	39	26	0
CPCT02010914T	4	13	156	0	0	53	0	0	3	1
DRUP01010057T	0	34	234	210	4	0	182	17	0	20
CPCT02010635T	40	0	501	118	47	0	36	0	0	7
WIDE01010556T	3196	460	180	0	0	90	0	0	0	0
WIDE01010540T	0	109	37	87	0	243	34	0	0	1
