Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
SP85623	4.33E-01	1.85E-01	3.18E-01	3.66E-01	1.00E+00	3.33E-01	9.01E-01	1.02E+00	1.12E+00	5.75E-01	1.14E+00	5.26E-01	5.81E-01
SP85491	2.54E-01	1.44E-01	1.50E-01	2.71E-01	2.14E+00	6.52E-01	1.77E+00	1.71E+00	2.25E+00	1.23E+00	1.76E+00	4.77E-01	6.87E-01
SP87582	1.96E-01	2.84E-01	2.05E-01	2.90E-01	9.82E-01	8.50E-01	6.85E-01	8.23E-01	9.33E-01	1.15E+00	9.18E-01	1.09E+00	9.31E-01
SP89090	2.26E-01	4.18E-01	3.15E-01	3.61E-01	5.77E-01	1.17E+00	1.62E+00	1.32E+00	1.74E+00	1.24E+00	1.44E+00	2.87E-01	7.73E-01
SP85511	7.32E-01	4.47E-01	6.15E-01	7.95E-01	3.04E+00	1.82E+00	2.63E+00	8.89E-01	2.03E+00	2.67E+00	2.31E+00	6.67E-01	1.79E+00
SP85952	9.86E-02	3.23E-01	2.11E-01	1.50E-01	1.21E+00	9.32E-01	1.51E+00	8.34E-01	9.07E-01	1.54E+00	6.75E-01	5.70E-01	6.86E-01
SP85840	4.30E-01	2.01E-01	0.00E+00	3.58E-01	1.11E+00	6.00E-01	1.79E+00	9.22E-01	1.56E+00	1.15E+00	1.12E+00	1.07E+00	4.73E-01
SP87675	3.99E-01	6.07E-01	1.00E-02	6.59E-01	8.93E-01	6.13E-01	1.08E+00	8.23E-01	6.83E-01	8.04E-01	8.12E-01	7.46E-01	4.50E-01
SP85836	3.16E-01	4.85E-01	3.22E-01	8.83E-01	2.10E+00	1.17E+00	2.94E+00	1.99E+00	3.37E+00	1.35E+00	2.38E+00	9.27E-01	1.67E+00
SP120767	6.17E-01	1.12E-01	5.61E-01	6.92E-01	2.04E+00	8.70E-01	2.13E+00	1.56E+00	2.00E+00	1.55E+00	1.87E+00	6.39E-01	1.05E+00
