Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
SP85623	6	0	4	0	0	5	0	10	0	13	25	0	0	0	0	0	5
SP85491	0	2	0	0	0	1	1	14	10	26	42	0	0	0	0	1	1
SP87582	0	0	2	0	0	1	0	0	0	4	0	5	0	0	0	42	9
SP89090	0	4	4	2	11	0	9	9	0	0	20	0	0	13	0	0	0
SP85511	0	0	7	10	5	1	0	0	64	0	16	0	0	0	0	52	2
SP85952	0	4	0	0	0	14	7	0	24	0	0	0	0	6	0	0	0
SP85840	6	0	0	0	0	13	45	4	3	0	8	0	0	5	0	0	8
SP87675	0	10	0	8	0	0	25	2	2	0	0	15	0	0	0	0	5
SP85836	0	9	0	2	3	0	0	13	34	0	56	31	0	0	0	0	7
SP120767	4	0	6	0	0	21	40	1	0	31	13	22	0	0	0	0	0
SP105708	0	2	0	16	0	0	10	17	22	16	0	0	0	6	0	0	7
SP85818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SP105922	1	0	0	0	0	0	15	9	0	6	0	25	0	5	0	0	0
SP86118	6	0	0	6	0	0	0	35	44	0	0	0	0	0	0	0	3
SP86306	6	0	0	0	71	0	0	41	10	8	0	2	0	21	0	0	0
SP87099	0	0	0	22	7	0	0	10	0	48	0	8	0	0	0	1	7
SP87434	4	9	0	0	0	0	30	1	10	0	13	0	0	0	0	0	3
SP85864	0	1	2	3	5	0	0	0	0	0	0	0	0	0	0	2	11
SP105807	0	5	0	5	0	12	0	12	0	0	6	0	0	64	0	0	0
SP89291	0	6	0	3	0	0	0	11	0	0	0	25	0	0	0	0	7
SP88050	0	8	0	0	5	0	0	22	0	0	0	0	0	0	0	0	7
SP88593	1	5	1	0	0	0	55	4	0	0	0	0	0	0	0	0	6
SP88158	1	2	0	0	0	0	0	10	0	0	0	14	0	0	0	0	2
SP87534	3	2	6	0	59	47	31	0	0	23	8	0	0	0	0	0	6
SP88776	0	6	1	0	0	0	5	0	7	0	0	14	0	70	0	0	0
SP85725	0	12	0	3	0	8	1	0	0	0	60	0	0	0	0	0	0
SP86660	1	5	2	0	29	22	52	0	0	2	6	30	0	0	0	6	7
SP87903	0	4	0	0	0	0	0	0	3	8	11	0	0	9	0	13	0
SP88098	0	0	0	0	3	97	0	0	0	17	0	4	0	0	0	0	0
SP85487	0	10	0	24	101	16	19	0	29	1	9	0	0	0	0	29	3
SP105759	10	0	0	0	0	0	14	0	19	0	0	0	0	2	6	4	5
SP86775	0	0	1	0	0	0	0	0	10	0	7	0	0	0	0	0	2
SP88322	2	9	0	0	11	0	0	26	0	0	0	5	0	40	0	0	0
SP85582	1	6	0	3	0	0	19	0	0	2	10	9	0	0	5	21	11
SP87446	0	0	1	10	76	0	7	27	10	0	0	13	0	0	0	42	15
SP87337	2	1	0	0	0	0	0	0	0	0	12	18	0	3	0	0	4
SP86929	1	1	7	0	45	28	0	28	0	22	20	2	0	0	0	0	3
SP86130	5	5	0	1	0	0	0	0	10	0	0	0	0	39	0	0	13
SP86425	15	2	1	0	0	0	6	89	0	0	0	0	17	6	0	0	0
SP85495	2	0	0	2	0	0	16	0	0	0	0	0	0	0	0	0	9
SP85787	0	0	3	0	0	0	23	0	0	5	0	0	0	0	0	0	10
SP86836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
SP89245	0	1	0	5	0	0	1	0	0	0	6	9	0	5	0	5	0
SP86989	0	13	1	8	3	0	2	0	0	80	13	23	0	0	0	0	8
SP88757	0	0	3	0	0	7	0	0	0	0	7	34	0	0	0	8	0
SP85733	4	0	5	0	0	0	2	24	8	16	0	24	0	11	0	0	5
SP85737	0	0	1	0	0	0	0	0	15	7	0	0	0	0	0	0	2
SP85647	1	1	0	0	0	0	7	17	3	0	6	0	0	0	0	21	11
CPCT02011098T	8	9	25	0	0	34	0	0	0	0	15	0	0	0	97	0	0
WIDE01010618T	0	731	54	110	95	0	9	0	1	0	0	11	0	4	0	0	1
WIDE01010310T	0	103	53	510	0	0	22	0	13	0	9	42	0	5	0	0	0
CPCT02080230T	0	68	92	0	16	0	8	6	2	0	14	0	0	0	183	0	0
CPCT02010914T	0	17	131	0	8	0	0	0	0	0	0	0	0	0	15	59	0
DRUP01010057T	0	26	184	125	0	179	0	17	75	0	0	0	81	0	0	0	14
CPCT02010635T	0	2	418	130	0	151	0	9	4	31	0	0	0	0	0	0	4
WIDE01010556T	3117	540	139	0	130	0	0	0	0	0	0	0	0	0	0	0	0
WIDE01010540T	0	60	28	14	92	11	0	0	23	55	0	0	228	0	0	0	0
