MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	2.48E-04	1.82E-03	4.53E-04	4.97E-04	1.99E-03
1:Del:C:1	1.97E-04	2.51E-03	4.66E-04	4.27E-04	2.65E-03
1:Del:C:2	1.38E-04	1.53E-03	4.19E-04	2.10E-04	1.73E-03
1:Del:C:3	1.07E-04	7.90E-04	2.96E-04	3.04E-04	9.14E-04
1:Del:C:4	7.12E-05	5.82E-04	1.12E-04	1.81E-04	7.81E-04
1:Del:C:5	1.99E-04	4.42E-04	3.02E-04	3.31E-04	4.06E-04
1:Del:T:0	2.29E-04	2.67E-03	5.48E-04	3.91E-04	2.57E-03
1:Del:T:1	2.29E-04	1.69E-03	5.08E-04	2.76E-04	1.79E-03
1:Del:T:2	1.64E-04	1.22E-03	3.83E-04	3.96E-04	1.83E-03
1:Del:T:3	2.09E-04	9.80E-04	3.71E-04	1.46E-04	1.18E-03
1:Del:T:4	2.33E-04	1.12E-03	3.88E-04	2.49E-04	1.38E-03
1:Del:T:5	1.44E-03	6.04E-03	2.03E-03	1.97E-03	9.61E-04
1:Ins:C:0	5.49E-04	3.85E-04	3.91E-04	1.60E-04	9.42E-05
1:Ins:C:1	1.09E-04	5.22E-04	2.40E-04	2.71E-04	1.95E-04
1:Ins:C:2	7.28E-05	2.94E-04	1.22E-04	7.22E-05	3.19E-04
1:Ins:C:3	6.98E-05	1.71E-04	1.89E-04	2.04E-04	1.47E-04
1:Ins:C:4	1.03E-04	1.88E-04	1.41E-04	2.07E-04	9.78E-05
1:Ins:C:5	1.66E-04	5.00E-04	3.48E-04	4.70E-04	3.84E-04
1:Ins:T:0	2.66E-04	7.92E-04	3.82E-04	5.05E-04	7.01E-04
1:Ins:T:1	2.10E-04	1.48E-03	3.97E-04	3.39E-04	1.79E-03
1:Ins:T:2	1.88E-04	6.99E-04	2.91E-04	2.64E-04	6.39E-04
1:Ins:T:3	1.44E-04	7.04E-04	2.30E-04	3.12E-04	7.48E-04
1:Ins:T:4	1.69E-04	3.82E-04	3.16E-04	2.14E-04	6.33E-04
1:Ins:T:5	1.30E-03	6.24E-03	3.05E-03	2.45E-03	6.53E-04
2:Del:R:0	1.39E-04	1.13E-03	4.06E-04	2.70E-04	1.11E-03
2:Del:R:1	1.59E-04	8.50E-04	3.31E-04	4.35E-04	1.02E-03
2:Del:R:2	6.99E-05	5.40E-04	2.08E-04	2.37E-04	4.96E-04
2:Del:R:3	7.36E-05	1.77E-04	1.81E-04	2.17E-04	1.17E-04
2:Del:R:4	5.65E-05	1.64E-04	1.60E-04	1.46E-04	7.45E-05
2:Del:R:5	1.22E-04	9.68E-04	2.91E-04	1.13E-04	4.15E-03
3:Del:R:0	6.59E-05	5.47E-04	2.35E-04	8.19E-05	6.57E-04
3:Del:R:1	1.21E-04	1.33E-03	3.39E-04	5.69E-04	1.56E-03
3:Del:R:2	2.43E-05	4.72E-04	9.61E-05	2.05E-04	4.73E-04
3:Del:R:3	0.00E+00	2.99E-04	2.38E-05	1.47E-04	3.87E-04
3:Del:R:4	2.84E-05	3.50E-04	1.27E-09	1.07E-04	5.95E-04
3:Del:R:5	0.00E+00	5.43E-04	4.09E-05	1.72E-04	8.90E-04
4:Del:R:0	7.69E-05	3.79E-04	2.94E-04	1.84E-04	5.13E-04
4:Del:R:1	1.02E-04	1.16E-03	2.31E-04	3.28E-04	1.39E-03
4:Del:R:2	9.06E-05	4.33E-04	1.75E-04	8.12E-05	5.38E-04
4:Del:R:3	5.54E-05	4.15E-04	8.84E-05	2.11E-04	4.98E-04
4:Del:R:4	3.95E-10	4.04E-04	7.13E-05	2.00E-05	6.04E-04
4:Del:R:5	4.17E-05	1.27E-04	8.29E-05	4.80E-06	2.10E-04
