Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
SP85623	7	0	5	27	22	0	7
SP85491	2	0	0	72	24	0	0
SP87582	0	5	4	16	0	13	25
SP89090	2	11	3	49	7	0	0
SP85511	0	0	12	77	0	57	11
SP85952	0	7	2	21	15	4	6
SP85840	8	0	0	42	7	3	32
SP87675	7	12	0	12	14	0	22
SP85836	5	6	0	131	0	0	13
SP120767	6	1	11	65	43	0	12
SP105708	8	0	0	0	45	23	20
SP85818	0	0	0	0	0	0	2
SP105922	1	0	0	14	44	0	2
SP86118	10	0	0	0	71	8	5
SP86306	0	43	0	0	99	17	0
SP87099	17	8	2	0	58	0	18
SP87434	1	2	0	26	0	23	18
SP85864	2	5	2	0	0	0	15
SP105807	5	11	1	63	24	0	0
SP89291	3	8	0	0	27	0	14
SP88050	0	12	0	0	18	0	12
SP88593	3	5	0	0	27	0	37
SP88158	1	2	0	0	22	0	4
SP87534	0	45	16	40	43	17	24
SP88776	0	6	0	84	10	0	3
SP85725	3	11	0	70	0	0	0
SP86660	2	29	3	66	27	0	35
SP87903	0	7	0	34	5	0	2
SP88098	0	28	12	15	66	0	0
SP85487	0	65	2	60	7	90	17
SP105759	9	0	3	6	13	9	20
SP86775	0	0	2	12	0	0	6
SP88322	2	19	0	9	63	0	0
SP85582	6	11	3	31	0	0	36
SP87446	0	53	1	0	70	38	39
SP87337	2	0	0	28	0	0	10
SP86929	0	35	13	22	80	3	4
SP86130	8	6	1	26	0	0	32
SP86425	18	12	0	0	106	0	0
SP85495	4	0	0	0	0	0	25
SP85787	0	0	3	4	0	0	34
SP86836	0	0	0	0	0	0	16
SP89245	5	2	0	24	0	0	1
SP86989	9	11	6	46	58	0	21
SP88757	0	2	4	49	4	0	0
SP85733	5	0	5	0	79	0	10
SP85737	0	0	2	0	18	0	5
SP85647	2	6	0	0	28	0	31
CPCT02011098T	14	39	84	51	0	0	0
WIDE01010618T	90	816	89	2	13	0	6
WIDE01010310T	373	163	86	53	0	75	7
CPCT02080230T	8	119	211	34	14	0	3
CPCT02010914T	0	26	187	6	0	7	4
DRUP01010057T	41	33	278	0	3	318	28
CPCT02010635T	101	13	573	0	58	0	4
WIDE01010556T	3438	180	224	56	0	28	0
WIDE01010540T	0	180	69	0	54	206	2
