NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	67.42	62.363	13.204	47.721	70.639	0.82	1000000.0
2	65.607	62.73	12.825	47.743	105.739	0.822	1000000.0
3	65.562	60.416	12.541	46.388	140.763	0.835	1000000.0
4	63.889	61.912	12.316	48.32	88.127	0.826	1000000.0
5	63.991	62.105	11.966	47.876	70.648	0.825	1000000.0
6	66.529	62.062	12.773	47.494	105.654	0.824	1000000.0
7	65.945	62.275	12.686	48.025	70.613	0.818	1000000.0
8	65.629	63.383	12.238	47.555	88.349	0.819	1000000.0
9	65.432	62.055	12.641	48.587	53.088	0.821	1000000.0
10	65.791	61.715	12.604	47.358	35.597	0.823	1000000.0
11	64.071	62.922	12.045	47.728	88.199	0.812	1000000.0
12	65.523	61.783	12.888	46.869	105.68	0.829	1000000.0
13	64.726	61.376	11.719	45.382	123.192	0.833	1000000.0
14	65.464	62.87	12.234	47.338	140.774	0.815	1000000.0
15	63.939	62.356	11.991	47.878	70.595	0.82	1000000.0
16	63.787	61.063	12.123	46.785	88.145	0.831	1000000.0
17	64.452	59.953	12.224	45.635	88.182	0.84	1000000.0
18	63.752	62.137	12.115	47.552	123.248	0.821	1000000.0
19	65.159	62.448	12.577	48.179	140.722	0.823	1000000.0
20	64.462	59.748	12.063	46.226	70.617	0.845	1000000.0
21	63.28	61.99	12.202	48.1	140.793	0.818	1000000.0
22	67.231	61.375	13.184	47.564	53.068	0.826	1000000.0
23	63.769	60.607	12.318	47.169	88.108	0.831	1000000.0
24	66.033	61.041	12.773	47.461	53.067	0.828	1000000.0
25	65.365	62.561	12.541	48.202	228.472	0.816	1000000.0
26	62.634	60.439	11.431	45.233	88.126	0.832	1000000.0
27	65.84	63.996	12.25	48.936	140.968	0.797	1000000.0
28	65.36	61.816	12.762	47.56	53.152	0.817	1000000.0
29	62.918	61.596	11.896	47.285	105.652	0.822	1000000.0
30	67.635	61.461	13.576	47.043	175.813	0.83	1000000.0
31	67.018	62.725	13.011	48.068	123.234	0.822	1000000.0
32	64.338	62.279	11.902	48.257	123.231	0.819	1000000.0
33	67.14	62.765	12.952	49.135	70.623	0.819	1000000.0
34	66.154	61.585	12.748	48.239	70.586	0.825	1000000.0
35	66.132	60.969	12.599	46.946	140.747	0.832	1000000.0
36	64.975	59.771	12.655	47.014	105.626	0.83	1000000.0
37	63.415	60.923	11.734	46.621	53.096	0.832	1000000.0
38	64.606	60.096	12.456	46.267	53.045	0.832	1000000.0
39	66.223	63.036	12.578	48.409	105.728	0.818	1000000.0
40	62.686	59.27	11.344	44.904	70.587	0.844	1000000.0
41	65.587	63.21	12.585	47.412	70.651	0.814	1000000.0
42	65.191	63.608	12.174	47.548	88.184	0.812	1000000.0
43	67.849	61.964	13.71	48.196	123.185	0.825	1000000.0
44	65.749	61.367	12.803	47.694	175.901	0.825	1000000.0
45	63.282	61.425	11.645	46.316	88.128	0.828	1000000.0
46	64.636	62.962	12.507	48.567	228.526	0.808	1000000.0
47	62.902	62.387	11.553	47.303	140.777	0.821	1000000.0
48	67.566	62.358	13.907	48.237	35.625	0.815	1000000.0
49	64.524	62.968	11.883	47.943	123.262	0.819	1000000.0
