Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
SP95454	18303	1396	3389	3534	1303	397	0	0	0	0	0	0	0	0
SP94741	38221	1940	6048	5944	1937	1042	0	0	0	0	0	0	0	0
SP90209	58553	36962	24810	6887	0	0	0	0	0	0	0	0	0	0
SP90989	41539	2597	2391	2694	639	497	8	11	0	252	0	0	0	0
SP93540	71051	2409	7397	10187	0	2619	0	0	0	2377	0	0	0	0
SP93227	60823	58025	6676	3815	0	0	0	0	0	0	0	0	0	0
SP94348	36522	1278	4950	6596	253	767	0	0	0	0	0	0	0	0
SP94588	21	51	94	11	38	2	6	42	137	0	44	37	49	1
SP90725	5	5	120	0	36	0	2	8	63	59	27	7	75	0
SP94236	25	5	67	3	0	15	10	32	155	0	41	116	38	4
SP93772	22	37	10	11	32	0	5	33	100	0	47	33	49	6
SP92195	18	90	57	4	49	4	7	47	63	0	55	99	10	11
SP89957	139	29	87	0	5	4	6	3	61	0	52	41	48	4
SP92268	93	29	81	10	42	0	5	8	95	0	47	28	0	0
SP92707	27	18	54	0	11	0	3	1	141	0	48	23	0	7
SP89687	94	26	54	0	0	0	0	55	98	0	38	122	0	13
SP90269	0	18	190	25	0	11	5	22	68	3	39	37	25	45
SP94933	23355	1299	16998	1195	20908	0	19	0	0	0	0	0	0	512
SP95126	117	49	0	0	0	0	0	98	214	114	6	218	0	0
SP95646	31	69	75	4	17	9	6	24	79	0	45	128	0	18
SP89443	25	17	77	0	0	20	3	9	31	0	71	72	35	11
SP89651	21	14	37	9	0	2	1	42	45	0	28	66	0	18
SP94060	22	0	108	12	0	0	4	0	96	0	50	58	23	4
SP92787	7	31	14	0	5	3	1	21	82	0	67	47	0	14
SP92723	42	16	130	20	0	4	2	12	126	0	27	48	1	6
SP92364	38415	4647	5760	3913	6707	88	10	0	0	0	0	0	0	144
SP95406	0	42	9	12	5	0	0	10	114	30	51	19	5	7
SP91746	17	35	40	0	20	0	0	24	102	0	20	26	27	12
SP92332	26	130	25	13	4	0	2	131	95	37	15	240	0	2
SP91730	27	39	6	33	40	2	1	551	95	0	12	166	17	0
SP92947	35	15	126	0	66	0	0	11	129	43	23	20	26	13
SP91666	89	33	164	10	20	25	0	10	47	0	23	114	0	11
SP90245	18	59	37	12	31	12	3	38	74	0	97	142	0	7
SP90893	12	44	45	8	22	2	2	24	41	0	77	146	4	14
SP89519	50	0	91	9	6	3	0	9	180	0	3	3	52	2
SP94917	10539	1181	2953	2627	0	480	0	10	0	0	17	66	0	0
SP92659	395	572	2155	0	38	0	29	0	9	0	55	102	0	347
SP94332	70	0	6	0	0	0	11	764	0	0	225	0	0	0
SP94661	55	7	93	0	23	0	1	26	135	0	22	71	34	11
SP93652	20	54	82	0	47	3	7	16	90	0	97	20	2	3
SP90125	7	57	57	3	0	1	21	8	57	31	66	84	44	16
SP94540	35	22	282	0	0	9	10	32	76	0	62	11	22	6
SP95222	156	142	19	0	0	5	2	60	113	0	49	195	0	1
SP89389	84	24	32	6	0	0	7	42	206	27	37	71	11	0
SP90503	22	47	28	0	0	10	0	7	113	0	80	22	5	9
SP92460	8438	841	1747	2079	796	262	0	23	0	0	0	0	0	0
SP92931	49	39	52	6	0	0	2	27	173	39	62	50	0	16
SP91265	128	98	57	23	0	0	6	26	164	13	80	148	8	7
SP89909	8314	1458	592	2225	0	57	15	1	0	0	0	0	0	0
SP90629	69	100	0	0	5	8	11	53	109	92	69	382	0	34
