Samples	ID83A	ID83B	ID83C
SP95454	2.18E+01	2.19E+01	1.58E+00
SP94741	3.62E+01	3.61E+01	2.51E+00
SP90209	9.84E+01	9.84E+01	0.00E+00
SP90989	3.35E+01	3.37E+01	2.20E+00
SP93540	6.19E+01	6.17E+01	3.01E+00
SP93227	9.81E+01	9.77E+01	1.50E+00
SP94348	3.44E+01	3.45E+01	2.08E+00
SP94588	9.55E-01	1.64E+00	1.38E+00
SP90725	9.66E-01	1.34E+00	1.13E+00
SP94236	1.02E+00	1.55E+00	1.43E+00
SP93772	8.85E-01	1.30E+00	1.22E+00
SP92195	9.17E-01	1.66E+00	1.40E+00
SP89957	1.37E+00	1.58E+00	1.40E+00
SP92268	1.31E+00	1.31E+00	1.15E+00
SP92707	9.39E-01	1.30E+00	1.09E+00
SP89687	9.68E-01	1.44E+00	1.32E+00
SP90269	6.09E-02	1.21E+00	1.21E+00
SP94933	5.35E+01	5.34E+01	2.74E+00
SP95126	1.36E+00	1.58E+00	1.57E+00
SP95646	9.01E-01	1.52E+00	1.46E+00
SP89443	8.79E-01	1.27E+00	1.24E+00
SP89651	7.76E-01	1.03E+00	8.89E-01
SP94060	7.55E-01	1.30E+00	1.12E+00
SP92787	6.40E-01	9.70E-01	9.01E-01
SP92723	1.08E+00	1.30E+00	1.25E+00
SP92364	3.79E+01	3.77E+01	2.40E+00
SP95406	7.98E-01	1.22E+00	1.13E+00
SP91746	7.82E-01	1.28E+00	1.13E+00
SP92332	1.10E+00	1.75E+00	1.62E+00
SP91730	1.09E+00	1.77E+00	1.80E+00
SP92947	1.08E+00	1.75E+00	1.47E+00
SP91666	1.23E+00	1.59E+00	1.27E+00
SP90245	8.74E-01	1.40E+00	1.18E+00
SP90893	8.52E-01	1.41E+00	1.25E+00
SP89519	1.11E+00	1.63E+00	1.28E+00
SP94917	1.36E+01	1.37E+01	3.36E+00
SP92659	4.18E+00	4.66E+00	2.22E+00
SP94332	9.62E-01	0.00E+00	9.64E-01
