Samples	ID83A	ID83B	ID83C	ID83D
SP95454	20482	2133	5707	0
SP94741	42714	2915	9503	0
SP90209	45275	58853	23084	0
SP90989	43960	4135	2533	0
SP93540	81529	5123	9388	0
SP93227	40232	89107	0	0
SP94348	41228	2163	6975	0
SP94588	0	150	189	194
SP90725	34	49	215	109
SP94236	15	124	105	267
SP93772	12	133	57	183
SP92195	0	169	128	217
SP89957	140	114	108	117
SP92268	94	81	158	105
SP92707	18	85	111	119
SP89687	88	124	64	224
SP90269	0	14	304	170
SP94933	25603	0	38683	0
SP95126	179	264	0	373
SP95646	0	207	104	194
SP89443	10	107	85	169
SP89651	15	62	51	155
SP94060	14	57	162	144
SP92787	0	84	39	169
SP92723	30	81	202	121
SP92364	41042	6375	12267	0
SP95406	0	135	43	126
SP91746	2	115	91	115
SP92332	0	335	17	368
SP91730	54	0	101	834
SP92947	58	64	269	116
SP91666	72	138	210	126
SP90245	0	172	75	283
SP90893	0	125	74	242
SP89519	64	41	192	111
SP94917	11483	2612	3778	0
SP92659	15	1143	2505	39
SP94332	75	0	16	985
SP94661	56	77	168	177
SP93652	0	117	164	160
SP90125	0	180	71	201
SP94540	12	52	359	144
SP95222	118	362	0	262
SP89389	105	135	77	230
SP90503	0	154	47	142
SP92460	9522	1542	3122	0
SP92931	57	163	96	199
SP91265	99	344	58	257
SP89909	8938	2917	807	0
SP90629	109	314	0	509
SP95550	126	190	64	261
CPCT02020389T	144	53	149	135
CPCT02080033T	0	122	567	253
CPCT02060156T	335	88	305	422
DRUP01340014T	6	115	79	241
DRUP01010121T	444	151	166	304
CPCT02130034T	51	299	124	385
CPCT02260015T	280	265	100	764
CPCT02220071T	12240	679	1280	341
CPCT02010710T	150	81	152	327
CPCT02340068T	3	125	96	191
CPCT02130050T	49	236	210	488
DRUP01060016T	11	150	22	546
CPCT02260017T	175	179	433	330
CPCT02020682T	783	272	482	301
DRUP01030013T	42758	3351	5934	751
CPCT02130059T	135	132	220	383
WIDE01010296T	144	257	489	800
CPCT02380044T	15	137	238	572
CPCT02060117T	58	48	299	173
CPCT02080220T	34	15	588	312
CPCT02210056T	61	79	225	248
CPCT02020734T	64	47	293	327
CPCT02020716T	24	44	170	183
CPCT02080226T	0	207	136	395
DRUP01080014T	19127	1821	1821	83
DRUP01270003T	94	108	158	199
CPCT02190044T	0	173	0	316
CPCT02130131T	39	116	169	303
CPCT02220054T	131	238	194	390
CPCT02330075T	291	201	602	411
CPCT02130134T	0	165	117	396
CPCT02130148T	24	284	165	391
CPCT02070381T	0	30	46	211
DRUP01070053T	59	181	68	319
DRUP01060025T	96	0	232	2657
DRUP01100007T	214	64	511	323
CPCT02380019T	0	209	151	571
CPCT02020598T	0	105	63	276
DRUP01070059T	0	46	55	248
CPCT02080152T	18143	0	3195	543
CPCT02070406T	0	212	0	497
CPCT02450002T	404	33	598	452
DRUP01070024T	0	104	165	337
DRUP01060027T	58	0	86	916
CPCT02030381T	0	72	138	490
DRUP01220005T	156	300	229	472
CPCT02370010T	84	0	235	2643
CPCT02020623T	220	144	261	314
CPCT02290023T	113	90	438	411
DRUP01010022T	46109	3086	4084	130
CPCT02070159T	0	6	398	347
CPCT02030354T	66	90	43	165
CPCT02020565T	38	72	177	206
CPCT02060114T	4	111	19	386
CPCT02060118T	50	78	91	422
CPCT02220002T	29	75	79	178
DRUP01030002T	18	140	220	311
CPCT02070060T	153	104	211	893
CPCT02030320T	129	0	783	231
CPCT02060035T	103	11	260	166
CPCT02070110T	0	110	179	312
CPCT02020492T	29	104	51	582
CPCT02030327T	67	140	94	133
CPCT02020503T	147	150	111	852
CPCT02380029T	80174	5475	0	643
CPCT02020636T	29	215	73	717
CPCT02130013T	71	208	65	897
DRUP01110002T	65993	2154	13408	1941
WIDE01010639T	181	0	317	128
DRUP01010167T	33904	4974	3806	0
WIDE01010570T	214	281	191	356
