NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	748.435	29.31	220.494	21.118	0.122	0.959	1000000.0
2	741.508	29.196	214.173	20.994	0.123	0.96	1000000.0
3	1007.029	27.455	322.254	19.291	0.109	0.969	1000000.0
4	733.027	29.383	210.672	21.16	0.122	0.959	1000000.0
5	1019.382	27.34	324.483	19.186	0.109	0.969	1000000.0
6	745.133	29.36	216.458	21.059	0.123	0.959	1000000.0
7	743.791	29.266	217.998	20.918	0.122	0.96	1000000.0
8	734.561	28.989	211.346	20.824	0.122	0.96	1000000.0
9	1019.981	27.466	324.87	19.452	0.109	0.969	1000000.0
10	744.739	29.29	216.512	20.969	0.122	0.96	1000000.0
11	747.034	29.446	216.625	21.244	0.122	0.959	1000000.0
12	741.152	29.22	214.772	21.016	0.122	0.959	1000000.0
13	1013.687	27.487	324.075	19.416	0.109	0.969	1000000.0
14	749.318	29.597	219.884	21.321	0.123	0.959	1000000.0
15	737.489	29.225	212.432	21.029	0.122	0.96	1000000.0
16	742.935	29.428	216.702	21.272	0.123	0.959	1000000.0
17	735.635	29.357	211.751	21.213	0.122	0.959	1000000.0
18	1011.384	27.331	321.619	19.255	0.109	0.969	1000000.0
19	738.101	29.276	211.1	21.097	0.122	0.959	1000000.0
20	744.324	29.185	215.601	20.815	0.122	0.96	1000000.0
21	735.221	29.499	212.608	21.262	0.123	0.959	1000000.0
22	751.716	29.577	219.327	21.363	0.123	0.96	1000000.0
23	748.813	29.478	220.182	21.162	0.122	0.959	1000000.0
24	744.74	29.002	215.783	20.717	0.122	0.96	1000000.0
25	1013.822	27.619	321.755	19.409	0.109	0.969	1000000.0
26	744.381	29.31	217.239	21.047	0.123	0.96	1000000.0
27	736.748	29.122	213.112	20.985	0.122	0.96	1000000.0
28	749.591	29.396	217.243	21.305	0.122	0.959	1000000.0
29	1003.141	27.519	322.66	19.415	0.109	0.969	1000000.0
30	741.891	29.353	214.219	20.974	0.122	0.959	1000000.0
31	746.527	29.367	215.705	21.285	0.122	0.959	1000000.0
32	741.543	29.266	219.382	21.038	0.122	0.959	1000000.0
33	740.496	29.366	216.491	21.051	0.123	0.959	1000000.0
34	752.68	29.553	219.962	21.367	0.122	0.959	1000000.0
35	1017.603	27.451	326.73	19.361	0.109	0.969	1000000.0
36	753.331	29.476	219.401	21.288	0.122	0.959	1000000.0
37	1017.026	27.53	324.599	19.301	0.109	0.969	1000000.0
38	740.337	29.293	215.574	21.237	0.122	0.959	1000000.0
39	1021.528	27.517	324.099	19.297	0.109	0.969	1000000.0
40	751.681	29.675	221.021	21.378	0.123	0.959	1000000.0
41	743.053	29.384	216.877	21.073	0.122	0.959	1000000.0
42	746.685	29.25	217.389	21.011	0.122	0.96	1000000.0
43	1009.089	27.525	323.778	19.38	0.109	0.969	1000000.0
44	1009.069	27.363	322.982	19.122	0.109	0.969	1000000.0
45	745.799	29.123	215.976	20.84	0.122	0.96	1000000.0
46	1008.236	27.562	324.396	19.3	0.109	0.97	1000000.0
47	1006.273	27.513	323.63	19.362	0.109	0.969	1000000.0
48	736.176	29.276	210.6	21.057	0.122	0.96	1000000.0
49	1014.05	27.605	325.359	19.49	0.109	0.969	1000000.0
50	1012.042	27.732	324.288	19.628	0.11	0.969	1000000.0
51	742.386	29.179	215.874	21.075	0.122	0.959	1000000.0
52	746.862	29.489	217.13	21.243	0.122	0.96	1000000.0
53	744.399	29.379	216.484	21.138	0.122	0.959	1000000.0
54	751.746	29.235	219.035	21.022	0.122	0.96	1000000.0
55	738.29	29.195	212.435	21.038	0.122	0.96	1000000.0
56	1006.637	27.583	324.774	19.528	0.109	0.969	1000000.0
57	1015.04	27.652	325.905	19.451	0.109	0.969	1000000.0
58	743.808	29.407	217.529	21.221	0.122	0.96	1000000.0
59	740.469	29.228	219.656	21.045	0.123	0.96	1000000.0
60	743.952	29.131	216.609	20.906	0.122	0.96	1000000.0
61	747.22	29.563	220.939	21.259	0.123	0.96	1000000.0
62	1006.855	27.408	321.873	19.273	0.109	0.969	1000000.0
63	743.74	29.28	220.426	21.026	0.122	0.96	1000000.0
64	1015.525	27.445	325.17	19.286	0.109	0.969	1000000.0
65	749.493	29.417	219.686	21.12	0.122	0.959	1000000.0
66	756.931	29.241	221.101	21.024	0.122	0.96	1000000.0
67	1016.063	27.774	326.668	19.701	0.109	0.969	1000000.0
68	1014.64	27.509	326.315	19.29	0.109	0.969	1000000.0
69	736.211	29.25	211.693	21.002	0.123	0.959	1000000.0
70	749.752	29.542	220.047	21.266	0.122	0.959	1000000.0
71	1007.851	27.875	323.688	19.827	0.109	0.968	1000000.0
72	741.558	29.497	211.887	21.14	0.123	0.959	1000000.0
73	743.875	29.364	214.278	21.158	0.122	0.959	1000000.0
74	1018.285	27.614	326.718	19.325	0.109	0.969	1000000.0
75	757.749	29.248	223.161	21.065	0.122	0.96	1000000.0
76	742.377	29.392	217.923	21.151	0.123	0.96	1000000.0
77	746.078	29.361	218.482	21.246	0.122	0.96	1000000.0
78	1025.693	27.456	326.602	19.434	0.109	0.969	1000000.0
79	730.315	29.324	215.632	21.144	0.122	0.96	1000000.0
80	1010.114	27.457	323.271	19.214	0.109	0.969	1000000.0
81	1015.041	27.698	325.439	19.51	0.109	0.969	1000000.0
82	755.265	29.614	217.99	21.334	0.123	0.959	1000000.0
