Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
SP95454	5.92E+02	2.84E+01	6.11E+01	6.26E+00	6.50E+02	1.05E+00
SP94741	9.87E+02	5.23E+01	8.86E+01	1.20E+01	1.08E+03	1.74E+00
SP90209	1.06E+03	2.79E+02	1.37E+02	0.00E+00	1.05E+03	2.12E-01
SP90989	6.35E+02	5.40E+01	2.58E+01	6.33E+00	6.72E+02	1.93E+00
SP93540	1.97E+03	8.20E+01	1.43E+02	2.12E+01	2.14E+03	1.43E+00
SP93227	1.05E+03	3.52E+02	1.04E+02	1.04E+01	9.40E+02	4.60E-01
SP94348	1.05E+03	4.47E+01	8.92E+01	1.21E+01	1.15E+03	1.40E+00
SP94588	9.67E-01	1.96E+00	1.81E+00	1.98E+00	1.03E+00	9.92E-01
SP90725	1.83E+00	1.34E+00	1.43E+00	1.48E+00	2.21E+00	7.69E-01
SP94236	1.68E+00	1.55E+00	1.96E+00	1.96E+00	1.56E+00	1.12E+00
SP93772	1.35E+00	1.93E+00	1.48E+00	1.54E+00	1.08E+00	1.03E+00
SP92195	1.16E-01	1.68E+00	1.39E+00	1.88E+00	1.34E+00	1.21E+00
SP89957	1.76E+00	2.69E+00	1.74E+00	1.60E+00	9.09E-01	7.50E-01
SP92268	3.73E+00	1.80E+00	1.53E+00	1.38E+00	4.02E+00	7.95E-01
SP92707	1.31E+00	1.86E+00	1.41E+00	1.27E+00	8.52E-01	6.53E-01
SP89687	1.66E+00	3.04E+00	1.96E+00	1.84E+00	8.22E-01	1.30E+00
SP90269	3.43E-01	1.32E+00	1.38E+00	3.22E+00	2.70E+00	8.85E-01
SP94933	1.65E+02	4.84E+01	1.09E+02	1.31E+01	2.34E+02	1.67E+00
SP95126	5.09E+00	2.62E+00	3.95E-01	2.24E+00	5.18E+00	1.59E+00
SP95646	1.20E+00	2.14E+00	1.58E+00	1.70E+00	9.65E-01	1.01E+00
SP89443	1.09E+00	1.62E+00	1.46E+00	1.70E+00	9.80E-01	9.86E-01
SP89651	1.17E+00	1.53E+00	1.10E+00	1.32E+00	1.19E+00	1.11E+00
SP94060	1.42E+00	1.16E+00	1.37E+00	1.56E+00	1.41E+00	6.86E-01
SP92787	5.69E-01	1.28E+00	1.27E+00	1.58E+00	9.75E-01	9.56E-01
SP92723	2.20E+00	1.55E+00	1.54E+00	1.44E+00	2.69E+00	7.12E-01
SP92364	7.23E+02	5.81E+01	6.99E+01	8.40E+00	7.96E+02	7.18E-01
SP95406	9.83E-01	1.92E+00	1.42E+00	1.30E+00	1.30E+00	7.11E-01
SP91746	8.73E-01	1.61E+00	1.33E+00	1.23E+00	6.02E-01	7.52E-01
SP92332	1.11E+00	2.47E+00	1.88E+00	2.34E+00	5.93E-01	1.80E+00
SP91730	2.01E+00	3.02E+00	1.89E+00	3.42E+00	2.40E+00	3.38E+00
SP92947	2.86E+00	1.64E+00	2.05E+00	1.61E+00	3.58E+00	8.29E-01
SP91666	2.54E+00	2.07E+00	1.69E+00	1.59E+00	2.59E+00	8.09E-01
SP90245	9.99E-01	2.37E+00	2.05E+00	1.82E+00	8.69E-01	1.33E+00
SP90893	8.21E-01	1.85E+00	1.71E+00	1.76E+00	8.22E-01	1.13E+00
SP89519	1.96E+00	7.52E-01	1.58E+00	1.52E+00	2.18E+00	6.22E-01
SP94917	5.24E+02	2.67E+01	6.14E+01	1.86E+01	5.86E+02	1.34E+00
SP92659	9.61E-01	8.75E+00	8.68E+00	7.47E+00	7.82E+00	9.14E-01
SP94332	1.91E+00	1.88E+00	0.00E+00	1.49E+00	1.89E+00	3.58E+00
SP94661	1.91E+00	1.77E+00	1.88E+00	1.72E+00	2.04E+00	1.03E+00
SP93652	7.79E-01	1.60E+00	1.53E+00	1.44E+00	6.36E-01	1.19E+00
SP90125	9.48E-01	2.05E+00	1.49E+00	2.62E+00	2.29E+00	9.50E-01
SP94540	1.36E+00	1.98E+00	1.72E+00	1.74E+00	1.18E+00	1.14E+00
SP95222	3.09E+00	3.21E+00	8.84E-01	2.31E+00	1.72E+00	1.45E+00
SP89389	4.53E+00	2.16E+00	1.72E+00	1.89E+00	4.68E+00	1.24E+00
SP90503	9.56E-01	2.15E+00	1.74E+00	1.45E+00	4.87E-01	8.81E-01
SP92460	4.07E+02	1.80E+01	4.55E+01	1.20E+01	4.54E+02	1.52E+00
SP92931	3.14E+00	3.07E+00	1.92E+00	1.74E+00	2.70E+00	1.11E+00
SP91265	5.02E+00	3.45E+00	2.41E+00	2.16E+00	4.69E+00	1.34E+00
SP89909	4.05E+02	2.08E+01	3.97E+01	9.83E+00	4.45E+02	8.78E-01
SP90629	3.64E+00	3.14E+00	9.31E-01	2.76E+00	2.64E+00	1.61E+00
SP95550	4.15E+00	3.08E+00	2.51E+00	1.92E+00	3.91E+00	1.44E+00
CPCT02020389T	1.46E+00	1.79E+00	1.46E+00	3.96E+00	4.09E+00	9.59E-01
CPCT02080033T	1.79E+00	2.34E+00	2.14E+00	7.11E+00	5.15E+00	1.00E+00
CPCT02060156T	5.96E+00	1.96E+00	2.29E+00	1.18E+01	8.29E+00	1.41E+00
DRUP01340014T	1.04E+00	1.58E+00	2.11E+00	1.45E+01	1.49E+01	5.68E-01
