Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
SP95454	18336	2081	3946	3959	0	0	0
SP94741	38845	3083	7364	5840	0	0	0
SP90209	39518	62625	20303	4766	0	0	0
SP90989	41803	4605	3975	0	231	0	14
SP93540	74203	4553	6547	10737	0	0	0
SP93227	34642	93373	0	0	1260	64	0
SP94348	37093	1915	4608	6750	0	0	0
SP94588	1	91	152	35	188	9	57
SP90725	34	22	172	34	124	3	18
SP94236	30	22	95	29	285	12	38
SP93772	14	64	47	28	171	12	49
SP92195	0	107	118	0	216	12	61
SP89957	129	58	112	0	153	10	17
SP92268	86	47	140	13	123	7	22
SP92707	24	34	103	2	150	6	14
SP89687	84	51	72	0	235	0	58
SP90269	0	10	224	57	145	20	32
SP94933	25043	984	37264	584	0	411	0
SP95126	144	152	9	12	422	0	77
SP95646	0	122	95	5	245	8	30
SP89443	18	42	86	0	186	8	31
SP89651	16	28	45	12	130	3	49
SP94060	24	4	135	21	178	5	10
SP92787	0	47	36	2	159	6	42
SP92723	33	33	160	39	154	0	15
SP92364	38309	7341	11741	2046	119	128	0
SP95406	0	67	22	46	144	0	25
SP91746	5	63	79	14	134	0	28
SP92332	0	195	30	11	364	0	120
SP91730	17	65	30	54	255	0	568
SP92947	56	31	221	34	151	0	14
SP91666	70	73	190	10	192	0	11
SP90245	0	94	66	10	293	5	62
SP90893	0	67	67	0	261	5	41
SP89519	62	0	147	45	150	0	4
SP94917	10097	1925	2261	3381	209	0	0
SP92659	0	1001	2319	0	273	99	10
SP94332	74	0	2	0	23	31	946
SP94661	59	22	156	0	215	0	26
SP93652	0	82	147	0	148	14	50
SP90125	0	97	63	15	216	36	25
SP94540	11	57	320	0	108	17	54
SP95222	92	240	12	0	336	0	62
SP89389	98	48	76	23	251	3	48
SP90503	2	84	42	18	161	2	34
SP92460	8385	1186	1874	2701	11	0	29
SP92931	56	74	85	29	226	3	42
SP91265	94	171	72	30	345	4	42
SP89909	8004	2090	0	2541	24	3	0
SP90629	77	190	0	0	604	10	51
SP95550	113	114	72	1	248	0	93
CPCT02020389T	135	20	144	0	111	48	23
CPCT02080033T	11	65	462	69	154	154	27
CPCT02060156T	301	0	251	91	219	225	63
DRUP01340014T	22	2	52	78	120	160	7
DRUP01010121T	395	63	157	53	237	93	67
CPCT02130034T	62	125	137	20	258	204	53
CPCT02260015T	256	136	129	0	257	380	251
CPCT02220071T	11280	551	1347	726	191	393	52
CPCT02010710T	131	57	127	35	48	187	125
CPCT02340068T	13	36	73	52	140	82	19
CPCT02130050T	66	83	219	4	177	365	69
DRUP01060016T	18	60	39	0	250	186	176
CPCT02260017T	169	89	397	12	264	132	54
CPCT02020682T	720	164	491	0	199	228	36
DRUP01030013T	38101	2048	3301	8114	0	1153	77
CPCT02130059T	140	15	223	0	234	224	34
WIDE01010296T	152	105	455	0	665	100	213
CPCT02380044T	37	0	180	90	405	162	88
CPCT02060117T	58	24	254	23	78	116	25
CPCT02080220T	42	3	498	39	107	205	55
CPCT02210056T	66	14	197	30	52	234	20
CPCT02020734T	69	0	263	1	0	374	24
CPCT02020716T	31	8	156	0	64	139	23
CPCT02080226T	16	71	125	39	218	212	57
DRUP01080014T	17618	1527	1858	1299	0	513	37
DRUP01270003T	95	20	150	14	198	78	4
CPCT02190044T	0	97	7	1	145	198	41
CPCT02130131T	57	0	159	12	289	110	0
CPCT02220054T	131	92	193	21	271	187	58
CPCT02330075T	275	98	546	22	314	194	56
CPCT02130134T	7	77	119	0	115	295	65
CPCT02130148T	49	86	163	38	350	151	27
CPCT02070381T	0	4	32	24	48	159	20
DRUP01070053T	71	45	96	0	152	242	21
DRUP01060025T	29	106	120	87	0	450	2193
DRUP01100007T	204	16	451	26	213	155	47
CPCT02380019T	0	110	138	14	211	349	109
CPCT02020598T	8	35	64	11	77	216	33
DRUP01070059T	0	2	15	75	96	132	29
CPCT02080152T	16269	0	2217	2818	0	554	23
CPCT02070406T	0	109	0	1	403	192	4
CPCT02450002T	373	0	548	0	234	267	65
DRUP01070024T	8	42	151	0	204	135	66
DRUP01060027T	10	86	1	63	220	96	584
CPCT02030381T	1	43	125	0	164	181	186
DRUP01220005T	161	71	212	82	287	327	17
CPCT02370010T	21	91	125	99	0	444	2182
CPCT02020623T	210	41	259	0	267	129	33
CPCT02290023T	113	42	397	0	251	148	101
DRUP01010022T	41886	2156	2861	5903	155	433	15
CPCT02070159T	0	1	298	60	159	190	43
CPCT02030354T	62	42	49	3	98	69	41
CPCT02020565T	39	35	158	10	105	96	50
CPCT02060114T	10	41	23	18	187	121	120
CPCT02060118T	49	24	80	32	89	237	130
CPCT02220002T	33	22	75	12	104	86	29
DRUP01030002T	30	40	178	57	179	163	42
CPCT02070060T	135	71	191	0	417	164	383
CPCT02030320T	132	0	685	30	126	138	32
CPCT02060035T	96	2	222	22	93	68	37
CPCT02070110T	13	40	167	0	235	73	73
CPCT02020492T	44	0	60	21	393	94	154
CPCT02030327T	63	73	96	0	163	19	20
CPCT02020503T	150	17	126	9	608	93	257
CPCT02380029T	73164	4263	0	6773	1286	775	31
CPCT02020636T	39	84	90	4	390	208	219
CPCT02130013T	77	68	81	16	478	236	285
DRUP01110002T	59222	1281	9436	11174	9	2374	0
WIDE01010639T	164	0	275	21	87	69	10
DRUP01010167T	29968	3431	1312	7447	0	526	0
WIDE01010570T	200	98	177	65	365	105	32
