Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
SP95454	3.07E+02	7.74E+01	1.73E+02	1.45E+02	3.80E+02	3.37E+00	6.59E-01	1.06E+00
SP94741	5.86E+02	1.44E+02	2.79E+02	2.39E+02	7.05E+02	5.92E+00	1.05E+00	1.81E+00
SP90209	1.12E+03	7.45E+02	4.98E+02	3.46E+02	9.05E+02	0.00E+00	1.36E+00	3.48E-01
SP90989	6.34E+02	1.43E+02	1.24E+02	1.39E+02	7.26E+02	8.69E+00	1.69E+00	1.72E+00
SP93540	1.08E+03	2.31E+02	1.99E+02	4.30E+02	1.30E+03	1.25E+01	2.58E+00	1.90E+00
SP93227	1.34E+03	1.02E+03	7.43E+01	1.68E+02	7.59E+02	1.49E+01	1.84E+00	2.01E-01
SP94348	5.63E+02	1.28E+02	1.83E+02	2.26E+02	6.77E+02	7.63E+00	1.48E+00	1.37E+00
SP94588	9.97E-01	2.01E+00	2.67E+00	3.25E+00	4.35E+00	3.99E+00	7.47E-01	1.05E+00
SP90725	1.53E+00	1.24E+00	3.41E+00	3.18E+00	3.99E+00	3.08E+00	4.66E-01	7.80E-01
SP94236	1.76E+00	1.62E+00	2.21E+00	3.05E+00	5.82E+00	5.55E+00	7.33E-01	1.22E+00
SP93772	1.11E+00	1.84E+00	2.32E+00	3.02E+00	3.82E+00	3.48E+00	6.45E-01	1.10E+00
SP92195	4.55E-01	2.13E+00	2.31E+00	2.71E+00	3.69E+00	3.77E+00	7.56E-01	1.23E+00
SP89957	3.20E+00	2.40E+00	2.64E+00	2.76E+00	4.32E+00	3.49E+00	5.57E-01	7.34E-01
SP92268	2.70E+00	1.86E+00	3.57E+00	1.98E+00	4.81E+00	2.80E+00	4.50E-01	8.48E-01
SP92707	1.25E+00	1.50E+00	1.57E+00	2.19E+00	3.39E+00	3.12E+00	4.10E-01	7.16E-01
SP89687	2.37E+00	2.77E+00	2.14E+00	1.75E+00	5.09E+00	4.27E+00	0.00E+00	1.47E+00
SP90269	6.65E-01	1.42E+00	2.02E+00	2.33E+00	3.70E+00	2.85E+00	2.00E+00	9.35E-01
SP94933	7.51E+02	1.35E+02	1.51E+03	1.08E+03	1.77E+03	9.20E+00	4.76E+00	1.66E+00
SP95126	3.15E+00	3.38E+00	1.52E+00	2.80E+00	9.54E+00	9.01E+00	0.00E+00	1.90E+00
SP95646	1.22E+00	2.25E+00	1.86E+00	2.39E+00	4.31E+00	4.41E+00	6.37E-01	1.09E+00
SP89443	1.46E+00	1.83E+00	1.63E+00	3.26E+00	3.84E+00	4.18E+00	4.93E-01	1.06E+00
SP89651	1.00E+00	1.43E+00	1.16E+00	1.51E+00	2.80E+00	2.90E+00	5.58E-01	1.18E+00
SP94060	1.09E+00	1.04E+00	1.81E+00	2.14E+00	3.75E+00	3.52E+00	5.75E-01	6.95E-01
SP92787	5.93E-01	1.40E+00	1.30E+00	1.73E+00	2.91E+00	2.77E+00	6.72E-01	1.00E+00
SP92723	1.99E+00	1.76E+00	2.58E+00	2.05E+00	4.05E+00	3.54E+00	3.11E-01	7.32E-01
SP92364	6.44E+02	1.85E+02	4.58E+02	3.05E+02	8.12E+02	1.26E+01	2.06E+00	5.65E-01
