MutationType	CPCT02030434T	CPCT02060161T	CPCT02030441T	CPCT02030426T	CPCT02100147T	CPCT02030445T	CPCT02060147T	CPCT02030453T	CPCT02090038T	CPCT02100151T	CPCT02100159T	CPCT02030465T	CPCT02100166T	CPCT02070311T	CPCT02030467T	CPCT02060225T	CPCT02060224T	CPCT02030466T	CPCT02070341T	CPCT02080225T	CPCT02030476T	CPCT02070351T	CPCT02070353T	CPCT02060247T	CPCT02060257T	CPCT02030506T	CPCT02050390T	CPCT02030483T	CPCT02030487T	CPCT02070373T	CPCT02050396T	CPCT02030510T	CPCT02030516T	CPCT02030537T	CPCT02030529T	CPCT02060246T	CPCT02030532T	DRUP01060020T	CPCT02060264T	CPCT02030399T	CPCT02050254T	CPCT02030392T	CPCT02030397T	CPCT02100121T	CPCT02100116T	CPCT02030385T	CPCT02030387T	CPCT02080162T	CPCT02100122T	CPCT02030386T	CPCT02030400T	CPCT02030396T	CPCT02050176T	CPCT02100081T	CPCT02100084T	DRUP01050008T	CPCT02100085T	CPCT02100092T	CPCT02100090T	CPCT02100094T	CPCT02100089T	CPCT02100101T	CPCT02100095T	CPCT02030368T	CPCT02030369T	CPCT02100108T	CPCT02030375T	CPCT02030377T	CPCT02030374T	DRUP01050003T	CPCT02330058T	CPCT02030417T	CPCT02100129T	CPCT02100134T	CPCT02030410T	CPCT02030421T	CPCT02030430T	CPCT02030416T
1:Del:C:0	20	14	30	24	34	39	75	34	24	26	35	26	44	32	45	78	18	22	43	51	86	18	46	29	22	31	89	35	32	66	192	18	38	31	23	47	93	75	17	21	31	155	29	34	70	86	38	255	15	34	40	31	79	62	47	28	23	30	30	14	16	75	9	34	39	11	18	11	35	117	53	32	24	32	41	46	112	37
1:Del:C:1	20	6	22	20	25	17	48	10	15	12	24	11	28	34	21	42	8	10	39	48	27	15	14	14	15	11	56	13	22	59	78	8	14	22	9	36	49	31	15	11	16	66	16	20	45	37	28	57	9	11	22	15	51	18	26	24	12	7	20	8	10	25	9	15	15	10	18	9	9	36	29	21	8	18	18	24	48	13
1:Del:C:2	9	2	6	9	3	8	9	6	11	9	8	5	16	29	7	16	3	1	14	22	10	1	7	6	8	8	23	7	5	26	30	6	11	7	4	23	34	17	5	4	5	27	7	8	27	29	8	43	1	8	13	5	40	8	12	12	5	6	9	2	4	11	5	7	6	1	7	4	3	22	17	4	6	10	8	10	27	2
1:Del:C:3	3	0	2	4	4	3	13	1	1	1	2	1	10	9	5	10	3	3	11	6	8	2	6	4	1	4	17	5	7	19	20	3	0	5	4	17	31	10	3	3	1	66	7	3	8	11	2	41	1	1	2	2	18	2	4	9	2	0	4	3	2	10	5	1	7	2	3	2	2	22	10	0	0	5	2	3	31	1
1:Del:C:4	2	1	3	1	0	3	6	1	3	4	5	5	8	3	2	5	0	0	3	3	6	0	1	3	2	3	9	3	1	5	20	2	4	5	1	11	38	4	1	2	2	172	5	3	7	8	2	65	1	4	5	1	12	3	4	3	0	2	0	1	3	13	3	0	1	3	2	2	2	22	2	1	1	3	3	2	76	2
1:Del:C:5	4	2	10	7	8	10	9	16	3	10	4	4	58	2	8	16	2	2	5	10	14	3	12	4	0	6	7	10	16	16	80	5	11	9	6	13	176	11	3	6	9	962	1	13	18	11	4	243	2	11	9	8	9	5	11	2	11	10	7	2	12	116	2	12	6	3	10	2	5	105	7	12	4	7	7	10	432	8
1:Del:T:0	19	9	19	19	19	24	53	31	21	11	17	20	47	54	28	45	16	4	40	72	32	12	14	18	18	16	66	23	16	69	55	29	21	31	22	49	67	36	15	27	12	100	17	28	74	52	20	36	14	14	28	24	97	24	30	41	24	19	21	6	11	42	14	32	17	16	22	11	19	46	34	18	16	18	25	25	65	16
1:Del:T:1	6	2	6	5	17	12	48	12	24	7	6	6	35	43	11	36	7	6	44	43	13	8	4	5	19	7	39	6	7	50	39	8	8	9	11	42	69	24	7	6	5	35	4	13	36	45	11	19	10	15	7	6	49	12	15	28	12	9	10	10	13	12	10	8	9	9	10	8	9	21	25	10	4	11	9	12	30	4
1:Del:T:2	10	8	9	9	8	11	36	13	13	5	10	12	25	24	7	28	5	3	15	29	16	3	10	7	15	8	47	9	10	49	47	5	12	8	10	27	195	26	10	11	9	65	4	18	53	33	11	41	7	17	12	21	51	12	11	26	9	15	13	7	4	25	8	7	13	1	2	5	8	88	18	11	2	10	9	13	49	9
1:Del:T:3	18	5	11	11	13	16	34	10	7	13	12	13	18	16	10	29	8	3	20	22	24	5	23	8	13	7	48	8	10	34	48	7	14	18	10	25	342	24	6	6	6	103	11	11	31	25	17	66	7	11	17	15	25	26	11	18	5	16	9	7	5	47	7	5	9	11	7	4	8	272	11	11	6	17	11	12	91	12
1:Del:T:4	8	5	6	6	17	8	21	12	9	12	17	18	40	13	9	18	8	15	13	16	22	12	10	4	11	12	35	8	19	19	47	4	9	8	10	17	486	21	11	10	5	274	19	9	21	15	13	186	7	6	14	9	27	14	13	10	9	13	11	3	7	81	10	12	11	11	11	6	8	352	15	11	4	12	9	13	239	11
