MutationType	CPCT02150038T	CPCT02040203T	CPCT02300038T	WIDE01010265T	CPCT02310012T	CPCT02080232T	CPCT02180068T	CPCT02290041T	CPCT02040278T	CPCT02310017T	CPCT02150022T	CPCT02150026T	CPCT02150030T	CPCT02180037T	CPCT02150033T	CPCT02230051T	CPCT02340030T	CPCT02340031T	CPCT02230066T	CPCT02180043T	CPCT02120032T	CPCT02300023T	CPCT02180001T	CPCT02330016T	CPCT02180015T	WIDE01010545T
1:Del:C:0	19	1	31	30	44	35	93	40	33	54	9	34	29	25	10	15	64	36	16	41	60	21	52	32	20	52
1:Del:C:1	18	3	16	13	21	18	49	20	18	21	1	27	9	11	7	6	39	11	8	9	19	7	17	19	11	15
1:Del:C:2	11	0	6	5	8	11	16	5	6	18	1	8	7	10	4	2	15	7	1	8	19	4	10	9	2	15
1:Del:C:3	4	0	11	0	7	13	23	9	3	14	1	5	9	8	3	2	9	6	5	1	124	1	4	6	0	6
1:Del:C:4	1	0	9	5	12	3	20	6	6	7	1	9	6	9	2	2	9	5	4	5	118	9	10	3	1	9
1:Del:C:5	7	0	7	9	29	23	37	22	11	44	1	23	22	8	1	1	5	13	6	15	342	4	32	17	1	18
1:Del:T:0	19	4	27	28	45	39	39	37	24	54	11	34	33	21	12	6	34	18	16	16	55	34	32	23	13	22
1:Del:T:1	14	0	12	12	35	32	25	25	16	36	5	20	13	10	9	6	187	12	7	10	49	12	40	10	7	11
1:Del:T:2	10	0	15	15	30	30	57	27	17	31	3	23	16	4	8	5	32	17	6	19	85	17	25	13	9	24
1:Del:T:3	7	2	23	20	38	42	82	27	21	47	9	37	24	21	9	4	34	29	6	15	212	16	39	22	13	27
1:Del:T:4	16	1	21	17	76	72	184	55	25	78	4	36	42	20	4	6	20	12	11	28	443	23	76	43	15	36
1:Del:T:5	265	1	424	357	809	974	2415	744	373	1533	51	740	815	280	114	51	77	383	144	346	7068	198	863	679	199	890
1:Ins:C:0	4	2	8	7	61	14	25	11	9	28	3	10	13	12	3	2	9	8	7	9	35	3	14	7	5	12
1:Ins:C:1	5	0	3	5	10	6	7	1	3	13	0	5	5	7	1	3	2	5	2	3	9	1	8	3	1	6
1:Ins:C:2	1	0	2	1	3	4	4	1	1	2	2	3	2	3	0	3	4	2	0	1	6	3	1	1	1	4
1:Ins:C:3	0	3	4	3	8	7	4	3	4	8	1	9	4	2	4	3	7	0	3	5	15	1	3	4	1	4
1:Ins:C:4	1	2	1	2	7	2	16	4	5	7	0	4	8	6	1	2	2	0	0	3	45	2	2	5	0	14
1:Ins:C:5	13	1	32	18	45	55	101	20	32	73	4	44	34	23	10	3	12	20	13	20	246	4	40	39	8	60
1:Ins:T:0	11	2	13	15	23	15	32	12	7	25	1	22	7	9	6	1	30	8	7	4	15	6	16	12	2	23
1:Ins:T:1	8	1	9	5	10	6	14	7	7	13	2	9	6	13	7	2	31	9	3	6	15	4	13	8	2	10
1:Ins:T:2	4	0	3	2	4	10	12	9	6	12	3	13	3	5	1	1	9	9	5	1	11	4	9	8	3	9
1:Ins:T:3	3	0	4	6	7	7	17	5	9	16	1	8	4	4	0	0	16	6	0	1	30	6	14	11	1	14
1:Ins:T:4	0	0	10	10	31	22	46	13	6	35	1	22	9	6	0	1	8	18	6	14	68	4	27	19	5	27
1:Ins:T:5	192	1	509	415	740	1028	1924	365	346	1333	64	951	356	299	108	45	192	607	245	336	2202	162	855	733	188	1101
2:Del:R:0	4	2	11	6	14	10	20	8	8	11	5	13	5	5	3	5	17	19	10	13	11	8	20	10	3	14
2:Del:R:1	11	1	22	12	15	27	24	22	18	34	6	18	7	6	5	0	18	20	5	8	14	6	21	27	6	35
2:Del:R:2	4	0	8	2	6	7	6	7	1	10	1	2	4	5	2	3	7	10	3	7	10	3	7	9	2	7
2:Del:R:3	1	0	1	2	5	3	12	5	3	3	1	2	2	0	1	2	1	2	0	4	39	3	2	4	1	3
2:Del:R:4	1	0	1	0	2	1	5	2	4	5	2	4	2	0	1	0	1	0	0	2	32	1	2	2	0	3
2:Del:R:5	2	0	7	3	3	9	13	7	9	10	1	9	6	3	3	0	1	2	3	6	91	3	2	1	3	5
3:Del:R:0	3	1	2	4	1	4	9	5	2	6	2	3	2	3	5	1	3	0	0	1	6	1	4	3	1	4
3:Del:R:1	5	0	20	16	15	16	31	11	18	28	5	27	8	14	3	4	11	11	7	5	4	9	15	20	4	26
3:Del:R:2	5	0	7	5	4	9	7	8	10	14	1	4	2	2	0	3	4	3	0	8	4	3	0	4	1	6
3:Del:R:3	0	0	4	0	3	2	0	2	1	2	0	5	0	0	0	0	0	1	1	0	4	1	1	0	0	2
3:Del:R:4	1	0	1	1	1	1	1	2	0	4	0	2	0	0	1	2	0	0	0	0	0	1	0	1	0	2
3:Del:R:5	1	0	0	1	1	1	0	1	1	2	0	1	0	0	0	0	3	0	1	0	2	0	0	1	1	0
4:Del:R:0	2	2	3	0	1	3	10	2	4	6	1	3	5	2	2	2	8	2	4	2	2	1	1	4	0	1
4:Del:R:1	8	0	18	11	9	18	23	10	16	22	4	25	6	5	4	5	9	15	7	3	5	8	11	14	3	18
4:Del:R:2	3	0	4	7	4	3	5	5	5	14	1	8	1	0	3	0	0	2	0	4	3	4	2	5	2	9
4:Del:R:3	3	0	2	2	4	4	1	5	0	4	0	8	3	0	4	1	3	3	1	3	0	1	1	5	0	5
4:Del:R:4	0	0	2	1	1	1	1	3	3	2	0	0	0	2	1	0	0	1	0	0	1	2	1	0	0	2
4:Del:R:5	0	0	0	0	2	0	1	2	0	4	0	1	0	0	0	0	0	1	0	0	1	1	2	1	0	2
5:Del:R:0	14	10	29	8	31	33	66	22	18	42	11	35	18	37	38	8	78	13	21	61	7	25	16	15	10	13
5:Del:R:1	2	0	5	5	6	3	17	15	4	24	0	8	1	6	4	2	1	5	4	7	12	7	6	12	1	19
5:Del:R:2	2	0	0	1	1	6	4	4	1	7	0	4	0	1	0	0	1	3	1	2	2	1	1	3	0	7
5:Del:R:3	0	0	0	2	1	2	2	2	1	4	0	0	0	0	0	0	0	1	1	0	1	0	1	2	0	3
5:Del:R:4	0	0	0	0	0	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1
5:Del:R:5	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2:Ins:R:0	12	1	7	11	25	16	29	7	14	44	2	16	12	8	6	5	26	13	10	14	24	0	15	8	2	17
2:Ins:R:1	6	2	8	4	4	3	6	2	6	13	0	5	5	0	3	1	10	6	1	4	5	3	10	3	2	9
2:Ins:R:2	0	0	1	3	1	5	1	3	3	6	0	2	2	3	1	0	3	1	1	1	7	1	4	3	2	4
2:Ins:R:3	0	0	3	1	4	4	4	0	0	4	1	3	0	0	1	0	1	1	1	0	5	0	3	1	0	3
2:Ins:R:4	2	1	2	1	7	8	19	6	1	15	1	9	3	5	1	0	4	8	2	2	24	2	8	6	2	8
2:Ins:R:5	10	0	27	23	31	52	98	22	27	74	3	41	23	16	6	4	14	18	11	19	160	7	54	39	5	72
3:Ins:R:0	3	1	5	6	11	2	7	7	5	14	1	9	3	5	4	1	6	4	2	4	2	4	3	3	2	6
3:Ins:R:1	2	0	5	1	3	2	7	5	2	3	0	5	2	1	1	2	5	4	2	1	1	3	0	5	0	6
3:Ins:R:2	1	0	1	0	1	3	1	1	0	0	0	0	0	1	0	0	0	1	0	2	1	0	0	0	0	1
3:Ins:R:3	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0
3:Ins:R:4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1
3:Ins:R:5	0	0	0	1	1	5	5	1	1	1	1	2	2	0	0	1	3	0	0	0	5	2	2	4	2	2
4:Ins:R:0	3	0	6	5	15	12	11	8	6	18	1	6	9	5	2	3	21	6	2	4	9	5	8	5	2	21
4:Ins:R:1	3	0	2	1	5	4	8	1	4	12	1	4	4	2	3	1	4	4	3	1	5	1	3	6	0	7
4:Ins:R:2	0	0	1	1	1	0	2	1	2	4	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	3
4:Ins:R:3	0	0	2	1	1	1	0	0	0	4	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	3
4:Ins:R:4	2	0	1	0	2	3	2	1	1	2	0	1	0	0	0	0	0	1	1	0	2	0	4	1	0	3
4:Ins:R:5	0	0	4	0	1	7	3	4	1	6	0	5	2	1	1	1	0	7	0	0	1	0	4	6	0	7
5:Ins:R:0	16	28	64	27	75	58	120	36	26	110	25	57	40	74	63	18	64	36	51	134	38	46	54	23	10	46
5:Ins:R:1	5	0	9	10	12	13	20	11	16	22	0	8	4	3	7	1	28	9	0	7	4	4	6	8	1	18
5:Ins:R:2	0	0	0	1	2	2	2	4	1	1	0	1	1	1	0	0	1	1	0	1	0	0	1	0	1	2
5:Ins:R:3	0	0	2	0	1	0	1	0	1	4	1	0	1	1	0	0	2	0	0	0	0	0	1	0	0	3
5:Ins:R:4	0	0	3	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
5:Ins:R:5	0	0	0	1	0	0	0	1	0	2	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0
2:Del:M:1	10	3	23	10	11	18	35	16	22	21	3	13	14	6	8	3	23	13	7	11	13	10	16	22	8	23
3:Del:M:1	3	0	2	1	3	5	2	1	3	3	1	2	2	3	2	1	5	1	1	4	2	1	4	1	3	1
3:Del:M:2	6	0	9	7	5	9	15	8	8	16	2	9	5	2	6	2	6	9	2	6	4	5	11	12	2	17
4:Del:M:1	4	1	1	5	1	4	4	7	2	6	1	7	2	3	2	2	4	1	2	2	4	1	6	8	2	7
4:Del:M:2	2	0	6	4	4	2	5	3	6	10	3	6	3	4	1	1	4	4	6	1	2	6	7	10	1	10
4:Del:M:3	4	0	14	5	8	11	11	13	5	11	1	9	6	10	5	3	4	10	4	2	4	6	14	8	5	18
5:Del:M:1	9	5	21	11	13	19	44	16	21	32	5	16	15	23	15	8	50	19	11	21	10	11	13	13	9	17
5:Del:M:2	8	2	11	9	19	15	79	6	15	21	2	16	7	13	5	3	33	13	6	6	4	2	12	8	4	14
5:Del:M:3	6	1	6	6	5	14	48	10	9	19	4	8	5	1	4	1	12	9	1	10	4	4	8	5	3	10
5:Del:M:4	1	1	4	10	2	4	37	3	5	6	1	10	1	5	2	1	7	4	2	3	4	4	11	2	3	14
5:Del:M:5	4	1	3	4	5	5	40	25	8	19	1	11	3	7	4	5	13	8	1	6	10	2	12	6	4	15
