MutationType	CPCT02030262T	CPCT02190001T	CPCT02160010T	CPCT02330006T	CPCT02030290T	CPCT02060058T	CPCT02130025T	CPCT02060167T	CPCT02090031T	CPCT02220061T	DRUP01020037T	CPCT02380033T	CPCT02100135T	CPCT02080286T	CPCT02380032T	CPCT02250006T	CPCT02050312T	CPCT02270017T	CPCT02060210T	CPCT02090039T	CPCT02110060T	CPCT02130044T	CPCT02130047T	WIDE01010068T	WIDE01010103T	CPCT02440009T	WIDE01010243T	CPCT02130079T	CPCT02130082T	CPCT02210054T	CPCT02120131T	CPCT02370030T	CPCT02090047T	CPCT02130118T	CPCT02080238T	CPCT02130120T	CPCT02030501T	CPCT02190041T	CPCT02130133T	CPCT02130129T	CPCT02290049T	CPCT02380050T	CPCT02090060T	CPCT02210068T	CPCT02410012T	DRUP01090022T	CPCT02050246T	CPCT02050244T	CPCT02060111T	CPCT02050070T	CPCT02250001T	CPCT02070231T	CPCT02210016T	CPCT02070132T	CPCT02180029T	CPCT02050195T	CPCT02060107T	CPCT02070177T	CPCT02030366T	CPCT02050223T	CPCT02060116T	CPCT02050239T	CPCT02210031T	CPCT02230035T	CPCT02050089T	CPCT02180009T	CPCT02330014T	CPCT02230001T	CPCT02040083T	CPCT02180020T	CPCT02050135T	CPCT02020483T	CPCT02080091T	CPCT02260012T	CPCT02210036T	CPCT02130014T	CPCT02130010T	CPCT02250002T	CPCT02090027T	DRUP01070119T	CPCT02050447T	CPCT02330135T	CPCT02200008T	CPCT02200009T
1:Del:C:0	9	21	25	9	77	9	17	26	31	14	59	17	11	10	13	29	11	11	15	16	12	8	19	14	4	7	11	10	14	14	17	21	62	10	16	30	7	32	18	8	16	13	27	30	12	40	17	18	37	4	12	24	841	14	12	15	26	13	22	14	13	11	30	16	42	103	5	3	15	43	42	16	20	12	14	25	19	10	4	49	19	15	14	14
1:Del:C:1	6	14	10	5	22	6	6	8	15	12	25	6	8	5	10	15	7	13	6	5	6	5	15	14	4	6	7	4	5	5	2	5	27	2	12	10	12	24	5	6	8	15	9	24	3	29	8	4	10	4	17	15	211	2	16	14	15	4	9	7	5	24	22	10	16	50	3	6	10	13	21	6	13	8	9	14	26	7	5	17	12	5	4	6
1:Del:C:2	3	5	7	2	35	7	8	11	11	11	10	4	3	3	7	11	6	7	7	6	3	6	5	5	1	2	2	3	6	11	3	4	20	2	5	4	6	8	9	4	5	5	4	11	2	19	3	5	8	5	6	2	221	4	8	7	7	1	2	3	4	9	5	5	9	30	1	1	6	18	10	6	8	6	7	2	8	2	3	6	4	6	1	3
1:Del:C:3	3	5	4	1	19	4	4	1	5	4	10	2	4	1	5	5	2	2	4	1	1	3	7	7	0	1	1	1	2	4	0	6	6	2	2	2	5	1	3	2	6	1	3	5	0	9	4	5	3	2	2	2	701	2	7	1	1	1	5	1	1	4	2	3	23	11	0	2	8	9	3	1	6	4	6	8	3	3	5	15	3	5	1	1
1:Del:C:4	0	1	3	0	12	3	2	0	2	9	5	4	1	1	2	3	3	4	0	3	6	0	3	4	0	0	4	2	3	0	3	2	9	4	3	2	0	3	2	2	2	2	2	1	3	4	4	1	1	0	3	3	2187	2	2	0	5	3	5	4	3	2	1	3	21	10	2	2	1	1	4	4	2	4	5	3	0	0	1	40	3	1	1	1
1:Del:C:5	1	8	5	3	6	5	13	10	3	13	4	10	3	0	9	4	5	5	1	3	6	4	9	16	1	10	1	6	5	4	5	6	6	5	10	8	4	16	5	2	7	4	3	5	7	6	6	11	2	2	4	4	6963	5	1	5	10	3	6	3	0	2	3	7	56	10	3	0	1	18	8	13	7	9	11	3	9	4	1	275	5	5	4	1
1:Del:T:0	7	14	13	9	26	8	16	4	10	19	29	19	8	9	14	20	9	6	10	15	11	14	15	17	5	6	13	12	19	7	5	14	31	7	13	10	5	18	20	4	14	18	16	23	6	18	9	13	19	8	12	8	463	7	10	21	22	16	7	10	3	14	11	10	30	40	7	3	9	31	25	11	18	10	10	14	11	3	10	30	10	12	1	11
1:Del:T:1	4	8	7	5	15	5	5	7	12	9	20	3	10	6	6	11	4	6	9	8	3	2	16	9	2	5	6	10	4	7	2	9	19	7	9	7	8	7	11	2	11	10	6	9	9	16	8	12	8	2	7	9	303	4	8	14	9	3	12	8	4	9	4	6	34	26	2	2	9	12	9	9	5	5	16	7	11	5	6	22	4	10	1	5
1:Del:T:2	7	4	6	5	21	7	9	6	11	12	22	8	3	3	4	21	2	7	9	11	5	10	11	5	4	5	9	3	9	5	2	14	21	7	8	10	12	13	11	1	7	6	11	18	4	16	5	14	11	4	11	10	453	8	4	16	11	3	10	5	3	8	10	6	31	50	1	6	12	21	12	6	6	9	5	7	13	6	5	20	4	7	2	9
1:Del:T:3	5	16	10	7	43	9	14	8	16	11	35	6	7	4	11	21	7	5	7	8	4	4	12	17	2	6	4	12	8	9	3	7	23	9	14	13	8	17	6	9	9	3	13	25	7	30	6	9	20	7	7	14	2178	6	3	10	18	4	13	9	7	12	17	10	66	56	5	1	4	42	23	15	8	7	10	9	8	10	5	93	9	8	5	4
