MutationType	CPCT02060042T	CPCT02130027T	CPCT02290024T	CPCT02230080T	CPCT02070282T	CPCT02060201T	CPCT02010752T	CPCT02130046T	CPCT02190033T	WIDE01010213T	CPCT02440010T	WIDE01010272T	DRUP01070085T	CPCT02380045T	CPCT02150013T	CPCT02010769T	CPCT02450014T	CPCT02130122T	CPCT02230107T	DRUP01090017T	CPCT02020781T	CPCT02310016T	CPCT02300050T	CPCT02020808T	CPCT02050414T	CPCT02230042T	CPCT02040170T	CPCT02330059T	CPCT02330063T	CPCT02020512T	CPCT02110031T	CPCT02030347T	CPCT02050179T	CPCT02010591T	CPCT02170007T	CPCT02210025T	CPCT02030376T	CPCT02050110T	CPCT02030318T	CPCT02100056T	CPCT02030326T	CPCT02120007T	WIDE01010573T	WIDE01010693T
1:Del:C:0	9	20	48	28	43	28	15	21	31	48	75	17	269	36	20	25	330	25	39	100	72	20	106	24	40	6	18	76	51	14	22	512	55	36	57	43	36	48	63	29	34	32	86	25
1:Del:C:1	7	12	16	10	25	7	6	14	11	20	39	5	110	26	11	19	138	10	16	57	31	9	28	12	19	2	16	23	23	10	18	172	25	12	40	24	23	25	25	12	13	22	31	10
1:Del:C:2	2	3	10	11	14	8	0	8	7	16	15	7	126	7	6	6	85	8	8	32	18	10	15	10	9	0	6	21	14	5	9	179	8	12	16	15	12	15	20	7	8	12	16	7
1:Del:C:3	2	0	6	5	8	3	3	6	8	3	10	1	324	7	2	7	142	5	5	15	13	5	12	7	8	0	3	13	6	4	5	477	11	3	11	4	4	4	8	1	6	8	12	2
1:Del:C:4	1	3	9	2	4	4	3	4	5	11	6	6	714	2	2	5	314	4	7	10	11	2	6	1	5	0	2	12	5	2	1	1383	14	1	9	10	2	9	4	1	8	7	5	4
1:Del:C:5	1	8	31	18	19	19	2	14	15	13	18	8	2758	19	6	8	1821	13	19	23	23	14	23	15	29	3	5	37	19	11	4	3956	35	7	10	15	6	20	23	4	17	15	19	9
1:Del:T:0	6	7	31	18	16	16	11	19	32	42	43	9	221	28	17	32	205	16	25	59	58	33	38	24	26	5	22	34	38	9	20	326	37	19	37	38	20	33	53	15	31	30	48	24
1:Del:T:1	4	11	48	13	17	10	7	16	19	32	49	1	225	33	9	30	104	9	18	56	26	39	26	12	14	2	11	41	46	5	6	317	23	24	30	30	27	21	49	22	33	47	30	26
1:Del:T:2	4	9	29	14	16	6	7	9	21	24	26	5	289	19	12	16	187	11	20	38	43	9	27	10	20	3	9	44	25	9	16	611	18	14	22	23	19	27	28	22	18	24	29	14
1:Del:T:3	5	10	47	22	18	15	10	14	28	39	38	19	877	37	24	22	533	10	27	50	64	24	47	11	23	3	11	52	33	12	9	2853	30	11	26	40	24	45	37	19	34	37	37	21
1:Del:T:4	4	10	58	30	34	31	12	16	36	45	49	9	2306	35	16	19	1725	22	38	64	43	34	55	19	38	2	11	61	33	27	17	7872	47	19	36	33	24	42	59	16	40	57	41	18
1:Del:T:5	9	116	944	630	547	467	148	450	668	589	679	317	55694	419	172	316	49371	201	894	800	514	345	794	632	666	24	123	964	769	259	255	116011	1063	210	461	459	341	575	945	284	439	608	467	332
1:Ins:C:0	0	7	22	37	49	25	17	64	44	60	211	6	315	44	16	78	375	5	32	355	11	46	100	16	15	4	121	70	20	9	19	150	20	36	19	245	16	80	18	19	53	172	25	42
1:Ins:C:1	1	2	7	7	5	2	7	4	10	7	14	1	45	4	1	7	410	4	9	22	5	2	11	5	5	3	7	11	10	3	6	37	5	4	4	12	5	9	10	2	6	9	7	7
1:Ins:C:2	0	0	2	1	2	3	0	3	4	2	4	0	23	3	1	1	240	2	1	7	0	3	2	2	1	0	1	5	2	0	1	39	3	5	2	2	0	4	6	0	1	2	1	4
1:Ins:C:3	0	0	4	2	2	2	1	2	7	4	3	1	39	5	4	3	413	2	1	4	2	2	4	2	1	1	3	3	3	1	2	74	6	0	2	3	0	3	5	1	1	2	4	0
1:Ins:C:4	1	1	6	7	7	2	2	1	3	4	5	1	180	5	6	7	23042	3	5	6	5	3	7	1	6	2	3	7	9	2	6	356	3	4	5	5	2	6	10	0	2	6	7	3
1:Ins:C:5	3	8	43	30	13	32	12	14	51	24	35	16	1212	35	9	15	23987	30	35	39	16	13	23	28	37	5	8	51	40	17	14	1551	40	21	8	26	8	26	50	2	17	33	22	17
1:Ins:T:0	1	6	17	15	15	20	5	13	22	29	19	10	182	15	7	14	571	8	18	39	14	10	23	10	26	2	13	29	22	3	23	190	16	14	15	29	6	23	23	8	12	17	20	5
