MutationType	DRUP01010001T	CPCT02010424T	CPCT02010349T	CPCT02020325T	CPCT02030246T	CPCT02070010T	CPCT02010370T	CPCT02010369T	CPCT02070013T	CPCT02060018T	CPCT02060022T	CPCT02070009T	CPCT02010398T	CPCT02010408T	CPCT02030246TII	CPCT02010386T	CPCT02020309T	CPCT02080045T	CPCT02020398T	CPCT02010392T	CPCT02090003T	CPCT02060274T	CPCT02020650T	CPCT02080181T	DRUP01340015T	CPCT02070436T	CPCT02050225TII	DRUP01070031T	CPCT02070278T	CPCT02010732T	CPCT02060181T	CPCT02080175T	CPCT02020903T	CPCT02070441T	CPCT02080181TII	CPCT02070290T	DRUP01090011T	CPCT02080297T	CPCT02010680T	CPCT02090064T	CPCT02020937T	CPCT02090065T	CPCT02060191T	CPCT02060192T	CPCT02011090T	CPCT02070463T	CPCT02011094T	CPCT02030458T	CPCT02060282T	DRUP01090012T	CPCT02090042T	CPCT02340078T	WIDE01010040T	CPCT02020683T	CPCT02020691T	DRUP01010077T	DRUP01050021T	CPCT02080206T	CPCT02060292T	CPCT02060290T	CPCT02090044T	WIDE01010138T	CPCT02130062T	WIDE01010160T	CPCT02020706T	CPCT02070313T	WIDE01010187T	WIDE01010169T	CPCT02100161T	CPCT02070317T	WIDE01010239T	WIDE01010233T	CPCT02070322T	WIDE01010262T	WIDE01010267T	WIDE01010293T	WIDE01010167T	CPCT02060211T	DRUP01080012T	WIDE01010356T	WIDE01010374T	WIDE01010393T	CPCT02090036T	CPCT02340018TII	CPCT02340088T	WIDE01010452T	CPCT02080227T	CPCT02060230T	CPCT02020750T	CPCT02060241T	CPCT02060245T	CPCT02070319T	CPCT02010856T	CPCT02090052T	CPCT02090053T	CPCT02070357T	CPCT02090057T	CPCT02270035T	CPCT02060254T	CPCT02070365T	CPCT02060258T	CPCT02080247T	CPCT02020794T	CPCT02020790T	CPCT02060253T	CPCT02020775T	CPCT02030513T	CPCT02380051T	CPCT02080248T	CPCT02070371T	CPCT02070366T	CPCT02050392T	CPCT02130147T	CPCT02020812T	CPCT02020820T	DRUP01090014T	CPCT02060240T	DRUP01060024T	CPCT02020848T	CPCT02010648T	CPCT02060130T	CPCT02010649T	CPCT02060127T	CPCT02340106T	CPCT02150034T	CPCT02030415T	CPCT02060235T	CPCT02010625T	CPCT02060275T	CPCT02340026T	CPCT02090063T	CPCT02010549T	CPCT02060066T	CPCT02020450T	CPCT02010406TII	CPCT02050167T	CPCT02110036T	CPCT02010599T	CPCT02010595T	CPCT02100091T	CPCT02060104T	CPCT02010600T	CPCT02110040T	CPCT02340018T	CPCT02050225T	CPCT02040141T	CPCT02340020T	CPCT02080139T	CPCT02060061T	CPCT02070051T	CPCT02010408TII	CPCT02010429T	CPCT02020438T	CPCT02040072T	CPCT02020428T	CPCT02010494T	CPCT02070095T	DRUP01070006T	DRUP01070005T	CPCT02020465T	CPCT02030325T	CPCT02090011T	CPCT02060071T	DRUP01070010T	CPCT02070111T	CPCT02070098T	CPCT02090012T	DRUP01090001T	CPCT02070108T	CPCT02010548T	CPCT02090014T	CPCT02010559T	CPCT02080102T	CPCT02030422T	CPCT02070249T	DRUP01070029T	CPCT02070247T	DRUP01010053T	DRUP01100003T	CPCT02070257T	CPCT02340046T	DRUP01080008T	DRUP01340002T	CPCT02010715T	WIDE01010465T	WIDE01010487T	WIDE01010492T	WIDE01010497T	WIDE01010521T	WIDE01010519T	WIDE01010527T	WIDE01010517T	WIDE01010699T	WIDE01010713T
[Del(C):R1]A	14	18	4	4	11	6	10	21	20	4	8	9	14	2	13	19	7	31	4	3	7	4	18	11	11	27	5	4	2	11	7	13	5	8	12	9	7	9	1	2	7	8	17	7	4	3	3	5	3	10	4	2	19	21	16	10	52	1	9	5	23	3	8	5	3	6	27	17	39	9	5	10	4	13	7	0	6	9	30	10	7	28	4	23	8	9	10	3	4	6	8	7	10	9	5	57	14	11	12	3	3	9	15	10	5	4	17	5	3	13	8	6	21	5	3	13	8	10	11	8	3	9	7	10	14	65	4	4	5	6	2	6	6	6	7	6	1	3	2	65	1	9	27	21	8	6	9	3	19	6	4	5	12	23	2	11	9	1	8	5	11	9	12	7	3	9	12	6	16	9	5	3	9	7	26	4	4	6	80	7	8	17	5	9	5	9	6	10	29	14	6	15	4	11
[Del(C):R1]T	19	34	4	10	7	7	17	28	35	9	7	25	9	8	15	28	14	35	6	4	15	16	24	11	13	102	6	6	2	12	8	16	9	6	14	19	13	26	11	11	2	11	24	10	4	9	5	7	3	6	10	4	21	40	28	10	95	9	19	8	57	11	19	28	2	3	36	45	65	13	7	19	10	22	18	0	6	33	47	12	9	88	10	82	6	8	7	11	7	3	23	14	14	42	9	192	6	11	22	8	5	13	33	9	13	8	21	4	8	11	5	10	28	3	8	24	11	28	8	21	8	6	11	14	34	102	4	5	10	8	5	18	6	6	9	12	10	5	5	33	2	5	84	68	5	7	9	2	27	3	9	7	31	24	5	15	25	3	29	11	19	16	10	13	2	15	40	6	16	5	21	7	25	5	33	10	12	7	35	6	9	29	8	9	3	16	21	6	33	18	4	15	8	13
[Del(C):R2]A	10	9	1	5	5	3	1	8	20	4	4	4	7	6	8	3	4	24	1	3	1	10	14	11	3	18	3	4	3	4	6	9	4	2	14	5	4	9	9	5	3	7	15	6	3	2	0	5	1	4	4	1	19	17	9	4	31	2	9	2	10	5	7	7	0	1	20	9	17	2	7	3	6	22	6	0	13	6	25	12	2	18	0	10	5	4	9	3	2	1	4	13	5	4	3	22	6	6	4	4	2	6	5	9	3	3	10	1	6	1	4	5	18	1	6	9	7	10	2	1	4	5	3	3	10	35	6	5	3	2	5	5	2	0	4	3	3	2	3	26	2	4	12	7	3	2	6	3	13	4	4	5	8	9	2	3	11	3	5	5	4	6	7	2	10	6	5	6	7	3	3	3	8	4	14	5	1	7	32	6	4	10	4	4	2	5	3	3	6	11	2	5	1	8
[Del(C):R2]T	9	13	5	2	9	5	5	21	16	2	5	16	4	6	11	10	13	28	4	5	0	9	15	6	5	28	10	6	6	7	5	11	5	3	10	9	8	8	5	1	2	5	14	7	3	5	2	5	2	8	7	2	20	26	11	6	46	5	11	4	26	5	8	11	1	7	30	16	43	4	7	9	6	18	7	0	3	11	29	3	10	52	4	23	9	14	11	7	7	3	10	8	5	9	7	57	4	4	15	5	5	13	21	12	6	8	7	4	7	8	1	1	19	1	5	10	9	16	6	6	9	3	11	5	18	48	3	7	6	10	4	10	4	3	7	6	5	4	5	29	3	1	27	19	11	2	2	2	13	4	5	4	17	13	2	11	9	2	18	1	10	10	3	9	3	10	14	2	7	1	6	5	8	3	27	0	5	6	36	8	2	14	11	6	1	0	5	7	30	16	3	9	1	6
[Del(C):R3]A	3	8	0	3	3	2	3	13	12	6	0	6	6	3	3	6	3	13	0	1	1	5	14	4	6	24	4	3	0	5	1	4	4	3	5	8	1	1	2	2	2	2	9	0	3	1	0	1	2	2	2	0	9	9	13	5	15	0	8	1	15	7	3	3	1	3	15	5	19	1	2	3	3	7	1	1	2	7	11	2	2	13	1	7	2	4	1	1	2	1	4	6	5	2	0	14	3	1	3	0	3	3	13	5	2	1	5	0	4	3	3	4	7	0	1	6	1	8	1	1	3	2	1	8	8	24	4	1	1	0	1	2	0	2	1	3	1	0	1	23	1	3	8	7	5	0	6	0	4	2	3	0	0	9	0	4	5	0	6	3	3	4	2	4	3	4	5	3	6	1	6	2	7	6	14	3	0	2	21	4	2	11	1	1	1	1	2	4	5	15	0	1	2	6
[Del(C):R3]T	4	4	2	1	2	0	2	7	9	2	3	3	6	4	4	10	2	9	0	2	4	1	8	2	1	16	1	0	0	1	3	3	1	0	2	3	2	4	3	1	1	1	11	1	0	0	2	0	0	0	3	1	6	7	8	1	13	0	8	0	5	3	8	0	1	1	14	5	12	1	3	2	2	8	3	0	3	2	8	2	1	16	1	8	2	1	3	3	2	0	2	6	3	3	0	16	2	4	1	2	4	3	8	3	4	1	5	0	2	1	2	3	11	1	3	2	6	8	0	0	4	2	3	0	4	18	4	1	1	3	1	4	1	1	3	3	0	1	3	8	2	0	11	6	2	2	1	1	0	1	5	6	3	5	1	2	1	0	3	1	2	2	2	0	2	4	5	1	3	4	1	3	4	3	14	1	1	6	6	3	4	4	4	2	1	3	0	0	11	3	0	1	4	5
[Del(C):R(4,5)]A	2	8	2	3	5	2	2	7	0	2	0	3	4	0	4	9	3	7	1	4	2	6	4	5	2	11	5	2	2	1	2	6	2	3	5	5	1	4	0	2	2	1	8	5	0	1	1	0	2	4	1	1	7	11	7	1	21	0	2	0	10	4	5	5	0	1	9	3	14	3	1	3	2	4	4	0	2	3	5	6	2	14	2	11	0	5	4	1	0	1	5	5	1	3	0	12	3	3	3	1	4	0	9	5	0	3	6	1	2	5	1	2	13	1	2	7	3	9	0	8	4	0	6	3	10	18	2	1	4	6	2	3	2	2	4	2	4	1	0	23	0	2	6	6	3	1	2	0	5	0	1	1	4	9	3	8	3	1	4	0	5	4	4	1	3	5	7	2	1	0	5	3	4	5	11	0	0	3	27	2	2	10	6	1	0	2	1	0	11	11	0	1	3	6
[Del(C):R(4,5)]T	3	2	1	0	3	4	3	4	4	3	2	3	4	2	4	3	5	9	0	2	3	1	6	5	3	9	1	2	2	5	1	5	3	0	7	4	2	2	1	1	1	0	9	0	1	5	1	0	0	3	1	1	3	7	6	5	11	0	2	0	1	0	6	0	1	1	6	6	5	1	1	1	5	7	3	0	3	0	10	7	1	10	2	4	4	1	1	6	0	1	1	3	2	3	3	18	3	3	1	0	0	3	2	0	2	1	0	2	1	1	1	2	6	0	2	0	3	3	1	3	0	3	1	1	9	18	2	2	0	3	2	4	0	2	3	2	3	3	1	19	0	0	11	2	1	0	3	2	1	2	2	2	7	3	1	2	2	0	1	1	2	4	4	2	1	5	7	0	2	2	1	1	3	0	5	2	0	1	22	2	0	4	1	1	2	2	1	2	5	9	1	3	0	4
[Del(C):R(1,5)]G	9	3	1	1	5	3	3	9	9	1	3	6	6	7	2	6	2	13	1	2	3	6	3	4	8	21	1	1	3	7	5	9	7	0	6	5	4	7	14	2	10	3	6	3	2	4	1	2	1	0	3	2	6	10	10	7	27	3	5	4	18	5	4	2	2	3	10	8	9	3	3	4	2	8	4	0	1	5	14	3	3	7	6	12	8	3	5	3	0	1	5	9	2	4	2	20	1	4	5	2	0	3	2	5	2	2	3	2	1	4	4	1	8	5	2	5	2	7	2	2	5	4	2	7	7	14	3	1	2	0	5	7	2	2	1	6	8	10	2	45	3	3	4	13	2	2	5	0	2	4	6	3	4	7	1	3	6	0	6	6	6	2	17	5	0	3	5	2	5	1	4	2	9	1	9	0	1	2	53	12	5	16	0	2	0	1	5	3	22	8	0	6	4	6
Del(C):R(6,9)	2	6	1	1	2	0	0	3	0	0	1	4	3	5	2	0	1	11	0	2	2	4	3	3	2	9	2	0	1	2	3	1	0	4	4	2	2	2	3	2	2	1	5	0	1	0	0	2	1	1	3	0	3	2	6	2	35	1	1	0	7	2	4	6	0	1	5	5	12	4	1	3	0	1	2	0	1	3	10	5	1	6	4	6	3	3	4	5	1	1	7	3	3	3	2	12	1	2	5	2	2	4	6	1	3	4	3	1	2	3	3	7	2	2	2	9	4	3	1	4	3	3	1	3	5	33	3	2	0	1	1	1	1	0	1	0	4	7	0	19	4	2	8	5	1	3	1	1	6	1	5	1	1	3	2	1	1	0	4	1	3	5	1	2	2	6	3	1	1	1	7	1	6	4	3	2	0	2	26	6	1	5	1	1	0	3	4	0	10	5	0	1	0	5
