MutationType	CPCT02060034T	CPCT02020356T	CPCT02050063T	CPCT02030275T	CPCT02070033T	CPCT02030294T	CPCT02070038T	CPCT02080179T	CPCT02010866TII	CPCT02330133T	CPCT02050427T	DRUP01030028T	CPCT02080193T	CPCT02030556T	CPCT02120111T	CPCT02050341T	WIDE01010210T	WIDE01010208T	CPCT02290033T	CPCT02070323T	WIDE01010450T	CPCT02090049T	CPCT02010866T	CPCT02070363T	CPCT02060222T	CPCT02080251T	CPCT02070384T	CPCT02070386T	DRUP01070051T	CPCT02080137T	CPCT02080157T	CPCT02330128T	CPCT02070030T	DRUP01050009T	CPCT02070225T	CPCT02070230T	DRUP01070022T	DRUP01050010T	CPCT02050161T	CPCT02050174T	CPCT02050172T	CPCT02050186T	DRUP01070016T	CPCT02080120T	CPCT02030351T	CPCT02060119T	CPCT02080136T	DRUP01010035T	CPCT02070039T	CPCT02030302T	CPCT02070053T	CPCT02070065T	DRUP01070003T	CPCT02070099T	CPCT02020473T	DRUP01070009T	CPCT02030324T	CPCT02030330T	CPCT02050151T	CPCT02070128T	CPCT02080099T	DRUP01030004T	CPCT02070265T	CPCT02080040T	WIDE01010705T
[Del(C):R1]A	6	4	21	12	6	16	6	13	53	23	9	10	11	81	1	3	3	7	15	3	5	8	46	15	3	42	8	33	14	24	87	25	2	42	3	14	11	17	19	6	30	15	10	11	19	7	7	1	11	7	5	2	6	3	5	6	25	24	2	10	17	18	7	22	1
[Del(C):R1]T	8	8	20	10	6	29	8	34	61	53	13	5	17	92	1	4	6	14	25	6	7	6	59	22	1	56	7	34	10	27	71	14	4	49	5	22	12	10	35	7	33	24	15	5	19	4	9	0	15	9	5	4	3	6	3	13	15	22	3	15	21	30	10	32	8
[Del(C):R2]A	4	3	11	14	6	20	3	0	82	44	8	6	10	34	1	7	1	4	18	7	3	3	82	8	2	30	5	28	9	19	30	12	0	22	2	12	3	8	12	4	25	17	17	5	12	5	7	2	8	3	0	2	1	1	3	9	10	15	2	16	5	20	8	7	2
[Del(C):R2]T	5	7	12	20	8	21	10	11	64	37	4	4	11	26	0	3	1	0	18	2	9	4	67	12	4	22	5	21	20	19	28	12	1	20	3	17	6	9	12	2	15	13	13	4	14	6	7	0	12	5	3	1	4	2	2	3	11	17	4	14	7	26	7	21	2
[Del(C):R3]A	6	2	7	7	1	15	0	2	72	21	5	6	7	18	0	3	2	3	18	5	3	3	72	4	2	22	3	9	7	17	27	11	0	18	0	6	1	6	11	5	14	9	11	1	3	0	2	0	4	1	1	1	3	1	1	4	7	17	1	10	9	15	6	1	1
[Del(C):R3]T	5	1	6	9	1	13	3	2	34	20	1	4	2	13	0	1	3	2	11	2	2	2	36	5	2	14	3	11	6	11	25	5	0	11	1	6	4	5	4	5	12	5	10	1	9	2	1	0	0	1	2	0	1	2	1	1	8	12	0	10	6	13	2	4	1
[Del(C):R(4,5)]A	4	3	6	3	1	8	5	4	49	22	5	15	4	15	0	3	2	6	19	3	4	2	46	6	1	18	3	19	8	11	163	8	3	7	1	3	3	6	4	7	14	7	7	5	9	2	2	1	4	8	2	0	2	2	2	5	11	16	1	6	9	7	6	8	0
[Del(C):R(4,5)]T	1	0	5	3	2	7	3	1	27	9	2	9	3	10	2	0	2	2	12	2	0	1	29	4	1	12	3	16	2	6	160	5	0	8	0	7	2	6	3	3	11	7	8	0	4	2	0	0	1	2	1	1	2	1	0	3	7	10	0	8	3	9	3	4	0
[Del(C):R(1,5)]G	5	5	2	6	0	13	3	12	46	18	10	5	4	17	1	3	5	3	13	2	3	4	50	10	1	12	5	13	9	16	97	6	0	12	4	6	17	2	7	2	9	9	10	3	12	2	1	2	5	0	5	5	2	3	4	2	5	19	3	10	5	12	11	5	5
Del(C):R(6,9)	0	6	5	3	1	9	5	1	28	9	15	16	9	9	0	1	2	13	9	1	8	4	27	6	2	8	3	19	1	15	1078	3	0	5	6	3	15	1	6	3	14	12	2	3	5	4	4	1	1	2	0	0	0	1	2	7	6	9	0	2	7	9	5	9	1
A[Del(T):R(1,4)]A	6	4	13	17	12	23	7	12	24	34	17	11	17	36	2	3	4	4	21	5	12	10	31	11	4	41	10	37	21	22	158	15	2	17	7	22	14	15	8	9	30	18	18	12	26	3	12	2	16	10	408	4	4	2	4	8	13	15	6	21	20	23	12	15	5
A[Del(T):R(1,4)]C	4	0	8	6	0	10	6	1	21	23	12	4	9	30	0	3	1	4	10	2	4	3	27	3	2	32	6	22	17	10	70	8	2	7	4	15	8	3	8	3	17	11	10	9	16	3	3	1	4	4	295	3	1	3	3	4	10	12	4	10	9	11	6	7	3
A[Del(T):R(1,4)]G	6	2	14	15	6	8	2	5	14	22	11	6	8	20	2	0	2	3	16	1	3	3	21	14	2	27	4	30	12	11	61	9	0	10	7	14	1	9	9	6	15	16	18	7	12	6	4	1	5	2	130	1	1	2	0	7	11	23	2	18	12	8	10	6	1
C[Del(T):R(1,4)]A	0	6	15	11	6	9	2	5	38	18	6	2	10	24	0	4	1	2	9	4	4	8	36	14	2	24	6	26	9	11	73	10	1	9	1	6	10	8	5	5	14	12	17	7	14	8	2	0	9	2	7	2	0	2	3	11	9	9	0	17	7	9	11	6	4
C[Del(T):R(1,4)]C	10	5	12	8	2	17	6	8	17	14	8	5	9	20	0	2	0	5	10	3	2	3	20	7	1	22	4	14	25	5	82	13	2	17	2	19	12	16	6	3	20	10	22	7	17	4	5	1	9	3	8	0	3	3	6	2	12	10	5	23	6	19	11	7	2
C[Del(T):R(1,4)]G	7	2	18	17	8	12	10	7	32	31	12	7	7	17	0	4	4	5	17	4	6	5	32	6	2	27	8	18	12	11	56	15	0	15	1	13	4	7	16	1	26	7	20	4	21	9	3	1	7	1	2	0	2	1	2	5	14	14	5	21	8	15	8	5	3
G[Del(T):R(1,4)]A	3	0	9	7	4	4	3	6	20	11	7	5	6	13	0	2	0	2	5	4	5	3	22	2	0	14	2	13	5	5	51	8	0	6	4	10	5	7	4	3	14	6	10	5	14	2	2	2	10	1	10	1	2	1	0	4	6	3	0	10	11	7	3	6	2
G[Del(T):R(1,4)]C	2	2	3	4	0	5	0	5	9	7	4	2	10	11	1	0	1	2	4	3	3	2	11	4	2	21	0	12	10	2	62	5	0	6	3	5	2	2	4	0	14	10	9	2	12	1	2	0	6	1	7	0	4	0	1	4	11	2	2	9	7	6	4	5	5
G[Del(T):R(1,4)]G	6	4	9	10	1	3	3	2	13	15	5	3	7	12	2	3	1	1	3	4	2	3	10	5	2	13	11	15	3	8	64	10	0	6	1	12	3	10	3	4	15	6	13	3	10	0	1	0	9	1	2	3	1	0	1	4	6	5	5	14	9	2	5	4	2
A[Del(T):R(5,7)]A	3	3	4	11	6	4	0	7	38	17	13	9	5	20	1	0	1	35	9	2	21	4	34	9	2	21	8	23	10	23	1233	8	0	7	2	1	27	1	5	1	23	24	5	2	9	3	12	1	4	5	64	0	1	1	0	6	18	9	0	5	14	6	8	8	4
A[Del(T):R(5,7)]C	1	0	4	2	3	6	5	3	10	10	7	5	3	7	2	1	2	9	8	0	8	4	13	6	0	11	6	16	9	10	616	2	0	9	4	5	14	4	6	6	15	20	4	4	6	2	6	0	2	3	51	0	1	1	2	4	14	7	1	4	8	6	4	5	3
