MutationType	SP99325	SP18310	SP17172	SP96133	SP110242	SP21017	SP22383	SP81312	SP19215	SP16886	SP17905	SP18121	SP96118	SP21400	SP18946	SP80615	SP102897	SP98845	SP107012	SP55142	SP53810	SP116697	SP102133	SP125732	SP125746	SP125770	SP77956	SP124384	SP135287	SP85122	SP84384	SP84982	SP84392	SP84439	SP95454	SP94741	SP90209	SP90989	SP93540	SP93227	SP94348	SP94933	SP92364	SP94917	SP92460	SP89909
[Del(C):R1]A	110	97	28	83	98	84	77	22	45	20	74	72	13	19	40	40	36	21	50	366	459	50	20	8	35	25	7	36	35	86	133	34	78	112	23	42	36	42	60	38	42	38	39	29	12	18
[Del(C):R1]T	84	49	51	51	89	67	53	72	27	56	321	48	7	42	100	194	40	18	18	258	241	94	27	9	31	45	2	129	18	55	45	38	39	45	10	25	57	27	50	76	28	38	29	34	9	13
[Del(C):R2]A	81	25	13	27	51	29	27	81	22	51	247	48	5	51	109	107	29	23	40	422	462	30	9	3	14	17	0	23	25	26	68	20	30	64	9	25	56	6	25	127	16	12	19	21	6	5
[Del(C):R2]T	92	34	21	33	47	54	31	20	26	11	82	51	1	20	35	48	43	19	28	258	315	36	6	5	15	15	3	44	16	35	72	23	29	56	11	26	32	16	32	52	28	26	17	14	11	8
[Del(C):R3]A	139	66	7	49	101	63	63	31	50	17	79	99	10	11	29	33	28	26	49	366	541	29	7	2	31	17	2	23	26	60	99	34	69	117	12	29	56	17	39	115	29	11	14	25	12	10
[Del(C):R3]T	103	71	23	42	77	57	45	21	54	9	48	66	5	13	14	26	25	20	30	185	223	13	5	4	21	10	0	27	36	49	71	32	68	91	18	34	39	28	43	65	37	16	27	25	10	10
[Del(C):R(4,5)]A	1240	1103	135	622	1015	972	679	61	637	16	92	816	130	24	65	56	114	106	265	268	265	43	19	44	354	55	0	238	451	657	1220	421	939	1546	235	415	597	274	732	722	425	137	297	222	123	126
[Del(C):R(4,5)]T	1054	1096	138	521	900	796	563	29	570	9	58	685	107	13	23	30	133	100	246	136	136	30	18	43	346	41	0	187	380	676	1338	368	911	1205	218	434	470	259	719	558	427	135	333	171	148	135
[Del(C):R(1,5)]G	396	348	53	198	384	299	185	26	199	5	43	225	31	12	17	29	54	46	71	177	272	14	7	16	123	21	1	84	137	311	486	137	309	509	91	183	163	131	281	195	155	44	156	61	53	70
Del(C):R(6,9)	4401	5168	965	2274	4163	3715	2271	83	2265	20	71	2694	430	45	100	64	455	400	884	84	83	50	129	183	1814	235	2	924	1722	3774	5268	1764	4469	4713	1114	2005	3129	1369	3768	2366	2105	895	1576	694	575	576
