MutationType	SP109953	SP107650	SP13206	SP13078	SP107607	SP109941	SP109801	SP13072	SP107595	SP107640	SP13084	SP107603	SP109957	SP114020	SP96540	SP114032	SP107624	SP107575	SP13242	SP114016	CPCT02070011T	CPCT02020317T	CPCT02010352T	CPCT02010362T	CPCT02010366T	CPCT02010383T	CPCT02050049T	CPCT02020350T	CPCT02060023T	CPCT02080030T	CPCT02060010T	CPCT02040037T	CPCT02070018T	CPCT02080041T	CPCT02070029T	CPCT02060033T	CPCT02020399T	CPCT02140024T	CPCT02080050T	CPCT02030293T	CPCT02010441T	CPCT02090030T	CPCT02010718T	CPCT02020653T	CPCT02340008TII	CPCT02020876T	CPCT02370016T	CPCT02070275T	CPCT02011028T	CPCT02230072T	CPCT02130028T	CPCT02060182T	CPCT02020657T	DRUP01090026T	CPCT02130029T	CPCT02340010TII	DRUP01020022T	CPCT02120103T	CPCT02300030T	CPCT02150044T	CPCT02020920T	CPCT02080192T	CPCT02130170T	CPCT02260014T	CPCT02020922T	CPCT02011072T	CPCT02010758T	WIDE01010006T	CPCT02040220T	CPCT02100157T	CPCT02230088T	CPCT02130178T	WIDE01010017T	WIDE01010025T	WIDE01010028T	WIDE01010012T	WIDE01010031T	CPCT02020956T	CPCT02010774T	CPCT02010756T	WIDE01010045T	CPCT02080204T	WIDE01010037T	WIDE01010056T	CPCT02070298T	WIDE01010594T	WIDE01010078T	CPCT02130054T	CPCT02040228T	WIDE01010051T	CPCT02050319T	CPCT02020689T	WIDE01010043T	WIDE01010112T	WIDE01010092T	WIDE01010119T	CPCT02170022T	WIDE01010120T	WIDE01010127T	CPCT02300036T	WIDE01010146T	CPCT02070309T	WIDE01010157T	WIDE01010170T	CPCT02020696T	CPCT02030471T	CPCT02130032T	CPCT02070310T	WIDE01010164T	WIDE01010190T	WIDE01010182T	DRUP01050040TII	WIDE01010225T	CPCT02050348T	WIDE01010275T	CPCT02010810T	CPCT02060206T	WIDE01010284T	WIDE01010330T	WIDE01010312T	WIDE01010317T	WIDE01010337T	CPCT02220043T	CPCT02130094T	WIDE01010329T	WIDE01010331T	CPCT02010828T	WIDE01010101T	WIDE01010349T	WIDE01010342T	WIDE01010359T	WIDE01010370T	WIDE01010369T	CPCT02340084T	DRUP01030015T	CPCT02060236T	CPCT02120125T	CPCT02230098T	DRUP01090015T	WIDE01010401T	CPCT02230105T	CPCT02080223T	CPCT02020730T	CPCT02010831T	WIDE01010428T	CPCT02290039T	CPCT02010843T	CPCT02130103T	CPCT02070337T	WIDE01010440T	WIDE01010404T	CPCT02080229T	CPCT02050363T	CPCT02040250T	CPCT02040251T	CPCT02260022T	CPCT02340090T	CPCT02450013T	CPCT02070347T	CPCT02060140T	CPCT02020720T	CPCT02230109T	DRUP01090019T	CPCT02120144T	CPCT02080240T	CPCT02130125T	CPCT02070355T	CPCT02010872T	CPCT02010878T	CPCT02090054T	CPCT02330117T	CPCT02170031T	CPCT02020765T	CPCT02010851T	CPCT02020756T	DRUP01170001T	WIDE01010617T	WIDE01010627T	CPCT02030502T	CPCT02030507T	WIDE01010595T	CPCT02040273T	CPCT02030520T	CPCT02110075T	CPCT02290050T	CPCT02290053T	CPCT02080257T	CPCT02290054T	CPCT02080256T	CPCT02030497T	DRUP01290001T	CPCT02070372T	CPCT02290051T	CPCT02020815T	CPCT02040271T	CPCT02130154T	CPCT02120164T	CPCT02020797T	DRUP01010099T	CPCT02340104T	CPCT02380018T	CPCT02340010TIII	CPCT02060033TII	CPCT02020582T	DRUP01050040T	CPCT02180041T	CPCT02060137T	CPCT02070403T	CPCT02050264T	CPCT02060143T	CPCT02010988T	CPCT02010993T	CPCT02450003T	CPCT02230049T	CPCT02010995T	CPCT02010878TII	CPCT02010656T	CPCT02010645T	DRUP01330016T	DRUP01080005T	CPCT02020879T	DRUP01090004T	CPCT02020613T	DRUP01110006T	CPCT02010993TII	CPCT02060125T	CPCT02010647T	CPCT02170013T	CPCT02170009T	CPCT02170012T	CPCT02020608T	CPCT02010653T	CPCT02230061T	CPCT02050282T	CPCT02010560T	CPCT02380007T	CPCT02380006T	CPCT02080105T	CPCT02340010T	CPCT02010574T	CPCT02180026T	CPCT02100074T	CPCT02120018T	CPCT02380008T	CPCT02170003T	CPCT02020523T	CPCT02060081T	CPCT02110035T	CPCT02080118T	CPCT02010589T	CPCT02030349T	CPCT02110039T	CPCT02030353T	CPCT02020540T	CPCT02010611T	CPCT02010608T	CPCT02330041T	CPCT02380013T	CPCT02010613T	CPCT02010577T	CPCT02050202T	CPCT02020559T	CPCT02050213T	CPCT02020568T	CPCT02030364T	CPCT02050192T	CPCT02010596T	CPCT02030365T	DRUP01010036T	CPCT02230043T	CPCT02080135T	CPCT02050229T	CPCT02010632T	CPCT02020579T	CPCT02020587T	CPCT02070040T	CPCT02070050T	CPCT02300004T	CPCT02020424T	CPCT02020433T	CPCT02010466T	CPCT02010454T	CPCT02140036T	CPCT02010350T	CPCT02100039T	CPCT02050106T	CPCT02020415T	CPCT02180014T	CPCT02090006T	CPCT02020444T	CPCT02030314T	CPCT02190010T	DRUP01010013T	CPCT02080086T	CPCT02010438T	CPCT02190012T	CPCT02010486T	CPCT02060077T	CPCT02020491T	CPCT02010538T	CPCT02170001T	CPCT02170002T	CPCT02050142T	CPCT02080071T	CPCT02020499T	CPCT02340008T	CPCT02020505T	CPCT02080158T	CPCT02010571T	CPCT02380010T	CPCT02110047T	CPCT02030425T	CPCT02080168T	CPCT02020641T	CPCT02230065T	CPCT02330074T	CPCT02010697T	CPCT02090028T	CPCT02450008T	CPCT02010688T	CPCT02020646T	CPCT02010704T	CPCT02010705T	CPCT02250003T	CPCT02010698T	WIDE01010622T	WIDE01010631T	WIDE01010635T	WIDE01010636T	WIDE01010658T	WIDE01010504T	WIDE01010493T	WIDE01010304T	WIDE01010568T	WIDE01010464T	WIDE01010467T	WIDE01010486T	WIDE01010516T	WIDE01010510T	WIDE01010583T	WIDE01010566T	WIDE01010578T	WIDE01010599T	WIDE01010604T	WIDE01010614T	WIDE01010662T	WIDE01010672T	WIDE01010686T	WIDE01010532T	WIDE01010703T	WIDE01010712T	WIDE01010721T	WIDE01010663T
1:Del:C:0	6	12	7	24	22	3	5	15	12	21	12	18	36	20	7	8	6	13	11	20	45	17	5	8	3	7	20	14	20	233	53	25	28	47	32	28	115	30	17	26	257	15	14	14	10	11	42	21	38	839	24	11	14	16	8	16	12	14	16	12	24	19	49	35	6	6	18	5	7	24	1006	20	31	19	71	34	26	2	12	11	21	8	55	24	23	16	56	17	9	26	17	8	18	36	9	20	14	8	543	39	16	19	254	14	6	9	16	45	58	21	66	166	42	59	29	8	486	13	14	384	67	54	114	33	201	6	107	274	27	10	6	18	7	52	45	15	232	31	6	36	13	34	52	192	14	83	11	25	36	9	41	42	27	11	41	24	13	6	50	12	5	25	43	13	51	26	9	7	69	193	31	17	24	11	29	107	30	10	30	12	27	13	14	35	25	8	10	10	7	187	90	7	16	818	23	14	173	5	18	10	47	19	24	14	65	19	12	3	19	153	15	29	12	71	29	66	3	11	79	414	14	37	40	25	25	18	16	35	17	59	4	12	20	48	8	6	125	322	20	15	58	17	25	16	15	20	19	8	13	5	193	11	93	93	6	20	328	4	13	8	19	39	13	16	7	7	7	7	12	29	49	4	5	15	49	37	37	20	18	10	9	5	29	7	74	30	12	17	13	43	20	16	12	402	6	63	6	24	465	20	15	19	8	91	12	17	35	25	14	27	34	49	7	11	29	49	6	70	15	8	9	17	21	48	10	50	24	21	91	95	18	9	8	11	152	7	10	14	24	26	17	78	29	41	22	29	6	11	35	17	19	30	12
1:Del:C:1	6	5	7	7	12	3	9	8	5	6	6	6	16	8	5	7	5	3	5	7	13	11	5	5	3	7	12	11	30	407	49	10	13	50	18	14	33	20	11	12	91	15	8	13	5	5	27	4	24	292	7	4	9	12	7	14	9	4	11	9	8	17	30	15	2	6	12	3	5	15	1231	7	16	3	39	17	38	5	9	11	7	8	21	10	11	10	29	15	6	12	4	6	8	25	2	14	9	10	756	24	14	12	325	5	12	7	11	16	20	13	39	39	14	25	28	7	634	6	7	614	35	79	39	26	365	4	167	346	12	11	6	11	8	62	25	5	281	6	7	18	9	18	44	260	2	21	6	24	20	9	17	60	21	3	39	7	11	9	26	12	6	14	39	8	56	12	6	6	27	109	17	17	14	8	21	27	28	6	27	5	8	7	20	16	21	5	7	11	8	341	20	14	13	1083	12	9	265	1	10	7	27	14	15	11	16	14	9	5	8	207	7	21	15	66	18	26	3	7	53	586	15	19	19	20	22	19	6	10	10	17	6	12	21	27	4	6	176	439	14	8	41	15	12	11	12	5	12	6	11	6	82	5	49	123	1	10	148	3	6	5	7	15	17	16	12	6	5	3	7	9	38	5	3	11	44	15	14	12	8	8	4	7	17	4	21	34	8	20	6	26	13	6	12	583	11	43	4	10	842	10	11	10	6	65	6	10	41	27	11	13	13	57	4	8	13	41	6	36	16	3	11	5	5	28	5	34	7	14	102	100	7	3	7	7	50	8	8	12	14	13	13	33	14	8	9	14	2	5	21	10	11	16	9
1:Del:C:2	1	1	5	9	1	1	5	4	5	6	2	3	3	2	1	2	1	0	2	1	16	7	2	4	0	3	2	6	7	318	24	7	14	15	4	12	23	16	13	3	101	2	2	9	3	7	6	4	6	134	3	5	2	4	5	5	6	4	5	4	10	2	14	12	5	3	9	1	8	3	1092	10	9	5	13	9	30	5	6	1	9	7	14	2	7	3	17	9	2	9	3	10	4	13	4	7	1	3	671	17	7	6	311	5	12	5	6	5	13	5	24	9	7	5	15	5	614	3	2	574	18	55	16	16	318	3	149	306	7	8	4	3	2	57	16	7	273	5	3	6	10	13	16	201	3	10	4	9	13	10	6	47	9	3	34	1	5	5	12	8	4	6	11	4	40	8	3	3	9	48	8	9	5	6	14	7	7	5	9	7	2	7	8	7	10	1	8	12	4	252	10	4	1	1004	7	2	223	1	9	8	13	5	8	3	7	10	1	1	7	177	2	13	13	62	12	9	1	2	30	504	5	12	14	6	13	9	4	7	5	7	2	1	6	10	1	3	164	360	6	8	23	3	6	13	4	6	6	1	8	1	104	5	21	122	3	5	57	1	3	2	6	10	4	5	4	3	0	1	10	9	20	2	3	5	30	4	11	9	5	6	2	1	5	6	13	19	1	8	8	26	4	5	6	490	3	22	6	7	793	5	7	2	2	31	6	3	12	8	7	4	13	33	5	5	1	16	5	24	7	5	9	8	3	17	6	38	6	3	86	95	2	6	1	9	12	3	8	6	6	2	7	33	10	10	4	2	3	1	11	5	1	8	1
1:Del:C:3	1	3	3	1	3	2	1	2	4	3	3	2	3	4	0	2	0	2	3	1	11	5	1	2	0	1	1	3	5	111	12	1	7	10	4	4	9	28	4	2	297	4	4	4	2	3	5	3	6	208	2	1	3	4	0	2	2	4	4	1	4	0	10	12	0	3	4	1	1	6	357	2	7	4	6	1	17	1	3	0	2	4	10	2	4	2	15	4	2	3	2	2	3	7	5	5	2	6	227	11	2	4	100	5	3	1	6	9	11	1	6	5	4	4	4	1	191	2	3	207	8	34	13	10	112	0	51	103	8	2	2	4	1	27	9	2	88	3	2	4	2	2	15	61	6	14	1	0	2	2	2	12	3	2	15	2	3	2	9	3	1	3	10	2	23	5	0	1	6	26	5	3	4	3	4	2	4	3	4	2	2	3	4	2	5	0	4	4	3	89	15	4	2	322	6	0	80	0	1	3	8	3	3	3	3	3	2	0	2	82	2	6	8	19	7	2	0	1	12	181	3	7	6	3	6	6	3	7	6	2	2	6	5	6	0	1	63	159	4	1	12	0	4	3	3	2	2	3	3	1	316	2	11	43	0	3	22	1	2	2	2	7	2	3	6	1	1	4	6	8	6	0	5	3	10	0	3	2	1	2	1	4	3	2	7	11	1	6	2	13	4	3	4	178	2	12	1	2	279	1	6	3	3	11	1	4	7	5	5	9	4	17	1	5	1	13	1	11	5	0	4	2	1	6	1	18	5	5	34	33	3	1	1	4	9	4	2	3	5	1	7	89	4	3	4	3	1	0	6	3	6	5	2
1:Del:C:4	1	1	1	1	5	2	2	1	3	1	1	1	1	1	1	4	2	2	0	3	9	3	1	1	0	1	1	1	1	66	5	4	1	2	2	3	14	88	1	7	861	2	1	5	3	0	7	3	4	391	1	3	0	0	1	3	2	0	2	1	4	3	5	6	1	1	1	0	0	2	256	1	0	1	7	3	5	0	2	1	0	1	2	4	3	1	3	5	2	1	0	1	2	2	1	1	0	2	190	8	3	2	61	3	3	0	1	2	12	2	6	5	0	1	3	1	149	2	1	132	10	15	3	6	85	1	36	83	2	3	3	1	2	17	8	1	64	11	2	6	1	5	4	42	1	10	0	5	4	1	4	11	2	1	5	5	2	3	2	1	1	3	4	3	15	1	0	1	2	16	4	4	6	1	1	1	3	1	7	0	2	3	1	2	1	3	1	2	2	70	8	0	2	252	3	2	60	0	3	0	5	3	3	0	3	6	2	2	1	51	1	4	7	14	4	2	0	0	6	135	0	3	2	1	4	0	2	3	1	1	2	1	4	1	1	0	52	120	2	1	7	1	1	2	2	3	3	3	0	0	805	2	8	33	0	3	6	0	0	2	0	5	1	3	2	0	1	0	2	6	7	0	0	1	12	6	6	4	1	5	2	2	3	1	4	6	1	2	2	4	0	6	2	138	0	8	1	3	216	1	4	1	1	11	1	2	4	2	3	5	9	17	0	1	1	6	1	4	1	0	2	1	1	3	2	9	2	2	25	19	0	1	0	2	4	1	2	8	7	1	5	229	6	3	3	3	1	1	1	1	2	2	2
1:Del:C:5	5	1	2	6	1	2	2	1	3	0	1	0	4	4	1	4	0	3	6	1	22	4	1	2	0	1	2	2	3	33	18	16	1	2	7	2	23	242	2	4	2427	11	5	2	1	5	1	8	15	1637	7	0	2	0	0	7	1	4	8	1	1	0	8	21	1	1	1	0	0	12	127	0	8	1	14	5	11	0	2	0	1	1	22	13	7	1	2	3	7	1	0	1	5	12	0	3	0	1	110	6	0	1	45	1	0	1	0	13	9	5	12	16	3	2	2	4	74	1	1	76	12	13	12	6	62	0	34	40	3	1	3	1	3	16	12	2	37	59	0	3	0	2	1	45	4	24	1	5	3	2	5	4	3	0	5	8	7	0	4	2	1	13	8	1	7	3	1	1	0	23	3	12	1	0	3	1	6	2	4	3	9	2	2	21	4	1	4	3	4	41	24	4	0	127	1	3	50	0	6	2	2	10	3	1	10	3	1	0	4	48	3	5	7	9	4	0	2	0	18	76	3	5	2	4	2	5	0	12	3	1	0	4	14	6	2	1	22	64	12	3	11	6	1	0	1	3	7	4	2	0	2376	4	8	26	0	1	22	0	2	1	2	6	1	2	2	1	2	1	0	4	10	1	1	2	4	14	9	2	3	1	2	2	5	2	13	5	2	7	1	5	1	4	1	73	3	6	1	3	114	1	5	3	1	17	0	1	3	1	2	11	31	10	0	1	3	10	2	18	11	1	3	2	1	0	0	9	8	13	22	20	1	0	0	1	12	0	0	10	13	0	10	827	5	6	15	4	5	0	6	0	0	1	2
1:Del:T:0	8	6	2	8	3	7	4	10	7	6	8	5	6	12	11	5	3	9	6	5	30	5	1	3	1	6	7	12	24	97	38	49	26	65	15	21	46	23	23	6	150	15	15	15	8	14	30	13	39	292	11	5	14	12	2	13	5	12	20	16	11	10	24	37	9	5	16	1	10	19	388	11	11	9	34	22	35	8	11	9	15	12	29	16	14	12	33	13	11	25	4	15	14	37	9	16	8	7	175	23	12	18	99	8	12	10	14	32	26	13	42	24	25	9	29	8	145	8	13	128	34	38	52	37	112	11	63	87	14	14	5	14	13	33	10	8	78	17	5	24	13	16	56	87	8	33	12	33	17	17	13	24	18	9	21	26	10	10	45	12	4	29	24	20	33	12	4	9	4	70	25	22	23	12	23	8	13	10	20	15	20	11	21	28	20	10	11	14	13	98	34	7	10	256	7	4	95	8	13	19	52	14	17	11	19	18	5	4	19	76	12	29	9	43	6	7	3	7	51	123	8	35	18	20	27	16	16	30	10	6	4	13	20	23	5	6	64	132	13	9	51	13	13	14	5	16	13	7	5	10	112	8	65	49	2	15	64	7	10	11	7	17	18	10	12	10	12	1	14	14	37	3	7	12	70	12	39	11	8	12	11	5	25	7	34	32	5	18	16	51	9	10	8	115	11	40	8	22	208	12	14	9	13	34	11	11	32	17	5	14	16	16	13	13	14	61	8	63	26	8	9	7	11	83	8	30	14	16	29	33	7	12	5	14	10	5	7	18	132	11	18	48	18	25	11	19	12	4	25	5	18	19	11
1:Del:T:1	3	5	6	5	2	1	4	4	5	2	5	4	7	10	4	4	1	9	2	2	16	3	2	4	1	4	7	8	26	73	26	39	23	45	7	11	34	15	11	10	125	10	5	23	3	8	12	2	20	499	5	2	1	8	0	15	6	10	12	8	15	8	13	55	16	8	4	3	13	8	295	9	2	3	18	16	38	6	11	7	11	7	19	16	5	8	26	6	8	4	3	9	5	30	7	11	7	4	168	14	16	5	72	4	13	7	6	22	20	14	36	10	11	10	17	2	162	6	6	142	17	34	28	42	73	9	37	82	12	9	2	13	16	39	13	4	73	10	4	11	8	12	39	70	7	18	8	18	10	13	7	15	9	15	22	19	8	7	30	6	3	9	13	13	26	11	6	3	5	73	31	6	9	3	16	6	11	13	15	9	5	10	10	21	18	3	8	8	12	86	14	6	5	250	17	3	67	3	10	8	18	12	9	2	8	11	3	4	10	71	2	27	17	29	17	6	2	6	54	141	11	22	20	13	28	14	9	29	7	10	4	8	13	14	2	3	44	103	12	6	42	6	9	6	6	7	6	8	0	5	107	4	29	52	3	9	51	3	8	7	6	11	11	5	4	9	3	3	10	10	43	5	3	6	49	17	16	8	4	11	1	5	26	11	31	25	1	8	1	43	6	6	10	141	6	27	3	8	170	4	8	11	11	23	6	6	37	20	6	9	21	21	5	10	15	49	5	56	15	1	4	6	3	39	13	16	10	11	28	27	4	0	3	6	9	6	5	20	20	10	13	50	6	13	10	7	4	2	15	5	13	16	7
1:Del:T:2	9	3	4	7	2	3	7	7	6	3	5	2	5	7	1	3	7	4	4	7	17	8	2	1	1	0	7	6	21	56	17	32	15	41	18	10	44	20	15	4	195	8	3	14	5	11	16	6	18	170	6	1	4	11	5	7	10	10	9	7	13	4	14	27	8	5	19	1	11	6	215	4	7	5	26	15	35	1	12	5	9	4	8	13	4	14	30	8	5	11	1	10	13	16	4	12	3	2	118	21	10	9	74	1	10	2	14	26	21	8	34	5	16	7	20	7	102	4	6	97	20	25	43	30	93	3	31	49	4	7	5	8	7	30	10	4	54	10	0	15	5	18	31	62	10	14	8	11	11	9	9	12	14	12	10	13	3	4	22	5	2	18	17	12	21	7	2	2	5	64	11	14	11	8	15	5	15	7	7	5	8	17	15	23	17	4	3	9	6	51	19	6	1	169	15	4	44	6	10	8	30	10	7	9	2	7	3	1	10	55	6	17	14	17	13	6	0	7	41	85	6	25	24	8	18	8	18	23	4	5	6	8	9	24	4	1	43	71	9	2	43	9	5	8	5	10	9	6	5	7	167	5	33	31	3	4	36	0	5	4	5	10	13	13	5	5	3	4	7	10	33	3	5	2	35	7	18	12	1	4	6	5	22	4	21	29	7	18	6	32	5	4	8	82	4	21	5	13	126	13	6	8	9	21	6	9	30	11	6	15	15	14	5	8	5	34	6	47	10	1	14	2	5	17	7	13	14	9	27	19	6	5	7	14	10	4	3	19	14	10	5	62	10	11	12	11	3	5	6	3	16	16	10
1:Del:T:3	3	5	9	4	6	7	6	7	7	4	3	6	6	13	4	3	6	4	2	2	17	3	2	2	0	3	9	7	15	60	13	61	16	25	19	13	78	58	10	9	930	10	4	5	4	2	10	5	15	353	5	5	5	8	6	17	6	7	11	6	13	6	39	35	8	2	13	3	7	11	231	5	5	10	26	22	58	2	8	4	8	3	26	11	13	10	13	9	5	6	8	15	7	18	5	9	2	2	120	21	7	16	66	9	8	6	5	32	22	9	33	12	18	11	10	5	127	5	4	103	25	37	60	12	72	4	40	69	9	6	4	11	7	22	13	2	54	14	1	16	1	18	22	81	5	44	3	11	15	7	6	20	28	10	13	37	6	2	16	7	8	24	14	16	20	12	5	5	6	90	10	15	14	4	11	5	14	17	14	7	8	8	8	51	10	3	3	6	6	68	47	2	5	186	8	5	65	0	17	5	59	13	12	10	10	14	6	1	8	63	5	9	12	22	13	7	2	5	56	99	12	15	22	14	9	13	29	38	11	2	2	6	13	26	2	6	41	85	12	5	40	7	7	5	6	9	3	2	1	4	646	1	42	43	1	4	43	2	3	7	3	19	4	8	7	3	5	4	7	8	28	1	5	9	30	16	25	3	7	8	7	6	34	2	41	27	6	12	7	25	4	6	9	87	6	29	4	10	150	11	5	6	6	27	7	10	17	13	5	13	18	23	7	7	9	39	2	58	13	3	10	7	8	4	6	22	16	13	29	28	4	4	3	12	14	6	7	25	20	10	7	255	6	7	11	17	4	2	9	3	8	18	3
