MutationType	SP135192	SP135335	SP135278	SP135287	SP135345	SP85122	SP84384	SP135184	SP135226	SP135436	SP135262	SP135431	SP135425	SP135222	SP135230	SP135205	SP135180	SP135213	SP135217	SP135405	SP135238	SP135270	SP135411	SP135188	SP135194	SP135186	SP135420	SP135258	SP135234	SP135293	SP135393	SP135299	SP135415	SP135310	SP135323	SP135390	SP135209	SP135240	SP135182	SP85251	SP84408	SP84491	SP84743	SP83967	SP105253	SP84998	SP84062	SP84982	SP84790	SP105673	SP85339	SP84719	SP105425	SP84056	SP105261	SP85379	SP105086	SP84392	SP105018	SP84858	SP84086	SP105213	SP105577	SP85431	SP84962	SP105006	SP84439	SP105159	SP85230	SP84922	SP85130	SP104984	SP85222	SP105375	SP85287	CPCT02060042T	CPCT02130027T	CPCT02290024T	CPCT02230080T	CPCT02070282T	CPCT02060201T	CPCT02010752T	CPCT02130046T	CPCT02190033T	WIDE01010213T	CPCT02440010T	WIDE01010272T	DRUP01070085T	CPCT02380045T	CPCT02150013T	CPCT02010769T	CPCT02450014T	CPCT02130122T	CPCT02230107T	DRUP01090017T	CPCT02020781T	CPCT02310016T	CPCT02300050T	CPCT02020808T	CPCT02050414T	CPCT02230042T	CPCT02040170T	CPCT02330059T	CPCT02330063T	CPCT02020512T	CPCT02110031T	CPCT02030347T	CPCT02050179T	CPCT02010591T	CPCT02170007T	CPCT02210025T	CPCT02030376T	CPCT02050110T	CPCT02030318T	CPCT02100056T	CPCT02030326T	CPCT02120007T	WIDE01010573T	WIDE01010693T
1:Del:C:0	1	1	1	59	6	158	223	0	8	24	4	17	18	5	11	4	0	13	0	29	0	21	11	9	9	26	23	2	22	0	12	44	12	0	15	1	4	16	28	14	18	80	62	16	40	17	8	83	40	59	16	16	24	29	15	25	42	134	187	33	13	12	14	25	11	29	195	22	54	47	39	16	17	48	23	9	20	48	28	43	28	15	21	31	48	75	17	269	36	20	25	330	25	39	100	72	20	106	24	40	6	18	76	51	14	22	512	55	36	57	43	36	48	63	29	34	32	86	25
1:Del:C:1	0	2	0	41	6	72	147	0	6	16	1	7	10	4	6	0	0	11	0	5	0	16	2	4	9	12	9	1	18	0	10	19	6	0	9	2	3	10	19	9	11	42	27	10	16	8	6	43	10	27	10	4	14	15	8	14	24	64	99	22	10	12	12	10	9	11	124	9	22	22	16	8	2	16	19	7	12	16	10	25	7	6	14	11	20	39	5	110	26	11	19	138	10	16	57	31	9	28	12	19	2	16	23	23	10	18	172	25	12	40	24	23	25	25	12	13	22	31	10
1:Del:C:2	0	0	0	72	2	129	195	0	2	6	1	10	6	1	0	2	0	5	0	2	0	8	3	2	1	3	8	0	12	0	4	6	5	0	5	0	0	3	6	3	6	23	19	0	11	5	1	73	10	14	7	5	9	15	3	6	14	149	51	8	9	9	6	6	5	10	244	4	16	9	14	2	6	11	3	2	3	10	11	14	8	0	8	7	16	15	7	126	7	6	6	85	8	8	32	18	10	15	10	9	0	6	21	14	5	9	179	8	12	16	15	12	15	20	7	8	12	16	7
1:Del:C:3	0	0	0	233	1	403	778	0	0	6	1	8	5	3	1	0	0	3	0	8	0	4	1	2	1	2	4	2	6	0	1	2	1	0	1	0	2	3	9	3	3	17	19	3	9	3	3	265	11	15	4	5	5	10	4	9	8	475	30	6	7	4	3	4	4	3	1004	3	6	8	9	4	1	8	3	2	0	6	5	8	3	3	6	8	3	10	1	324	7	2	7	142	5	5	15	13	5	12	7	8	0	3	13	6	4	5	477	11	3	11	4	4	4	8	1	6	8	12	2
1:Del:C:4	0	0	0	719	0	1193	2189	0	0	2	0	8	8	2	1	3	0	3	0	1	0	7	0	2	0	1	2	1	4	0	0	4	2	0	0	0	0	1	8	3	1	17	16	2	10	2	1	643	2	7	3	22	5	6	3	4	6	1650	13	7	4	3	4	1	3	2	2178	6	7	12	1	3	3	6	1	1	3	9	2	4	4	3	4	5	11	6	6	714	2	2	5	314	4	7	10	11	2	6	1	5	0	2	12	5	2	1	1383	14	1	9	10	2	9	4	1	8	7	5	4
1:Del:C:5	0	0	0	1722	0	3774	5268	0	1	9	0	14	3	2	4	2	0	3	0	7	0	6	0	3	0	2	8	0	4	0	2	5	1	0	2	1	1	2	36	7	3	11	24	7	14	8	1	1764	8	3	13	39	27	3	1	9	10	4469	6	17	2	8	10	2	6	9	4713	7	2	20	14	2	8	17	10	1	8	31	18	19	19	2	14	15	13	18	8	2758	19	6	8	1821	13	19	23	23	14	23	15	29	3	5	37	19	11	4	3956	35	7	10	15	6	20	23	4	17	15	19	9
1:Del:T:0	0	4	1	55	14	77	131	1	5	9	3	20	26	8	10	2	0	10	0	15	1	12	9	8	6	10	25	0	17	0	13	28	8	0	3	5	1	12	33	14	14	63	55	12	24	13	6	73	25	29	9	15	13	18	12	36	64	103	79	20	10	28	10	14	12	34	157	22	29	72	33	15	7	40	19	6	7	31	18	16	16	11	19	32	42	43	9	221	28	17	32	205	16	25	59	58	33	38	24	26	5	22	34	38	9	20	326	37	19	37	38	20	33	53	15	31	30	48	24
1:Del:T:1	0	2	0	85	21	107	165	1	5	15	3	11	35	4	5	2	1	1	0	15	0	10	5	9	4	8	21	2	25	0	12	4	2	0	3	1	0	4	36	7	9	92	73	5	20	7	7	108	34	23	13	8	16	16	11	37	29	181	55	18	8	14	11	12	12	25	288	4	16	75	10	8	3	39	19	4	11	48	13	17	10	7	16	19	32	49	1	225	33	9	30	104	9	18	56	26	39	26	12	14	2	11	41	46	5	6	317	23	24	30	30	27	21	49	22	33	47	30	26
1:Del:T:2	0	2	1	148	11	239	359	3	0	9	4	13	20	4	7	1	0	3	0	18	0	8	8	2	7	11	13	1	18	0	10	20	2	0	4	1	1	4	37	8	6	48	43	10	36	13	5	214	20	23	17	5	13	24	6	15	30	276	92	20	7	8	7	11	11	22	549	18	15	36	17	9	2	46	24	4	9	29	14	16	6	7	9	21	24	26	5	289	19	12	16	187	11	20	38	43	9	27	10	20	3	9	44	25	9	16	611	18	14	22	23	19	27	28	22	18	24	29	14
1:Del:T:3	0	1	3	973	13	1299	1670	0	4	20	0	17	16	4	8	1	0	7	0	20	0	10	6	8	8	15	15	0	19	0	15	26	3	0	6	0	3	15	53	7	3	87	52	11	19	10	8	963	41	44	25	27	22	14	8	39	30	1556	117	19	13	19	17	16	10	20	1911	11	31	84	26	16	7	52	21	5	10	47	22	18	15	10	14	28	39	38	19	877	37	24	22	533	10	27	50	64	24	47	11	23	3	11	52	33	12	9	2853	30	11	26	40	24	45	37	19	34	37	37	21
1:Del:T:4	1	2	0	3064	13	4121	4821	0	7	52	8	52	34	14	10	5	0	9	0	20	0	14	23	8	14	20	22	2	36	0	22	29	9	0	5	1	2	24	104	7	9	73	61	13	58	25	7	2570	45	24	32	40	47	27	15	43	34	4855	108	42	7	32	21	12	36	23	5796	18	19	95	45	12	9	81	28	4	10	58	30	34	31	12	16	36	45	49	9	2306	35	16	19	1725	22	38	64	43	34	55	19	38	2	11	61	33	27	17	7872	47	19	36	33	24	42	59	16	40	57	41	18
1:Del:T:5	0	8	4	43576	55	66491	66373	0	47	409	16	493	180	113	93	31	0	87	0	175	2	168	75	33	111	87	217	16	289	0	139	137	25	0	10	6	12	134	1140	50	40	820	765	109	525	328	15	37716	249	151	591	293	614	223	137	595	340	66892	233	617	65	327	247	60	123	269	58870	147	51	932	551	206	71	628	213	9	116	944	630	547	467	148	450	668	589	679	317	55694	419	172	316	49371	201	894	800	514	345	794	632	666	24	123	964	769	259	255	116011	1063	210	461	459	341	575	945	284	439	608	467	332
1:Ins:C:0	0	0	0	32	3	64	52	0	0	10	5	42	20	4	3	0	0	2	0	5	0	5	0	13	1	5	9	0	21	0	49	44	2	0	0	1	4	5	23	0	6	111	840	3	92	1	1	91	96	6	17	9	29	20	10	72	6	64	87	27	5	9	5	0	6	6	367	2	3	96	18	10	2	413	5	0	7	22	37	49	25	17	64	44	60	211	6	315	44	16	78	375	5	32	355	11	46	100	16	15	4	121	70	20	9	19	150	20	36	19	245	16	80	18	19	53	172	25	42
1:Ins:C:1	0	2	0	7	2	24	9	0	2	4	0	5	4	0	0	0	0	2	0	1	1	1	1	4	1	1	2	1	3	0	5	4	0	0	0	0	1	1	3	0	1	16	33	1	5	1	1	15	6	1	0	5	2	6	1	5	5	18	8	6	1	1	3	0	0	4	46	1	2	7	5	0	1	22	0	1	2	7	7	5	2	7	4	10	7	14	1	45	4	1	7	410	4	9	22	5	2	11	5	5	3	7	11	10	3	6	37	5	4	4	12	5	9	10	2	6	9	7	7
1:Ins:C:2	0	0	0	8	1	15	19	0	1	4	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	1	1	2	2	1	7	5	1	3	0	8	2	3	0	2	1	5	2	3	4	21	4	7	0	2	3	2	1	3	17	4	0	3	3	2	2	7	2	0	0	2	1	2	3	0	3	4	2	4	0	23	3	1	1	240	2	1	7	0	3	2	2	1	0	1	5	2	0	1	39	3	5	2	2	0	4	6	0	1	2	1	4
1:Ins:C:3	0	1	0	27	1	36	87	0	0	1	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	2	0	0	0	0	0	0	2	6	1	0	5	4	0	5	0	0	35	4	1	0	1	3	2	0	0	2	67	0	3	1	2	2	0	0	1	54	1	1	2	3	1	1	4	2	0	0	4	2	2	2	1	2	7	4	3	1	39	5	4	3	413	2	1	4	2	2	4	2	1	1	3	3	3	1	2	74	6	0	2	3	0	3	5	1	1	2	4	0
1:Ins:C:4	0	0	0	241	1	347	488	0	0	5	0	3	2	3	4	1	0	2	0	2	0	2	2	1	0	0	3	0	5	0	1	3	1	0	0	0	0	1	8	2	1	10	5	2	5	0	0	150	6	1	5	0	5	4	1	4	4	334	4	6	1	1	1	2	1	0	300	2	0	7	5	0	2	10	7	1	1	6	7	7	2	2	1	3	4	5	1	180	5	6	7	23042	3	5	6	5	3	7	1	6	2	3	7	9	2	6	356	3	4	5	5	2	6	10	0	2	6	7	3
1:Ins:C:5	0	0	0	740	4	1507	1467	0	2	27	1	24	10	9	7	1	1	2	0	7	1	10	5	0	2	1	10	2	11	0	6	6	2	0	1	0	0	16	43	5	3	62	20	2	40	16	6	692	12	7	19	18	28	33	7	32	20	1469	15	20	11	9	10	3	8	11	1459	10	5	25	13	15	1	40	20	3	8	43	30	13	32	12	14	51	24	35	16	1212	35	9	15	23987	30	35	39	16	13	23	28	37	5	8	51	40	17	14	1551	40	21	8	26	8	26	50	2	17	33	22	17
1:Ins:T:0	0	0	0	31	0	57	47	0	0	6	1	10	3	2	1	2	1	0	0	2	0	3	0	2	1	0	3	0	11	0	4	5	3	0	2	0	0	3	9	2	2	27	45	2	9	1	2	36	11	7	6	1	4	5	0	17	5	70	20	4	1	4	6	3	0	6	78	1	4	11	2	2	2	31	4	1	6	17	15	15	20	5	13	22	29	19	10	182	15	7	14	571	8	18	39	14	10	23	10	26	2	13	29	22	3	23	190	16	14	15	29	6	23	23	8	12	17	20	5
