MutationType	SP135192	SP135335	SP135278	SP135287	SP135345	SP85122	SP84384	SP135184	SP135226	SP135436	SP135262	SP135431	SP135425	SP135222	SP135230	SP135205	SP135180	SP135213	SP135217	SP135405	SP135238	SP135270	SP135411	SP135188	SP135194	SP135186	SP135420	SP135258	SP135234	SP135293	SP135393	SP135299	SP135415	SP135310	SP135323	SP135390	SP135209	SP135240	SP135182	SP85251	SP84408	SP84491	SP84743	SP83967	SP105253	SP84998	SP84062	SP84982	SP84790	SP105673	SP85339	SP84719	SP105425	SP84056	SP105261	SP85379	SP105086	SP84392	SP105018	SP84858	SP84086	SP105213	SP105577	SP85431	SP84962	SP105006	SP84439	SP105159	SP85230	SP84922	SP85130	SP104984	SP85222	SP105375	SP85287	CPCT02060042T	CPCT02130027T	CPCT02290024T	CPCT02230080T	CPCT02070282T	CPCT02060201T	CPCT02010752T	CPCT02130046T	CPCT02190033T	WIDE01010213T	CPCT02440010T	WIDE01010272T	DRUP01070085T	CPCT02380045T	CPCT02150013T	CPCT02010769T	CPCT02450014T	CPCT02130122T	CPCT02230107T	DRUP01090017T	CPCT02020781T	CPCT02310016T	CPCT02300050T	CPCT02020808T	CPCT02050414T	CPCT02230042T	CPCT02040170T	CPCT02330059T	CPCT02330063T	CPCT02020512T	CPCT02110031T	CPCT02030347T	CPCT02050179T	CPCT02010591T	CPCT02170007T	CPCT02210025T	CPCT02030376T	CPCT02050110T	CPCT02030318T	CPCT02100056T	CPCT02030326T	CPCT02120007T	WIDE01010573T	WIDE01010693T
A[Del(C):R1]A	1	0	0	33	3	60	109	0	1	3	2	2	3	0	1	1	0	2	0	11	0	5	4	1	1	4	8	0	4	0	4	6	2	0	2	0	0	4	8	4	3	13	11	2	7	6	2	30	7	12	3	1	7	6	1	3	5	61	19	4	3	4	4	1	4	7	89	1	5	10	11	2	2	9	7	2	1	13	8	9	7	0	8	7	9	15	6	98	5	4	1	151	7	10	16	15	3	20	6	9	2	6	10	14	1	7	194	7	9	10	11	5	13	9	3	7	6	15	3
A[Del(C):R1]G	0	0	0	5	0	8	31	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	3	2	2	1	1	0	0	6	1	0	0	1	1	0	0	1	1	9	1	0	0	1	0	0	0	0	29	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	2	1	1	0	5	0	3	0	15	0	0	1	2	2	1	0	3	0	0	0	0	0	1	11	3	0	0	0	1	0	1	0	1	0	0	0
A[Del(C):R1]T	0	0	0	5	0	12	8	0	3	6	0	3	3	0	2	1	0	3	0	5	0	4	2	1	5	8	4	1	6	0	1	7	1	0	3	1	2	3	8	4	2	11	4	2	12	2	4	13	7	15	7	4	5	4	5	6	10	9	43	8	3	3	4	8	0	5	9	8	9	7	4	7	5	9	6	1	1	8	4	5	4	2	3	6	5	9	2	23	6	1	3	9	5	6	12	13	3	15	2	5	1	1	14	6	0	3	39	11	8	11	5	5	6	6	7	6	5	13	8
A[Del(C):R2]A	0	0	0	8	1	10	23	0	1	1	1	1	2	0	0	0	0	0	0	0	0	3	0	1	2	3	1	1	3	0	0	2	2	0	2	0	0	0	2	0	1	9	5	0	1	1	1	7	2	5	0	0	3	0	1	2	3	9	7	4	2	0	0	2	2	0	19	0	1	2	0	1	0	1	4	0	1	6	0	1	2	1	3	2	1	3	1	27	6	4	1	28	0	1	5	5	2	2	0	6	0	3	2	1	0	1	40	4	3	6	1	2	4	2	0	2	3	2	2
A[Del(C):R2]G	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	3	0	0	0	1	0	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	1	1	0	1	1	0	0
A[Del(C):R2]T	0	1	0	1	1	15	24	0	2	4	0	1	5	0	1	0	0	3	0	4	0	2	0	0	0	2	2	0	4	0	1	3	0	0	0	0	0	3	4	2	1	4	4	0	2	0	1	5	0	0	2	1	2	1	1	3	3	15	14	3	2	4	4	2	0	1	21	0	4	7	4	2	2	1	4	3	1	1	2	4	0	0	2	2	1	3	1	15	4	0	4	41	2	5	6	5	0	2	3	1	0	5	4	3	1	1	25	4	3	4	4	3	3	6	4	1	2	3	3
A[Del(C):R3]A	0	0	0	12	0	38	31	0	0	2	0	1	1	0	0	0	0	4	0	0	0	2	0	0	1	0	1	0	0	0	0	2	2	0	1	0	0	0	1	0	3	3	1	0	0	1	0	19	2	5	0	1	2	1	0	0	0	32	7	1	1	1	2	0	0	0	54	1	2	2	1	0	1	2	0	0	0	2	3	2	3	0	2	2	6	3	1	25	2	0	2	16	0	1	4	3	2	1	1	2	0	0	2	3	2	0	49	3	1	0	4	2	3	6	0	0	5	1	1
A[Del(C):R3]G	0	0	0	4	0	9	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	1	1	0	1	5	1	0	0	0	0	0	0	0	13	0	0	1	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	9	0	0	1	5	0	2	1	0	0	0	0	0	0	0	0	1	0	0	8	0	0	1	0	0	0	0	0	0	0	1	1
A[Del(C):R3]T	0	0	0	13	0	18	22	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	1	1	5	2	0	1	1	0	11	0	1	0	1	0	0	0	0	1	29	7	2	0	2	0	0	1	3	22	1	1	1	1	1	0	1	0	0	0	1	1	3	0	0	0	1	1	2	2	15	2	0	1	19	2	1	4	1	0	1	2	1	0	1	0	1	0	1	20	2	1	1	4	0	3	1	1	3	0	1	0
A[Del(C):R4]A	0	0	0	43	0	71	96	0	0	1	0	3	2	0	1	0	0	0	0	3	0	1	1	0	0	1	3	0	2	0	0	1	0	0	0	0	0	0	3	0	0	6	6	1	2	1	0	49	2	1	0	1	0	1	0	1	2	82	4	3	5	1	0	0	0	0	105	1	1	2	3	0	0	0	1	0	0	2	0	1	0	0	1	3	2	1	0	55	0	0	1	27	0	0	2	3	1	5	2	0	0	0	2	0	0	2	96	1	1	3	1	1	2	0	0	3	3	1	0
