cluster_id	size	retained	medoid	min_cos_sim	mean_cos_sim	max_cos_sim	members
1	62	TRUE	C.PH.Lung.2	0.9055	0.9856	1	C.H.All.1; C.H.Biliary.2; C.H.Bladder.1; C.H.Bone.SoftTissue.3; C.H.Breast.2; C.H.CNS.5; C.H.Colon.1; C.H.Esophagus.2; C.H.Head.3; C.H.Kidney.1; C.H.Liver.2; C.H.Lung.1; C.H.MSI.1; C.H.Other.6; C.H.Ovary.1; C.H.Pancreas.2; C.H.Prostate.1; C.H.Skin.1; C.H.Thymus.1; C.H.Uterus.1; C.P.All.2; C.P.Biliary.1; C.P.Bladder.1; C.P.Bone.SoftTissue.2; C.P.CNS.1; C.P.Colon.1; C.P.Head.2; C.P.Kidney.1; C.P.Liver.2; C.P.Lung.2; C.P.Lymphoid.1; C.P.MSI.1; C.P.Other.1; C.P.Ovary.1; C.P.Pancreas.1; C.P.Prostate.2; C.P.Skin.2; C.P.Stomach.2; C.P.Uterus.1; C.PH.All.1; C.PH.Biliary.3; C.PH.Bladder.2; C.PH.Bone.SoftTissue.1; C.PH.Breast.4; C.PH.CNS.1; C.PH.Colon.1; C.PH.Esophagus.1; C.PH.Head.2; C.PH.Kidney.4; C.PH.Liver.4; C.PH.Lung.2; C.PH.Lymphoid.4; C.PH.MSI.1; C.PH.Myeloid.2; C.PH.Other.2; C.PH.Ovary.2; C.PH.Pancreas.1; C.PH.Prostate.1; C.PH.Skin.1; C.PH.Stomach.1; C.PH.Thymus.2; C.PH.Uterus.1
2	56	TRUE	C.PH.Breast.1	0.9128	0.9865	1	C.H.All.2; C.H.Biliary.1; C.H.Bladder.3; C.H.Breast.1; C.H.Colon.2; C.H.Esophagus.1; C.H.Head.2; C.H.Kidney.3; C.H.Liver.4; C.H.Lung.3; C.H.Lymphoid.2; C.H.MSI.2; C.H.Other.1; C.H.Ovary.3; C.H.Pancreas.1; C.H.Prostate.2; C.H.Skin.5; C.H.Stomach.1; C.H.Thymus.2; C.H.Uterus.2; C.P.All.1; C.P.Biliary.2; C.P.Bladder.5; C.P.Breast.5; C.P.Colon.2; C.P.Esophagus.3; C.P.Head.3; C.P.Kidney.2; C.P.Liver.3; C.P.MSI.2; C.P.Other.2; C.P.Pancreas.2; C.P.Prostate.1; C.P.Skin.4; C.P.Stomach.1; C.P.Uterus.2; C.PH.All.2; C.PH.Biliary.1; C.PH.Bladder.3; C.PH.Breast.1; C.PH.Colon.2; C.PH.Esophagus.4; C.PH.Head.1; C.PH.Kidney.2; C.PH.Liver.1; C.PH.Lung.3; C.PH.Lymphoid.3; C.PH.MSI.2; C.PH.Other.1; C.PH.Ovary.4; C.PH.Pancreas.2; C.PH.Prostate.2; C.PH.Skin.3; C.PH.Stomach.3; C.PH.Thymus.3; C.PH.Uterus.2
3	8	TRUE	C.PH.Liver.2	0.9247	0.9581	0.9986	C.H.All.3; C.H.Breast.11; C.H.Liver.1; C.H.Lung.5; C.P.Prostate.4; C.PH.Breast.3; C.PH.Liver.2; C.PH.Prostate.3
4	11	TRUE	C.PH.Esophagus.2	0.9644	0.9891	0.9995	C.H.All.4; C.H.Lymphoid.1; C.H.Other.15; C.H.Stomach.5; C.P.Bladder.4; C.P.Esophagus.2; C.PH.All.3; C.PH.Esophagus.2; C.PH.Lymphoid.1; C.PH.Other.16; C.PH.Uterus.5
5	23	TRUE	C.H.Lung.2	0.9325	0.9863	1	C.H.All.5; C.H.Breast.10; C.H.Colon.4; C.H.Esophagus.3; C.H.Lung.2; C.H.MSI.4; C.H.Other.5; C.H.Prostate.3; C.H.Skin.6; C.P.All.11; C.P.Head.1; C.P.Lung.1; C.P.MSI.3; C.PH.All.4; C.PH.Breast.8; C.PH.Colon.5; C.PH.Esophagus.5; C.PH.Head.3; C.PH.Lung.1; C.PH.MSI.6; C.PH.Other.4; C.PH.Prostate.9; C.PH.Skin.9
6	40	TRUE	C.H.Ovary.2	0.9016	0.9805	0.9997	C.H.All.6; C.H.Biliary.3; C.H.Bladder.5; C.H.Bone.SoftTissue.6; C.H.Breast.6; C.H.Colon.9; C.H.Esophagus.5; C.H.Lung.8; C.H.MSI.6; C.H.Other.8; C.H.Ovary.2; C.H.Pancreas.3; C.H.Prostate.4; C.H.Stomach.4; C.H.Uterus.3; C.P.All.5; C.P.Breast.2; C.P.Head.4; C.P.Liver.5; C.P.Lymphoid.4; C.P.MSI.10; C.P.Pancreas.4; C.P.Stomach.4; C.PH.All.5; C.PH.Biliary.4; C.PH.Bladder.5; C.PH.Bone.SoftTissue.6; C.PH.Breast.2; C.PH.Colon.10; C.PH.Esophagus.7; C.PH.Liver.6; C.PH.Lung.8; C.PH.Lymphoid.6; C.PH.MSI.8; C.PH.Other.9; C.PH.Ovary.1; C.PH.Pancreas.3; C.PH.Prostate.7; C.PH.Stomach.4; C.PH.Uterus.3
7	34	TRUE	C.H.Other.4	0.9109	0.9806	0.9999	C.H.All.7; C.H.Biliary.4; C.H.Bone.SoftTissue.4; C.H.Breast.5; C.H.CNS.4; C.H.Esophagus.6; C.H.Head.6; C.H.Kidney.2; C.H.Liver.6; C.H.Lung.6; C.H.Lymphoid.3; C.H.MSI.17; C.H.Other.4; C.H.Ovary.4; C.H.Pancreas.5; C.H.Skin.3; C.H.Thymus.3; C.H.Uterus.5; C.PH.All.13; C.PH.Biliary.5; C.PH.Bone.SoftTissue.4; C.PH.Breast.6; C.PH.CNS.2; C.PH.Esophagus.3; C.PH.Head.5; C.PH.Kidney.3; C.PH.Liver.7; C.PH.Lung.6; C.PH.Lymphoid.5; C.PH.Other.3; C.PH.Ovary.3; C.PH.Pancreas.6; C.PH.Skin.5; C.PH.Thymus.4
8	18	TRUE	C.H.All.8	0.9319	0.9762	0.9998	C.H.All.8; C.H.Bladder.8; C.H.Bone.SoftTissue.9; C.H.Head.4; C.H.Kidney.5; C.H.Other.2; C.H.Prostate.9; C.H.Skin.7; C.P.All.8; C.P.Skin.1; C.PH.All.14; C.PH.Bladder.9; C.PH.Bone.SoftTissue.9; C.PH.Head.6; C.PH.Kidney.8; C.PH.Other.7; C.PH.Prostate.10; C.PH.Skin.6
9	21	TRUE	C.H.Colon.3	0.9362	0.9815	0.9997	C.H.All.9; C.H.Bladder.11; C.H.Colon.3; C.H.Esophagus.4; C.H.MSI.3; C.H.Other.10; C.H.Stomach.3; C.P.All.4; C.P.Colon.4; C.P.Esophagus.4; C.P.Pancreas.8; C.P.Stomach.5; C.PH.All.15; C.PH.Bladder.11; C.PH.Breast.14; C.PH.Colon.3; C.PH.Esophagus.6; C.PH.MSI.4; C.PH.Other.10; C.PH.Pancreas.10; C.PH.Stomach.5
10	5	TRUE	C.PH.Bladder.8	0.9208	0.965	0.9995	C.H.All.10; C.H.Bladder.7; C.P.Colon.6; C.PH.All.25; C.PH.Bladder.8
