hdp.1	hdp.2
A[Del(C):R1]A	0.00685044615059053	0.00625016586388546
A[Del(C):R1]G	0.000804391957003692	0.000683773867813118
A[Del(C):R1]T	0.00598431105198038	0.0028599080450619
A[Del(C):R2]A	0.000394169894673649	0.00192153311306609
A[Del(C):R2]G	8.93885414591295e-05	9.37130952854849e-05
A[Del(C):R2]T	0.00225443776863119	0.00332142430635723
A[Del(C):R3]A	0.00131459908976865	0.0024916902193384
A[Del(C):R3]G	4.13369546184237e-05	0.000134349747223439
A[Del(C):R3]T	0.000381527501192634	0.000708653450632273
A[Del(C):R4]A	0.000907681885485515	0.00112663044199408
A[Del(C):R4]G	0.00023364821810972	0.000807757122195242
A[Del(C):R4]T	0.00157206326904178	0.0010005738890437
A[Del(C):R5]A	0.00043954612023829	0.0006008419250826
A[Del(C):R5]G	0.000540318061636757	0.000112372782399851
A[Del(C):R5]T	0.000419507139699917	0.00108516447062882
A[Del(C):R6]A	0.000553117829310482	0.000369876464578109
A[Del(C):R6]G	6.99265996273589e-05	6.46869153298037e-05
A[Del(C):R6]T	0.000436713384769514	0.00031887331979884
A[Del(C):R7]A	9.08573672577536e-05	0.000603744543078168
A[Del(C):R7]G	1.88849031251682e-06	0.000144716240064753
A[Del(C):R7]T	1.36390967015104e-06	5.72230404840572e-05
A[Del(C):R8]A	0.000293870075853312	0.000593792709950506
A[Del(C):R8]G	0	0
A[Del(C):R8]T	1.52652966928443e-05	7.21507901755503e-05
A[Del(C):R(9,)]A	0	0
A[Del(C):R(9,)]G	0	0
A[Del(C):R(9,)]T	0	0
G[Del(C):R1]A	0.00136459162498611	0.00159561057813516
G[Del(C):R1]G	0.000522849526245976	9.37130952854849e-05
G[Del(C):R1]T	0.00485787903862833	0.00509243594336743
G[Del(C):R2]A	0.00107003959429772	0.0022756525085254
G[Del(C):R2]G	0.00102618465259595	9.20544564308746e-05
G[Del(C):R2]T	0.000830306240736562	0.00309294680413465
G[Del(C):R3]A	0.000342708533657566	0.00115441264280881
G[Del(C):R3]G	0.00142701672142764	0.00016337592717912
G[Del(C):R3]T	0.000222369734298855	0.000351631437177395
G[Del(C):R4]A	0.00200274397642409	0.00124397914095776
G[Del(C):R4]G	0.00022981877942045	0.000256674362750952
G[Del(C):R4]T	0.00107607227168493	0.000440368615899049
G[Del(C):R5]A	0.00156697483681083	0.00162753937608641
G[Del(C):R5]G	3.28912062763346e-05	8.04439844486021e-05
G[Del(C):R5]T	0.00135147710892697	0.000650601090720911
G[Del(C):R6]A	0.00109642600060872	0.00140611108899593
G[Del(C):R6]G	0.000269896740497195	0.000119007337818293
G[Del(C):R6]T	0.000260559205063085	0.00115192468452689
G[Del(C):R7]A	0.000135971302501211	0.000960766556533047
G[Del(C):R7]G	3.98681288197995e-06	0.000132276448655176
G[Del(C):R7]T	2.12979740800508e-05	0.000361168610591404
G[Del(C):R8]A	0.000117033941311806	0.000475614691559519
G[Del(C):R8]G	1.83603224828024e-06	0.000145545559492058
G[Del(C):R8]T	0.000148928444367646	6.46869153298037e-05
G[Del(C):R(9,)]A	0	0
G[Del(C):R(9,)]G	0	0
G[Del(C):R(9,)]T	0	0
T[Del(C):R1]A	0.00457471040787929	0.00889776813555724
T[Del(C):R1]G	0.000243195585800777	0.00165863885461035
T[Del(C):R1]T	0.00919007581554192	0.019272554171145
T[Del(C):R2]A	0.00227526362013311	0.00666192295954248
T[Del(C):R2]G	0.000539950855187101	0.000766291150829983
T[Del(C):R2]T	0.00186960540939165	0.00614898889375423
T[Del(C):R3]A	0.00239507783884946	0.00285576144792537
T[Del(C):R3]G	0.000210409295652916	0.000956619959396521
T[Del(C):R3]T	0.00168810050713309	0.0022503582659926
T[Del(C):R4]A	0.000460162139483265	0.00108350583177421
T[Del(C):R4]G	0.001449049108407	6.42722556161512e-05
T[Del(C):R4]T	0.0002866833210529	0.00105074771439566
T[Del(C):R5]A	0.00055406207446674	0.00141896554011916
T[Del(C):R5]G	0.000405395920420277	8.87371787216539e-05
T[Del(C):R5]T	0.000723239331629705	0.000863736183538341
T[Del(C):R6]A	0.000842266679382501	0.000311824104666746
T[Del(C):R6]G	0.000165819941051824	0.00041341573451163
T[Del(C):R6]T	0.00027089344371769	0.000731045075169513
T[Del(C):R7]A	0.000123801031598325	0.000516666003211125
T[Del(C):R7]G	0	0
T[Del(C):R7]T	0.000117820812275355	0.000380242957419423
T[Del(C):R8]A	4.08123739760579e-05	0.000449905789313058
T[Del(C):R8]G	0	0
T[Del(C):R8]T	3.09502578995812e-05	0.000120251316959251
T[Del(C):R(9,)]A	0	0
T[Del(C):R(9,)]G	0	0
T[Del(C):R(9,)]T	0	0
A[Del(T):R1]A	0.00439525137012595	0.00338445258283242
A[Del(T):R1]C	0.00356032881973657	0.00189665353024694
A[Del(T):R1]G	0.00356169272940672	0.00327995833499197
A[Del(T):R2]A	0.0017808988227676	0.00231545984103605
A[Del(T):R2]C	0.000991719704392513	0.00254642530154054
A[Del(T):R2]G	0.00146043250834634	0.00167149330573358
