hdp.1	hdp.2
A[Del(C):R1]A	0.0161150615666011	0.0188862032945182
A[Del(C):R1]G	0.00210024777614605	0.00158393865552809
A[Del(C):R1]T	0.0203835659624704	0.0152480053719106
A[Del(C):R2]A	0.00469059382487531	0.00767188744974855
A[Del(C):R2]G	0.00066845998065213	0.00172106716141208
A[Del(C):R2]T	0.00866157421248735	0.00662538348415922
A[Del(C):R3]A	0.00280694070772109	0.00351760140664612
A[Del(C):R3]G	0.000283565946809175	0.000721200809499038
A[Del(C):R3]T	0.00271581198957151	0.00451317524187751
A[Del(C):R4]A	0.00146166157076702	0.00274773273909434
A[Del(C):R4]G	0.000386068625269158	0.00061638219269177
A[Del(C):R4]T	0.00143268831558734	0.00211586268215933
A[Del(C):R5]A	0.00159693535001807	0.00122058291912481
A[Del(C):R5]G	0.000518758303382557	0.000414517894689948
A[Del(C):R5]T	0.000919156944051391	0.000676419419252657
A[Del(C):R6]A	0.000738171981797278	0.000209579226632351
A[Del(C):R6]G	4.73556109997511e-05	4.24611109590039e-05
A[Del(C):R6]T	0.000344723007066812	0.00098629271808189
A[Del(C):R7]A	0.0002189046887967	0.000429657717040085
A[Del(C):R7]G	4.28530105326396e-05	2.8365414288187e-05
A[Del(C):R7]T	8.51578783997178e-05	1.62419550116408e-05
A[Del(C):R8]A	0.000354472115904297	0.000417824292674461
A[Del(C):R8]G	0	0
A[Del(C):R8]T	0	0
A[Del(C):R(9,)]A	0	0
A[Del(C):R(9,)]G	0	0
A[Del(C):R(9,)]T	0	0
G[Del(C):R1]A	0.00551691889320912	0.0104254208870613
G[Del(C):R1]G	0.000869432573675464	0.00142470948943182
G[Del(C):R1]T	0.0160114234497625	0.0128991286423164
G[Del(C):R2]A	0.00548589010303359	0.00871328680090565
G[Del(C):R2]G	0.000618500691990962	0.00115364286168398
G[Del(C):R2]T	0.00621288388975817	0.0106586669624249
G[Del(C):R3]A	0.00303645587240116	0.00493459596744741
G[Del(C):R3]G	0.000538393556723917	0.000898296126108107
G[Del(C):R3]T	0.0022492446985599	0.00418810411371596
G[Del(C):R4]A	0.00167347955795896	0.00301195454294442
G[Del(C):R4]G	0.000312284707179839	0.000383484159221277
G[Del(C):R4]T	0.000798878782008204	0.00237144144566393
G[Del(C):R5]A	0.00133429670711907	0.0010853686436529
G[Del(C):R5]G	0.000300245145061258	0.000282494003238182
G[Del(C):R5]T	0.000911835324161393	0.000694343576747646
G[Del(C):R6]A	0.000348383817011811	0.000558839266364814
G[Del(C):R6]G	0.000189344137903924	0.000432848101060228
G[Del(C):R6]T	0.000490548532629915	0.000207781010184634
G[Del(C):R7]A	0.000188854724809673	0.000245195513693592
G[Del(C):R7]G	0	0
G[Del(C):R7]T	5.06836200406597e-05	7.33788324633059e-05
G[Del(C):R8]A	6.1783509018278e-05	2.72052746444984e-05
G[Del(C):R8]G	0	0
G[Del(C):R8]T	0	0
G[Del(C):R(9,)]A	0	0
G[Del(C):R(9,)]G	0	0
G[Del(C):R(9,)]T	0	0
T[Del(C):R1]A	0.00751658249022466	0.0130062095314289
T[Del(C):R1]G	0.00201794807021676	0.00224202786841046
T[Del(C):R1]T	0.0322931595397418	0.0181890173756435
T[Del(C):R2]A	0.00481421957248318	0.00724089557211822
T[Del(C):R2]G	0.00100958090734525	0.000637380720242534
T[Del(C):R2]T	0.0160842089651395	0.00959174453910668
T[Del(C):R3]A	0.00258801644240062	0.00665583714980605
T[Del(C):R3]G	0.000877008688374474	0.000229649642468165
T[Del(C):R3]T	0.00383854520430765	0.00341498705516186
T[Del(C):R4]A	0.00244962999587014	0.00182443560366474
T[Del(C):R4]G	0.00042210900552982	0.000123032809213179
T[Del(C):R4]T	0.0015159276946576	0.00275301137447312
T[Del(C):R5]A	0.00114436527350205	0.00160429910627482
T[Del(C):R5]G	0	0
T[Del(C):R5]T	0.00188410337720093	0.000350884235233627
T[Del(C):R6]A	0.00113602567437601	0.00131403216742393
T[Del(C):R6]G	0.0001054978865968	0.000218454294906569
T[Del(C):R6]T	0.000305765724764412	0.000859547462008907
T[Del(C):R7]A	0.000169062859278152	0.000162767592009515
T[Del(C):R7]G	0.000100212225178886	0.000119668404246482
T[Del(C):R7]T	0.000168338527898661	0.00010302040035955
T[Del(C):R8]A	0	0
T[Del(C):R8]G	0	0
T[Del(C):R8]T	9.02086215323908e-05	1.80981784415427e-05
T[Del(C):R(9,)]A	0	0
T[Del(C):R(9,)]G	0	0
T[Del(C):R(9,)]T	0	0
A[Del(T):R1]A	0.00901426486472857	0.00675804545241502
A[Del(T):R1]C	0.00414572043878351	0.00657335122113979
A[Del(T):R1]G	0.00539129634017671	0.00633012794484046
A[Del(T):R2]A	0.00389948692280382	0.0087898560173891
A[Del(T):R2]C	0.00374048639674347	0.00318991996428626
A[Del(T):R2]G	0.0021140100723564	0.00523106965339204
A[Del(T):R3]A	0.00509328291882524	0.0080554876229342
A[Del(T):R3]C	0.00316654187285314	0.00457176229388379
A[Del(T):R3]G	0.00388229873493371	0.00468354174855319
A[Del(T):R4]A	0.00568147915202016	0.00528304390942929
A[Del(T):R4]C	0.00282872937867716	0.00385630417562101
A[Del(T):R4]G	0.00439684808570571	0.00348140504976303
A[Del(T):R5]A	0.00786343933838241	0.00377370223299038
A[Del(T):R5]C	0.00401017258819968	0.00296636105494746
A[Del(T):R5]G	0.00507758254676166	0.00415155971493977
A[Del(T):R6]A	0.00592602908695563	0.00447680486404788
A[Del(T):R6]C	0.00351621774043377	0.00165644738325863
A[Del(T):R6]G	0.00386534546534885	0.0016479783638597
A[Del(T):R7]A	0.004782564333547	0.000652984598450146
A[Del(T):R7]C	0.00570475563878275	0.00164577409853669
A[Del(T):R7]G	0.00442501870341081	0.00226476660542676
A[Del(T):R8]A	0.00536484845656337	0.00111953475615953
A[Del(T):R8]C	0.00397657927341027	0.00117377128450197
A[Del(T):R8]G	0.00219351033538657	0.000748522098107905
A[Del(T):R(9,)]A	0	0
A[Del(T):R(9,)]C	0	0
A[Del(T):R(9,)]G	0	0
C[Del(T):R1]A	0.00465768568841785	0.00570284043949802
C[Del(T):R1]C	0.00549552175272846	0.00545497660462395
