hdp.1	hdp.2	hdp.3	hdp.4	hdp.5
A[Del(C):R1]A	0.00175965384665221	0.00480147226778679	0.0182517071066505	0.00711539370036742	0.0483202110874941
A[Del(C):R1]G	0.000477303452185065	0.0016894568870531	0.00148436115034236	0.00179874844495378	1.54303723734613e-05
A[Del(C):R1]T	0.000870566357881104	0.00386504100214139	0.0180533635890393	0.00524502042323672	0.0332023037545954
A[Del(C):R2]A	0.00102144402888623	0.00152498554608129	0.00489991308865795	0.00586505780022361	1.1572779280096e-05
A[Del(C):R2]G	0.000224449752208498	0.000716350174271583	0.000193952286711597	0.000548107758290066	0
A[Del(C):R2]T	0.0024655065898989	0.00102696933692567	0.00850991773885888	0.00409993746796567	3.85759309336533e-06
A[Del(C):R3]A	0.00233512661315939	0.00136143748321321	0.00153350290240345	0.00288221372545135	1.1572779280096e-05
A[Del(C):R3]G	5.83452226060578e-05	0.000296997259554341	0.000479157103854362	0.000837451761183506	0.000324037819842687
A[Del(C):R3]T	0.000228915321316365	0.000634221035874567	0.0039831341703695	0.00200519051443393	9.64398273341331e-05
A[Del(C):R4]A	0.00143154432630045	0.000380774094259564	0.00103404104712466	0.00405706416416615	0
A[Del(C):R4]G	6.70567426689447e-05	0.000258773546059639	0.000384939554268796	0.000100935135840812	7.71518618673065e-06
A[Del(C):R4]T	0.00046317468435198	0.000604732953669067	0.00114294607555945	0.000952610267953069	3.85759309336533e-06
A[Del(C):R5]A	0.000178915588518451	0.000643155527063035	0.00209345365055786	0.000756022962616409	7.71518618673065e-06
A[Del(C):R5]G	0.000299339542328947	0.00020721201503557	8.38462378598417e-05	0.000130448630517969	3.85759309336533e-06
A[Del(C):R5]T	0.000366762315252634	0.00040068849274324	0.00103704359816709	0.00089231333476583	1.1572779280096e-05
A[Del(C):R6]A	0.000575033530201486	0.000277466376590679	0.00151827746649247	0.000616481534254703	7.71518618673065e-06
A[Del(C):R6]G	0.000274669103159258	0.000140792808680598	0.000278023715899621	3.70823599213854e-06	3.85759309336533e-06
A[Del(C):R6]T	0.000888721458516364	0.000442917812780308	0.000575614056092408	0.000439349768438442	3.85759309336533e-06
A[Del(C):R7]A	0.0005715928458069	0.000219356673169338	0.000803119850703154	0.000628672995050775	7.71518618673065e-06
A[Del(C):R7]G	2.57685299339176e-05	1.45593854820029e-05	3.21773386713687e-05	2.33669665258045e-06	0
A[Del(C):R7]T	1.5812507004904e-05	7.71434366368371e-05	0.000152379465403293	0.000106065708925826	3.85759309336533e-06
A[Del(C):R8]A	0.000411491212382247	0.000447136483500459	0.000699068946453631	4.46004274122964e-05	7.71518618673065e-06
A[Del(C):R8]G	0	0	0	0	0
A[Del(C):R8]T	6.6617506363253e-05	5.59790616434864e-05	0.000444652788125111	7.59934389621816e-05	1.92879654668266e-05
A[Del(C):R(9,)]A	0	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0	0
G[Del(C):R1]A	0.00123447363714674	0.0012672205037965	0.00592553448223447	0.00546324757148641	0.00709411369869883
G[Del(C):R1]G	0.000719615480825029	0.000764943011085175	0.000204536279136161	0.000193387046877691	3.85759309336533e-06
G[Del(C):R1]T	0.000640626151851458	0.00180067638785709	0.0113088707993529	0.0027317507801265	0.0183042792280185
G[Del(C):R2]A	0.00197590452115446	0.00167263902128657	0.00414858724343671	0.00674589084273981	7.71518618673065e-06
G[Del(C):R2]G	0.000277963375451947	0.000576551665087317	0.000187296631900879	0.00116956747236983	0
G[Del(C):R2]T	0.00132063715911328	0.00196259095869548	0.00544531397488591	0.00656840349265033	7.71518618673065e-06
