hdp.1	hdp.2	hdp.3	hdp.4
A[Del(C):R1]A	0.0186788063471779	0.00722647011084986	0.00584556644968477	0.0099489793741504
A[Del(C):R1]G	0.00401691920074229	0.000609535222110608	0.000801402391346195	0.00146004834970163
A[Del(C):R1]T	0.00770253070560587	0.00511468890450673	0.00352184512741691	0.00840530464322682
A[Del(C):R2]A	0.02530122802901	0.00181720914126008	0.00218365656493297	0.00467710403548489
A[Del(C):R2]G	0.00500593296290224	0.000700145262254995	0.000215916257848811	0.000860157063997222
A[Del(C):R2]T	0.0146250241411056	0.0013527624154664	0.00224209651976454	0.00440233164004134
A[Del(C):R3]A	0.0150684711662826	0.00125101137771825	0.00128993370730715	0.00173823406682772
A[Del(C):R3]G	0.00267207982482838	0.000228492661864386	0.000256303188999213	0.000266239091237235
A[Del(C):R3]T	0.00775380588280165	0.00204682612398356	0.00141883151090743	0.00297214985506183
A[Del(C):R4]A	0.0066802139168238	0.000419320574949068	0.000947607009526969	0.00113492945944078
A[Del(C):R4]G	0.00200949314257666	0.000201202328284519	0.000219084373679734	0.000218452587681834
A[Del(C):R4]T	0.00349940165083677	0.000521071612697221	0.000894626163379262	0.00136703533385273
A[Del(C):R5]A	0.00862031618410246	0.000900376586161205	0.000854383237493902	0.00159914120826468
A[Del(C):R5]G	0.000504253758268086	0.000364944329763717	0.000374649334088235	0.00034303882909413
A[Del(C):R5]T	0.00311078978156344	0.000121068914327159	0.000538632056807825	0.00027221240418166
A[Del(C):R6]A	0.0029724960925645	0.000847942349732473	0.000648730627626263	0.00024063917861827
A[Del(C):R6]G	0.00084276754007969	7.78336667455735e-05	5.16847987623297e-05	8.53330420632164e-05
A[Del(C):R6]T	0.00159383691892571	0.000247095061533059	0.000374557694374118	0.000395091984752692
A[Del(C):R7]A	0.000790343982655554	9.78670202349136e-05	0.000357407976446394	0.000131412884777353
A[Del(C):R7]G	0.000127039562761118	0.000173911994704653	2.86439563556174e-05	3.58398776665509e-05
A[Del(C):R7]T	0.000685066225221651	9.67426993758179e-05	0.000216308999480743	7.50930770156305e-05
A[Del(C):R8]A	0.000100655527014798	0.000355183180487023	0.000576727995105287	0.000147626162769364
A[Del(C):R8]G	0	0	0	0
A[Del(C):R8]T	6.31609125592001e-07	2.34063160666268e-05	0.00014289249708481	3.41332168252866e-05
A[Del(C):R(9,)]A	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0
G[Del(C):R1]A	0.00898794140470272	0.00285567277111567	0.00143327131157482	0.00389033338766204
G[Del(C):R1]G	0.00463067101378346	0.000504513432772359	0.000328057085153298	0.000684370997346996
G[Del(C):R1]T	0.00972221572270912	0.00721251831109835	0.00435244131340342	0.00926119505512088
G[Del(C):R2]A	0.032242038129152	0.000944327310653124	0.00245450428570142	0.0047223305477784
