hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12	hdp.13	hdp.14
A[Del(C):R1]A	0.0021707110822464	0.00144481773145104	0.0286200630683515	0.0013176704254085	0.0062928146785752	0.01226491157959	0.0045774187940393	0.00828518048963911	0.0140742577064308	0.00669115529224401	0.00769694770071913	0.00730456377123874	0.00380199924361935	0.00107386949885118
A[Del(C):R1]G	4.92380772966839e-05	0.000174196309571805	0.00363412979303703	0.000180188961115026	0.000276298275222092	0.00216213261905335	0.000143504996517527	0.000207937338090207	0.00146027476812488	0.00114094045153397	0.00106447666277075	0.00173806454601204	0.000129599616321518	0.0008049855727424
A[Del(C):R1]T	0.00013274260146743	0.000962027103664262	0.00512565444157178	0.000673204262065644	0.00465547597556417	0.00182626282255354	0.0060059330992932	0.00697079595421842	0.0141527579344209	0.00490631946413774	0.000579257943291572	0.00783955946801248	0.000652703163979581	0.00102328825791006
A[Del(C):R2]A	0.000317840240831475	0.000223967482480831	0.0294731585131301	0.000659515404389996	0.00052427917817566	0.00248457229503943	0.00136224926034499	0.00570780841204917	0.00659241257366442	0.00298896974422307	0.00158126961886789	0.00316821644130917	0.00123903815900774	0.0017674275731674
A[Del(C):R2]G	6.75096620101961e-06	8.95545639188026e-05	0.00294483723079811	5.69274064263969e-05	0.000280139405309926	0.000489907439609419	5.9221832331878e-05	0.000820128518126041	0.000728086667388091	0.00019606280456813	0.000276656829353068	1.44429074150343e-05	0.0001163762363453	0.00034677903715811
A[Del(C):R2]T	0.000123686808970334	0.000685010129864107	0.00974610553206337	0.000399403920199757	0.00303757093528062	0.00176319964796735	0.00216843780721188	0.00466015463180069	0.00755725009454613	0.00206549529878016	0.000852983533538843	0.00145721334287477	0.000274697840245146	0.00167069838828529
A[Del(C):R3]A	0.000356942128324755	0.000486989633686944	0.0183380296184086	0.000603314566355192	0.000649922718742756	0.000683067607693801	0.00160274830494699	0.00364095262618699	0.00385613144532403	0.00154939659499041	0.000903385344413267	0.00560486161439576	0.000842369894104114	0.000877882067039901
A[Del(C):R3]G	6.81384832623749e-05	0.000172552491017011	0.0027741369965279	4.20945900065387e-05	0.000107595490976317	0.000607508581847008	0.000127712017506653	0.000528673845219619	0.000703977038465356	0.000231585532259928	0.000323246620140386	1.58111828543533e-05	0.000138090301939991	0.000325207625580278
A[Del(C):R3]T	0.000191730122738982	0.000254176841839843	0.00742284141015065	0.000128502122449267	0.000210148402499429	0.000502987209153223	0.000754179111330616	0.00266804126510805	0.00384278259574195	0.00143220513024338	0.00085860643932352	1.5304414173124e-05	0.000587298653330873	0.000905166183476965
A[Del(C):R4]A	0.000971028715733098	0.000495534880936069	0.00791000837087687	0.000411794230111707	0.00116174891809485	0.000473674511336306	0.000770189087491382	0.00292437404168879	0.00265339159901927	0.000723387244566656	0.000516370181226113	1.33280163163299e-05	0.00108694305789477	0.00275998028878794
