"signature","ID","cosine","euclidean"
"InsDel18","InD18",0.997866554953489,0.0269368234072756
"InsDel13","InD13",0.98989655845458,0.0691557052667845
"InsDel1a","InD1",0.982523066590155,0.0362708143490619
"InsDel14","InD12",0.980296456398047,0.141393555830384
"InsDel6","InD6",0.974701292029618,0.0899809836530905
"InsDel_L","InD30",0.969213303775498,0.251165902850191
"InsDel4a","InD4a",0.966662811632486,0.100965567884077
"InsDel_Aβ","InD9a",0.965491583140524,0.0748342734162772
"InsDel1b","InD15",0.961293866458291,0.0593678148045097
"InsDel3b","InD3b",0.953522795429812,0.0650582478755707
"InsDel7","InD7",0.952304857203525,0.0610558928299577
"InsDel_D","InD12",0.949138309714641,0.103349788285362
"InsDel8","InD8",0.943597731896528,0.136304049596423
"InsDel_O","InD1",0.937662893137789,0.0819151933942555
"InsDel1c","InD14",0.93647989440547,0.075302921339299
"InsDel5a","InD29",0.935886957829521,0.058653805811621
"InsDel_C","InD13",0.925576196874315,0.105791765572555
"InsDel9","InD9b",0.919687678194686,0.0745484566126328
"InsDel_Aα","InD9a",0.919336320026093,0.118352512814283
"InsDel3a","InD3a",0.913569151804241,0.101894518102591
"InsDel1d","InD21",0.909292168067431,0.0648518835829563
"InsDel2a","InD2b",0.905687533553426,0.0751037382214235
"InsDel_Kβ","InD20",0.894385543396946,0.101351309560144
"InsDel_B","InD29",0.892325880597779,0.109884417390497
"InsDel5b","InD29",0.864194088370001,0.0807390029928272
"InsDel10","InD29",0.861164194905442,0.170206582881008
"InsDel_G","InD32",0.857078277218268,0.159836986617645
"InsDel2c","InD2b",0.838226645430286,0.143541607885961
"InsDel4b","InD4b",0.833276816384228,0.109935612543657
"InsDel_J","InD7",0.831590077096052,0.15315219087013
"InsDel2b","InD16a",0.795099579296297,0.143786213070989
"InsDel1e","InD1",0.790700211174209,0.151342211435343
"InsDel23","InD5",0.787390072120304,0.148161507552832
"InsDel_H","InD6",0.757379256845976,0.203834717376787
"InsDel19c","InD10",0.744076371059497,0.217379628379462
"InsDel19a","InD10",0.73910545675909,0.123535345884758
"InsDel_F","InD4a",0.712403539363777,0.38445160567088
"InsDel_I","InD9b",0.665082715871105,0.168272211388734
"InsDel_Kα","InD20",0.660100328823997,0.166030073656022
"InsDel_E","InD10",0.57478267728994,0.328881622709717
"InsDel19b","InD10",0.550464944722311,0.320390977511271
"InsDel_M","InD7",0.472397782784999,0.289506508635214
"InsDel17","InD29",0.441944566016115,0.26770535679403
"InsDel11","InD10",0.409897869591836,0.391019819471991
"InsDel12","InD9c",0.307126793660807,0.426948420256439
