Koh_476,Koh_89
A[Del(C):R10]A,"Del(C):R(6,9)"
A[Del(C):R10]G,"Del(C):R(6,9)"
A[Del(C):R10]T,"Del(C):R(6,9)"
A[Del(C):R11]A,"Del(C):R(6,9)"
A[Del(C):R11]G,"Del(C):R(6,9)"
A[Del(C):R11]T,"Del(C):R(6,9)"
A[Del(C):R12]A,"Del(C):R(6,9)"
A[Del(C):R12]G,"Del(C):R(6,9)"
A[Del(C):R12]T,"Del(C):R(6,9)"
A[Del(C):R13]A,"Del(C):R(6,9)"
A[Del(C):R13]G,"Del(C):R(6,9)"
A[Del(C):R1]A,[Del(C):R1]A
A[Del(C):R1]G,"[Del(C):R(1,5)]G"
A[Del(C):R1]T,[Del(C):R1]T
A[Del(C):R2]A,[Del(C):R2]A
A[Del(C):R2]G,"[Del(C):R(1,5)]G"
A[Del(C):R2]T,[Del(C):R2]T
A[Del(C):R3]A,[Del(C):R3]A
A[Del(C):R3]G,"[Del(C):R(1,5)]G"
A[Del(C):R3]T,[Del(C):R3]T
A[Del(C):R4]A,"[Del(C):R(4,5)]A"
A[Del(C):R4]G,"[Del(C):R(1,5)]G"
A[Del(C):R4]T,"[Del(C):R(4,5)]T"
A[Del(C):R5]A,"[Del(C):R(4,5)]A"
A[Del(C):R5]G,"[Del(C):R(1,5)]G"
A[Del(C):R5]T,"[Del(C):R(4,5)]T"
A[Del(C):R6]A,"Del(C):R(6,9)"
A[Del(C):R6]G,"Del(C):R(6,9)"
A[Del(C):R6]T,"Del(C):R(6,9)"
A[Del(C):R7]A,"Del(C):R(6,9)"
A[Del(C):R7]G,"Del(C):R(6,9)"
A[Del(C):R7]T,"Del(C):R(6,9)"
A[Del(C):R8]A,"Del(C):R(6,9)"
A[Del(C):R8]G,"Del(C):R(6,9)"
A[Del(C):R8]T,"Del(C):R(6,9)"
A[Del(C):R9]A,"Del(C):R(6,9)"
A[Del(C):R9]G,"Del(C):R(6,9)"
A[Del(C):R9]T,"Del(C):R(6,9)"
A[Del(T):R10]A,"A[Del(T):R(8,)]A"
A[Del(T):R10]C,"A[Del(T):R(8,)]C"
A[Del(T):R10]G,"A[Del(T):R(8,)]G"
A[Del(T):R11]A,"A[Del(T):R(8,)]A"
A[Del(T):R11]C,"A[Del(T):R(8,)]C"
A[Del(T):R11]G,"A[Del(T):R(8,)]G"
A[Del(T):R12]A,"A[Del(T):R(8,)]A"
A[Del(T):R12]C,"A[Del(T):R(8,)]C"
A[Del(T):R12]G,"A[Del(T):R(8,)]G"
A[Del(T):R13]A,"A[Del(T):R(8,)]A"
A[Del(T):R13]C,"A[Del(T):R(8,)]C"
A[Del(T):R13]G,"A[Del(T):R(8,)]G"
A[Del(T):R14]A,"A[Del(T):R(8,)]A"
A[Del(T):R14]C,"A[Del(T):R(8,)]C"
A[Del(T):R14]G,"A[Del(T):R(8,)]G"
A[Del(T):R16]C,"A[Del(T):R(8,)]C"
A[Del(T):R1]A,"A[Del(T):R(1,4)]A"
A[Del(T):R1]C,"A[Del(T):R(1,4)]C"
A[Del(T):R1]G,"A[Del(T):R(1,4)]G"
A[Del(T):R2]A,"A[Del(T):R(1,4)]A"
A[Del(T):R2]C,"A[Del(T):R(1,4)]C"
A[Del(T):R2]G,"A[Del(T):R(1,4)]G"
A[Del(T):R3]A,"A[Del(T):R(1,4)]A"
A[Del(T):R3]C,"A[Del(T):R(1,4)]C"
A[Del(T):R3]G,"A[Del(T):R(1,4)]G"
A[Del(T):R4]A,"A[Del(T):R(1,4)]A"
A[Del(T):R4]C,"A[Del(T):R(1,4)]C"
A[Del(T):R4]G,"A[Del(T):R(1,4)]G"
A[Del(T):R5]A,"A[Del(T):R(5,7)]A"
A[Del(T):R5]C,"A[Del(T):R(5,7)]C"
A[Del(T):R5]G,"A[Del(T):R(5,7)]G"
A[Del(T):R6]A,"A[Del(T):R(5,7)]A"
A[Del(T):R6]C,"A[Del(T):R(5,7)]C"
A[Del(T):R6]G,"A[Del(T):R(5,7)]G"
A[Del(T):R7]A,"A[Del(T):R(5,7)]A"
A[Del(T):R7]C,"A[Del(T):R(5,7)]C"
A[Del(T):R7]G,"A[Del(T):R(5,7)]G"
A[Del(T):R8]A,"A[Del(T):R(8,)]A"
A[Del(T):R8]C,"A[Del(T):R(8,)]C"
A[Del(T):R8]G,"A[Del(T):R(8,)]G"
A[Del(T):R9]A,"A[Del(T):R(8,)]A"
A[Del(T):R9]C,"A[Del(T):R(8,)]C"
A[Del(T):R9]G,"A[Del(T):R(8,)]G"
A[Ins(C):R0]A,A[Ins(C):R0]A
A[Ins(C):R0]G,"Ins(C):R(0,3)"
A[Ins(C):R0]T,A[Ins(C):R0]T
A[Ins(C):R10]A,"Ins(C):R(7,)"
A[Ins(C):R10]G,"Ins(C):R(7,)"
A[Ins(C):R10]T,"Ins(C):R(7,)"
A[Ins(C):R11]A,"Ins(C):R(7,)"
A[Ins(C):R11]G,"Ins(C):R(7,)"
A[Ins(C):R12]A,"Ins(C):R(7,)"
A[Ins(C):R1]A,"Ins(C):R(0,3)"
A[Ins(C):R1]G,"Ins(C):R(0,3)"
A[Ins(C):R1]T,"Ins(C):R(0,3)"
A[Ins(C):R2]A,"Ins(C):R(0,3)"
A[Ins(C):R2]G,"Ins(C):R(0,3)"
A[Ins(C):R2]T,"Ins(C):R(0,3)"
A[Ins(C):R3]A,"Ins(C):R(0,3)"
