Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP123975	2211	0.999	339.921	15.374%	104.861	7.137%	0.05538	0.999
SP124044	67	0.877	42.24	63.045%	6.765	48.199%	0.39603	0.827
SP123972	413	0.971	133.654	32.362%	22.076	23.857%	0.14228	0.962
SP123850	141	0.918	59.515	42.209%	10.742	39.569%	0.19065	0.876
SP123902	159	0.938	62.287	39.174%	11.006	34.926%	0.20428	0.911
SP123884	219	0.896	93.88	42.868%	18.418	44.449%	0.19435	0.838
SP123964	137	0.879	75.225	54.909%	12.845	47.639%	0.32774	0.819
SP123995	138	0.857	78.603	56.959%	13.622	51.486%	0.3161	0.778
SP123846	176	0.953	59.626	33.878%	9.812	30.166%	0.16164	0.927
SP124003	93	0.867	52.295	56.231%	9.242	50.048%	0.37899	0.804
SP123876	133	0.902	67.09	50.444%	12.063	43.557%	0.29175	0.864
SP123878	91	0.92	43.5	47.802%	6.996	39.293%	0.28342	0.88
SP123842	99	0.862	65.142	65.8%	10.345	50.782%	0.47454	0.801
SP123900	143	0.914	66.259	46.335%	11.987	40.71%	0.23	0.878
SP123978	65	0.853	40.334	62.052%	6.755	52.272%	0.43001	0.779
SP123897	92	0.944	37.952	41.252%	6.598	33.156%	0.23681	0.925
SP124013	125	0.885	63.153	50.522%	11.471	46.559%	0.25257	0.828
SP124021	89	0.897	45.325	50.927%	7.795	44.201%	0.30207	0.848
SP123852	121	0.877	67.117	55.469%	10.54	48.984%	0.31514	0.799
SP123998	170	0.929	78.766	46.333%	12.522	37.054%	0.24774	0.896
SP123967	96	0.874	57.292	59.679%	9.522	48.719%	0.45286	0.818
SP123988	291	0.98	71.425	24.545%	11.022	19.787%	0.10521	0.97
SP123984	103	0.887	50.629	49.154%	9.181	46.195%	0.31107	0.828
SP123858	88	0.905	49.178	55.884%	7.581	42.512%	0.33574	0.863
SP123890	98	0.9	46.244	47.188%	8.545	43.493%	0.24281	0.854
SP123950	141	0.913	63.797	45.246%	10.939	40.796%	0.27781	0.868
SP123886	62	0.821	51.768	83.497%	8.936	57.682%	0.64824	0.775
SP124033	87	0.82	56.213	64.613%	9.742	57.306%	0.45126	0.723
SP123892	180	0.909	86.193	47.885%	14.521	41.676%	0.23512	0.863
SP123840	122	0.92	54.652	44.797%	8.697	39.289%	0.24808	0.871
SP123969	143	0.904	63.091	44.12%	11.353	43.251%	0.28354	0.849
SP123953	117	0.864	69.548	59.443%	11.632	50.766%	0.37771	0.796
SP123955	95	0.933	47.354	49.846%	7.581	36.516%	0.27418	0.91
SP123882	212	0.955	66.268	31.258%	11.206	29.613%	0.11298	0.927
SP123894	198	0.912	90.237	45.574%	14.969	41.077%	0.22506	0.859
SP124017	47	0.852	31.766	67.587%	5.471	52.403%	0.60676	0.799
SP123856	73	0.851	49.163	67.347%	7.787	52.62%	0.47073	0.781
SP123854	117	0.811	71.981	61.522%	12.923	58.802%	0.38628	0.698
SP123888	108	0.914	53.736	49.756%	8.808	41.338%	0.32409	0.876
SP123870	91	0.922	40.954	45.004%	7.118	38.774%	0.22914	0.887
SP123958	64	0.757	52.725	82.383%	8.495	65.54%	0.65348	0.632
SP123844	116	0.899	59.787	51.541%	9.402	43.837%	0.35388	0.839
SP123872	158	0.944	63.545	40.218%	10.358	33.223%	0.22673	0.918
SP123874	115	0.906	58.441	50.818%	9.792	42.414%	0.26998	0.864
SP123836	178	0.927	77.732	43.67%	12.732	37.545%	0.2175	0.889
SP43633	77	0.896	45.606	59.229%	7.505	44.613%	0.4089	0.859
SP36498	689	0.986	112.889	16.384%	24.221	16.639%	0.03732	0.981
SP37516	556	0.989	98.138	17.651%	16.925	15.131%	0.05044	0.984
SP39997	738	0.986	137.572	18.641%	25.256	16.958%	0.05052	0.98
SP35617	671	0.984	131.701	19.628%	24.985	17.884%	0.05744	0.978
SP37636	313	0.973	89.426	28.571%	14.181	23.223%	0.09969	0.96
SP39907	489	0.968	134.658	27.537%	25.57	25.203%	0.09793	0.955
SP40736	849	0.99	140.292	16.524%	23.611	13.914%	0.06719	0.986
SP42154	680	0.985	137.361	20.2%	23.298	17.439%	0.06016	0.978
SP39594	724	0.983	132.389	18.286%	25.686	18.418%	0.05682	0.975
SP41453	574	0.989	101.367	17.66%	17.104	14.969%	0.05024	0.984
SP34452	1302	0.993	179.146	13.759%	31.832	12.054%	0.0251	0.99
SP42829	789	0.991	123.611	15.667%	21.38	13.181%	0.0383	0.988
SP37970	1016	0.982	202.624	19.943%	37.118	19.145%	0.04137	0.972
SP34186	1030	0.992	161.648	15.694%	26.368	13.005%	0.03773	0.988
SP37903	1185	0.992	182.14	15.37%	34.316	13.532%	0.03317	0.989
SP35849	279	0.975	78.744	28.224%	12.601	22.279%	0.1055	0.964
SP36586	344	0.99	95.476	27.755%	16.5	14.543%	0.12119	0.988
SP34431	471	0.983	103.571	21.99%	17.634	18.324%	0.08877	0.976
SP37432	477	0.984	93.373	19.575%	16.989	17.923%	0.05916	0.977
SP35989	402	0.97	108.133	26.899%	18.803	24.5%	0.08449	0.954
SP39102	452	0.977	117.74	26.049%	18.591	21.162%	0.09576	0.967
SP34493	350	0.971	98.023	28.007%	17.727	23.886%	0.10842	0.96
SP36036	422	0.977	96.685	22.911%	18.174	21.487%	0.07266	0.966
SP35951	824	0.988	143.888	17.462%	24.622	15.599%	0.045	0.982
SP39248	424	0.962	126.659	29.872%	21.947	27.607%	0.09971	0.943
SP34246	765	0.987	135.076	17.657%	24.533	16.195%	0.03949	0.982
SP35412	709	0.99	113.064	15.947%	19.809	14.07%	0.04556	0.986
SP39298	1647	0.993	214.158	13.003%	40.731	12.06%	0.02209	0.99
SP38044	891	0.983	174.355	19.568%	32.14	18.315%	0.05365	0.975
SP38271	786	0.984	156.794	19.948%	26.954	17.734%	0.05323	0.977
SP43201	560	0.982	119.128	21.273%	21.522	19.119%	0.08421	0.974
SP34191	478	0.976	114.937	24.045%	21.264	21.918%	0.07929	0.966
SP40047	1015	0.99	172.567	17.002%	32.326	14.849%	0.04073	0.987
SP39349	577	0.988	106.499	18.457%	17.777	15.513%	0.04799	0.983
SP37369	474	0.977	107.203	22.617%	21.168	21.526%	0.07039	0.968
SP38759	748	0.983	133.95	17.908%	26.821	18.221%	0.04155	0.976
SP36218	319	0.954	92.469	28.987%	17.169	30.075%	0.10561	0.925
SP43510	853	0.987	159.288	18.674%	28.716	16.07%	0.04639	0.983
SP43770	611	0.983	120.967	19.798%	22.206	18.221%	0.05172	0.976
SP43651	1361	0.996	168.982	12.416%	26.941	9.853%	0.02323	0.994
SP106656	1307	0.985	252.182	19.295%	45.911	17.21%	0.03929	0.979
SP97249	1158	0.993	189.376	16.354%	30.91	12.047%	0.044	0.991
SP106638	1541	0.992	230.23	14.94%	41.179	12.829%	0.0314	0.989
