Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP77443	718	0.999	119.384	16.627%	19.485	5.636%	0.06853	0.998
SP72118	663	0.999	89.441	13.49%	15.398	4.765%	0.06048	0.999
SP76891	547	0.999	91.574	16.741%	13.62	5.293%	0.07941	0.999
SP125732	7743	1.0	1272.062	16.429%	417.773	8.15%	0.0439	1.0
SP125716	764	0.999	108.95	14.26%	16.252	4.984%	0.05019	0.999
SP125746	47457	1.0	3336.57	7.031%	784.401	2.558%	0.01851	1.0
SP125797	740	0.999	98.826	13.355%	15.581	4.771%	0.04898	0.999
SP76057	573	0.999	91.559	15.979%	14.074	5.011%	0.06429	0.999
SP69565	1488	0.998	169.571	11.396%	31.984	6.477%	0.03033	0.998
SP75202	372	0.998	66.464	17.867%	10.494	7.343%	0.08122	0.998
SP110736	533	0.998	84.682	15.888%	13.921	5.516%	0.07876	0.998
SP107774	542	0.999	69.526	12.828%	10.854	3.24%	0.0517	0.999
SP110779	628	0.997	123.335	19.639%	19.059	7.463%	0.08727	0.997
SP107805	532	0.998	93.752	17.623%	14.171	6.599%	0.06045	0.998
SP110789	1169	0.996	138.388	11.838%	26.979	8.498%	0.03145	0.996
SP71846	631	0.998	95.491	15.133%	16.175	6.339%	0.06228	0.998
SP70122	623	0.999	69.005	11.076%	10.767	3.299%	0.04778	0.999
SP71404	1281	0.999	120.376	9.397%	21.235	3.42%	0.03555	0.999
SP76955	537	0.999	71.6	13.333%	11.537	3.688%	0.06399	0.999
SP107781	320	0.993	75.836	23.699%	12.269	12.054%	0.11869	0.993
SP70202	859	0.996	118.173	13.757%	21.892	8.733%	0.04211	0.996
SP70677	210	0.988	53.901	25.667%	9.321	15.133%	0.15015	0.987
SP70082	216	0.992	60.767	28.133%	9.927	12.839%	0.14417	0.992
SP70288	835	0.999	101.074	12.105%	15.945	3.875%	0.05105	0.999
SP70266	401	0.996	95.079	23.71%	16.567	10.072%	0.09985	0.996
SP107956	843	0.999	132.13	15.674%	22.139	5.585%	0.05944	0.999
SP70956	380	0.999	56.602	14.895%	9.148	6.001%	0.05821	0.998
SP108017	289	0.996	62.814	21.735%	10.22	9.001%	0.11993	0.996
SP71536	359	0.998	64.134	17.865%	11.105	7.074%	0.08435	0.997
SP70756	463	0.998	78.611	16.979%	13.035	7.067%	0.07039	0.997
SP76675	1370	0.998	166.456	12.15%	30.263	6.256%	0.03168	0.998
SP71480	569	0.999	96.175	16.902%	15.591	5.362%	0.08063	0.999
SP70313	391	0.997	64.733	16.556%	10.659	7.992%	0.07018	0.997
SP73319	368	0.998	70.244	19.088%	11.345	6.659%	0.10988	0.998
SP107813	633	0.999	73.686	11.641%	11.873	4.063%	0.04482	0.999
SP77339	484	0.999	69.153	14.288%	12.369	5.04%	0.05721	0.999
SP76017	389	0.997	81.741	21.013%	12.37	8.341%	0.10994	0.996
SP76915	487	0.992	103.033	21.157%	19.704	12.526%	0.09824	0.991
SP71974	2089	0.999	180.688	8.649%	31.471	4.074%	0.01942	0.999
SP70178	816	0.999	98.467	12.067%	15.771	4.001%	0.03797	0.999
SP107920	523	0.998	84.336	16.125%	13.497	5.96%	0.07214	0.998
SP110798	417	0.999	58.431	14.012%	9.473	4.654%	0.0666	0.999
