Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP124389	423	0.997	71.098	16.808%	10.556	8.346%	0.07857	0.996
SP124362	1026	0.998	126.884	12.367%	20.842	6.679%	0.03277	0.997
SP124394	605	0.99	112.334	18.568%	21.841	13.945%	0.05704	0.988
SP124334	548	0.993	92.732	16.922%	18.006	11.525%	0.05796	0.992
SP124339	129	0.975	45.26	35.085%	6.785	22.072%	0.23111	0.969
SP124454	460	0.994	86.767	18.862%	13.155	11.056%	0.08783	0.993
SP124380	746	0.996	115.776	15.52%	18.526	8.865%	0.04432	0.996
SP124273	491	0.998	81.833	16.667%	13.922	6.417%	0.06814	0.998
SP124357	313	0.99	70.871	22.642%	10.901	14.241%	0.09679	0.987
SP124399	994	0.996	132.895	13.37%	24.43	9.188%	0.03308	0.995
SP124311	1015	0.997	121.372	11.958%	20.131	7.302%	0.03681	0.997
SP124355	223	0.992	56.515	25.343%	8.231	12.481%	0.13481	0.991
SP124434	642	0.996	85.107	13.257%	15.561	9.284%	0.04309	0.995
SP124428	1718	0.998	172.714	10.053%	29.53	6.531%	0.03029	0.997
SP124449	781	0.998	95.052	12.171%	15.187	6.897%	0.0388	0.997
SP124298	2107	0.998	184.503	8.757%	31.889	6.054%	0.01928	0.998
SP124431	696	0.995	104.678	15.04%	17.321	10.057%	0.04722	0.994
SP124396	669	0.996	105.708	15.801%	16.254	8.877%	0.05698	0.995
SP124409	1154	0.996	167.306	14.498%	27.306	8.67%	0.0457	0.996
SP124341	363	0.98	110.085	30.326%	19.133	20.01%	0.11277	0.976
SP124353	140	0.975	51.451	36.751%	8.102	22.523%	0.20541	0.969
SP124278	340	0.997	68.578	20.17%	10.543	7.371%	0.10022	0.997
SP124376	521	0.992	89.553	17.189%	15.101	12.473%	0.06513	0.99
SP124346	545	0.998	81.782	15.006%	12.142	5.915%	0.0587	0.998
SP124439	1222	0.998	141.055	11.543%	24.477	6.313%	0.02913	0.998
SP124351	135	0.973	53.633	39.728%	8.727	23.266%	0.22977	0.968
SP124406	728	0.995	110.212	15.139%	17.289	10.438%	0.04459	0.993
SP124323	221	0.992	59.927	27.116%	8.967	12.605%	0.1267	0.991
SP124391	322	0.989	74.167	23.033%	12.584	14.587%	0.09644	0.987
SP124423	79	0.976	31.899	40.378%	5.969	23.077%	0.22741	0.974
SP124382	3153	0.999	219.88	6.974%	41.542	4.489%	0.01357	0.999
SP124415	2234	0.994	336.847	15.078%	63.401	10.689%	0.03024	0.993
SP124436	2284	0.998	234.476	10.266%	37.509	6.0%	0.02063	0.998
SP124460	1024	0.997	140.985	13.768%	22.384	7.46%	0.03573	0.997
SP124425	415	0.992	72.034	17.358%	13.637	12.57%	0.0702	0.99
SP124456	444	0.989	80.638	18.162%	15.499	14.744%	0.07663	0.986
SP124367	756	0.996	113.56	15.021%	18.598	9.089%	0.0553	0.995
SP124281	182	0.993	54.302	29.836%	8.969	12.496%	0.17605	0.993
SP124377	558	0.996	78.878	14.136%	13.498	9.516%	0.044	0.995
SP124412	467	0.995	80.601	17.259%	13.743	9.81%	0.05997	0.994
SP124333	386	0.992	63.272	16.392%	10.948	12.805%	0.05439	0.989
SP124359	417	0.996	79.275	19.011%	12.387	9.135%	0.0814	0.995
SP124286	111	0.987	41.266	37.177%	6.538	17.295%	0.25182	0.985
SP124329	218	0.993	43.329	19.876%	7.276	11.825%	0.09568	0.992
SP124326	498	0.994	89.218	17.915%	14.289	11.323%	0.06652	0.992
SP124458	1128	0.998	103.716	9.195%	17.139	6.279%	0.02684	0.998
SP124401	2721	0.999	216.425	7.954%	40.402	5.062%	0.01583	0.999
SP124264	549	0.996	90.807	16.54%	14.286	9.738%	0.05303	0.995
SP124384	22000	0.999	1811.73	8.235%	506.462	3.872%	0.0153	0.999
SP124403	155	0.968	52.955	34.165%	8.68	25.279%	0.19846	0.957
SP124462	964	0.997	103.107	10.696%	19.013	8.176%	0.0253	0.996
SP124271	884	0.998	118.827	13.442%	18.204	5.992%	0.03673	0.998
SP124336	454	0.998	69.069	15.213%	10.064	5.55%	0.05949	0.998
SP124452	649	0.997	88.78	13.68%	14.055	8.071%	0.04957	0.996
SP124386	872	0.998	89.938	10.314%	14.079	6.332%	0.02992	0.998
SP124441	539	0.996	87.0	16.141%	14.012	9.142%	0.05745	0.995
SP124418	628	0.996	96.07	15.298%	16.21	8.846%	0.04698	0.996
SP124291	301	0.993	77.422	25.722%	12.451	11.812%	0.13361	0.993
SP124319	657	0.996	105.746	16.095%	18.722	8.423%	0.0628	0.996
SP124305	455	0.994	75.958	16.694%	12.91	10.648%	0.05515	0.993
SP124447	3892	0.997	409.125	10.512%	71.773	7.673%	0.01883	0.996
SP124344	225	0.99	55.738	24.772%	8.408	14.375%	0.11673	0.988
SP124369	903	0.995	139.205	15.416%	22.352	10.238%	0.03545	0.994
SP124348	213	0.967	77.949	36.596%	16.77	25.806%	0.18903	0.962
SP124295	580	0.996	104.407	18.001%	16.75	8.925%	0.06419	0.996
SP124444	389	0.998	62.849	16.157%	9.552	6.98%	0.07569	0.997
SP124365	740	0.995	118.904	16.068%	17.75	9.808%	0.05432	0.994
SP124420	619	0.994	99.366	16.053%	15.489	10.794%	0.05416	0.992
SP124364	1785	0.997	193.225	10.825%	33.633	7.97%	0.02126	0.996
SP124307	745	0.996	116.478	15.635%	19.264	9.208%	0.05646	0.995
SP82445	1738	0.998	211.167	12.15%	40.682	7.144%	0.02752	0.998
SP83242	515	0.994	93.52	18.159%	14.669	11.031%	0.06918	0.993
SP103894	4732	1.0	166.628	3.521%	30.22	1.76%	0.00405	1.0
SP83382	612	0.991	112.711	18.417%	19.363	13.729%	0.05381	0.989
SP82451	672	0.997	81.726	12.162%	12.925	7.971%	0.0401	0.996
SP104330	81	0.904	49.164	60.696%	9.301	42.857%	0.41656	0.883
SP83312	484	0.996	73.496	15.185%	11.687	9.496%	0.06661	0.995
SP82614	543	0.99	106.232	19.564%	18.395	14.249%	0.07627	0.987
SP82431	2061	0.998	199.802	9.694%	35.225	6.245%	0.01874	0.998
SP82459	444	0.993	79.717	17.954%	13.593	11.937%	0.06193	0.991
SP113197	178	0.98	55.3	31.067%	8.918	19.764%	0.18482	0.976
SP82532	1006	0.995	150.701	14.98%	25.325	9.518%	0.0427	0.995
SP82636	394	0.993	86.517	21.959%	13.578	11.803%	0.08986	0.992
SP82796	416	0.994	66.465	15.977%	11.551	10.543%	0.07741	0.993
SP83482	420	0.992	73.61	17.526%	12.293	12.573%	0.06397	0.99
SP104530	1284	0.999	139.983	10.902%	22.166	4.954%	0.02571	0.999
SP82429	353	0.988	71.653	20.298%	12.066	15.422%	0.08919	0.984
SP82644	1142	0.998	120.289	10.533%	21.428	6.339%	0.02865	0.998
SP82988	479	0.994	93.71	19.564%	14.835	11.349%	0.08007	0.993
SP82461	742	0.995	111.95	15.088%	18.266	10.25%	0.04211	0.994
SP82900	949	0.993	135.489	14.277%	24.232	11.654%	0.03468	0.991
SP82399	805	0.996	109.605	13.616%	17.404	9.296%	0.04232	0.994
SP82756	226	0.95	83.127	36.782%	14.6	31.227%	0.17449	0.93
