Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP97749	363	0.984	86.471	23.821%	16.148	17.637%	0.08016	0.981
SP49235	427	0.99	87.612	20.518%	16.204	13.842%	0.06748	0.989
SP50177	501	0.988	107.722	21.501%	19.196	15.683%	0.07198	0.984
SP97775	1006	0.984	219.406	21.81%	44.425	18.299%	0.05804	0.979
SP97685	501	0.98	121.557	24.263%	24.385	20.168%	0.08258	0.975
SP97747	585	0.989	117.361	20.062%	21.02	14.902%	0.06071	0.986
SP97771	676	0.992	119.113	17.62%	19.723	12.468%	0.05415	0.99
SP97681	695	0.99	123.329	17.745%	22.01	14.293%	0.04207	0.987
SP98082	641	0.99	130.141	20.303%	24.52	14.339%	0.06091	0.988
SP49334	484	0.991	98.647	20.382%	16.747	13.035%	0.06623	0.99
SP49124	1280	0.979	321.144	25.089%	72.097	21.675%	0.05002	0.975
SP115501	580	0.998	106.041	18.283%	17.601	6.331%	0.07921	0.998
SP98305	1161	0.999	143.141	12.329%	20.837	4.635%	0.03042	0.999
SP49247	903	0.995	146.803	16.257%	24.824	9.7%	0.04695	0.994
SP49328	568	0.991	133.247	23.459%	23.142	14.498%	0.07497	0.99
SP98092	551	0.989	131.268	23.824%	22.386	16.128%	0.08024	0.987
SP120755	139	0.931	53.036	38.155%	11.445	36.541%	0.18803	0.909
SP49417	674	0.991	138.826	20.597%	24.133	13.569%	0.06573	0.99
SP49175	642	0.998	111.452	17.36%	19.805	6.386%	0.05536	0.998
SP49223	285	0.991	83.077	29.15%	15.043	15.271%	0.11649	0.99
SP49187	417	0.986	99.671	23.902%	16.641	16.852%	0.0986	0.982
SP49157	710	0.994	119.74	16.865%	20.006	11.453%	0.05025	0.992
SP49379	651	0.993	132.451	20.346%	27.877	11.797%	0.06615	0.992
SP49541	834	0.994	169.553	20.33%	29.279	12.961%	0.05248	0.993
SP98164	882	0.995	131.241	14.88%	23.211	10.527%	0.04149	0.993
SP49481	182	0.946	67.855	37.283%	12.933	32.64%	0.17663	0.927
SP98078	785	0.989	150.039	19.113%	24.882	15.2%	0.05207	0.985
SP106677	498	0.992	110.009	22.09%	18.173	12.974%	0.09108	0.99
SP106743	267	0.968	111.197	41.647%	20.277	28.708%	0.23289	0.963
SP98359	702	0.999	86.977	12.39%	13.129	5.526%	0.03788	0.998
SP98192	442	0.999	81.801	18.507%	15.636	5.856%	0.0695	0.999
SP98053	761	0.993	151.847	19.954%	25.607	11.927%	0.05501	0.992
SP106631	425	0.985	84.701	19.93%	16.545	17.566%	0.07482	0.98
SP49551	482	0.993	95.395	19.791%	16.897	12.021%	0.07279	0.992
SP49651	798	0.951	260.805	32.682%	70.411	32.063%	0.14832	0.942
SP98265	848	0.994	163.153	19.24%	30.585	11.494%	0.06015	0.993
SP98297	754	0.993	126.307	16.752%	21.408	12.397%	0.04985	0.991
SP98060	90	0.874	56.158	62.398%	9.748	49.11%	0.48145	0.83
SP98289	758	0.976	193.768	25.563%	40.513	22.064%	0.07804	0.97
SP115498	922	0.996	159.723	17.324%	26.739	9.816%	0.06063	0.995
SP98096	735	0.996	131.348	17.87%	20.873	9.393%	0.05449	0.996
SP49114	1096	0.99	176.236	16.08%	32.452	14.206%	0.04253	0.986
SP98090	1879	0.999	183.813	9.782%	38.077	4.765%	0.02271	0.999
SP49286	603	0.989	130.474	21.637%	21.461	15.047%	0.07154	0.985
SP49469	682	0.994	130.033	19.066%	22.027	10.882%	0.04954	0.993
SP49205	370	0.994	86.071	23.262%	15.25	12.052%	0.09703	0.994
SP98327	610	0.986	133.566	21.896%	25.279	17.028%	0.05966	0.983
SP49449	395	0.999	69.646	17.632%	11.653	5.141%	0.09534	0.999
SP49391	332	0.982	92.749	27.936%	15.896	19.187%	0.11837	0.977
SP49531	1095	0.997	157.871	14.417%	30.121	7.858%	0.03835	0.997
SP49322	633	0.998	104.901	16.572%	20.569	7.617%	0.05438	0.997
SP49433	380	0.997	65.515	17.241%	10.293	8.276%	0.06905	0.996
SP109384	344	0.986	90.279	26.244%	15.822	16.788%	0.12282	0.984
SP98065	615	0.981	140.364	22.823%	28.263	19.279%	0.09758	0.976
SP49591	399	0.989	92.018	23.062%	16.801	14.465%	0.10528	0.988
SP49385	631	0.977	151.438	24.0%	30.489	21.505%	0.07392	0.969
SP98313	630	0.999	112.317	17.828%	20.316	6.023%	0.07895	0.999
SP49119	618	0.997	98.646	15.962%	15.506	8.091%	0.06325	0.996
SP109301	751	0.996	103.336	13.76%	17.702	8.461%	0.0386	0.996
SP115830	574	0.996	115.513	20.124%	19.72	8.73%	0.06512	0.996
SP49229	899	0.999	141.588	15.749%	29.675	4.9%	0.05844	0.999
SP98853	930	0.993	162.153	17.436%	29.63	12.195%	0.04482	0.991
SP98855	483	0.996	94.312	19.526%	15.897	9.231%	0.08485	0.995
SP98859	440	0.996	99.442	22.6%	18.194	10.711%	0.11141	0.995
SP98865	283	0.989	75.917	26.826%	13.616	15.001%	0.1222	0.987
SP98879	545	0.988	119.978	22.014%	18.497	15.952%	0.08352	0.984
SP98871	405	0.982	110.163	27.201%	22.555	19.143%	0.09419	0.978
SP98867	815	0.994	164.682	20.206%	28.218	11.185%	0.05866	0.994
SP98861	773	0.974	181.868	23.528%	38.399	22.883%	0.06447	0.965
SP98877	528	0.987	108.951	20.635%	19.797	15.934%	0.07546	0.984
SP98889	813	0.992	154.35	18.985%	28.014	12.734%	0.05382	0.99
