Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP116788	16	0.741	17.197	107.481%	4.949	105.513%	1.90786	0.723
SP116789	6	0.574	7.239	120.65%	2.034	83.038%	2.07182	0.53
SP116919	1	0.023	1.983	198.3%	1.058	105.8%	4.77568	-0.01
SP109002	53	0.893	34.836	65.728%	7.239	50.315%	0.74796	0.876
SP109001	11	0.582	13.448	122.255%	3.161	87.67%	2.55908	0.524
SP109006	65	0.938	42.18	64.892%	7.854	45.12%	0.55118	0.931
SP108998	138	0.961	97.449	70.615%	27.291	61.239%	0.55951	0.965
SP127706	155	0.898	87.816	56.655%	16.751	48.702%	0.49551	0.87
SP108999	111	0.908	92.321	83.172%	22.304	71.284%	1.59899	0.906
SP109007	76	0.851	59.784	78.663%	11.577	67.064%	0.78764	0.824
SP109003	52	0.804	50.368	96.862%	11.977	94.1%	1.47477	0.788
SP116868	55	0.706	49.122	89.313%	12.13	96.197%	0.8571	0.654
SP116794	15	0.725	15.301	102.007%	4.521	87.007%	1.36077	0.703
SP116791	13	0.443	21.356	164.277%	10.405	227.056%	8.68836	0.429
SP116866	48	0.771	39.263	81.798%	8.775	80.78%	0.7385	0.725
SP116815	47	0.91	38.493	81.9%	9.824	75.126%	1.15586	0.911
SP116853	42	0.894	33.588	79.971%	6.548	55.74%	1.01422	0.882
SP116901	24	0.814	23.756	98.983%	5.796	87.378%	1.94912	0.8
SP116830	92	0.896	57.94	62.978%	10.62	50.629%	0.55751	0.872
SP116802	15	0.558	15.93	106.2%	4.133	86.179%	1.32035	0.483
SP116885	90	0.913	69.065	76.739%	16.28	64.861%	1.86571	0.91
SP116834	31	0.536	40.512	130.684%	11.229	154.242%	4.46787	0.488
SP116913	25	0.704	27.506	110.024%	7.226	95.711%	4.18161	0.676
SP116799	35	0.893	22.275	63.643%	4.587	45.197%	0.53699	0.874
SP116920	18	0.736	19.212	106.733%	4.246	80.242%	1.57236	0.701
SP116835	88	0.882	62.099	70.567%	12.259	61.295%	0.79718	0.863
SP116852	38	0.83	36.794	96.826%	9.367	79.737%	1.42962	0.819
SP116902	31	0.808	28.718	92.639%	7.192	80.916%	1.70794	0.79
SP116871	10	0.568	13.506	135.06%	3.539	102.162%	6.05493	0.528
SP116820	51	0.886	37.605	73.735%	7.576	58.625%	0.92625	0.87
SP116889	63	0.851	47.894	76.022%	9.784	62.004%	0.77857	0.825
SP116923	62	0.849	54.912	88.568%	12.617	82.48%	1.10262	0.837
SP116829	74	0.847	52.708	71.227%	11.715	66.97%	0.62787	0.82
SP116872	8	0.358	12.218	152.725%	3.534	124.946%	4.26087	0.302
SP116904	5	0.599	5.908	118.16%	1.921	85.91%	2.39875	0.57
SP116806	52	0.942	33.186	63.819%	7.686	42.7%	0.84954	0.938
SP116857	81	0.912	42.498	52.467%	9.542	45.031%	0.41655	0.896
SP116888	27	0.838	21.409	79.293%	4.616	56.393%	1.00433	0.813
SP116818	22	0.798	18.68	84.909%	3.871	64.517%	1.01106	0.76
SP116837	73	0.894	45.161	61.864%	9.481	56.966%	0.59156	0.876
SP116905	4	0.365	6.257	156.425%	1.919	95.95%	1.72847	0.313
SP116804	59	0.93	42.43	71.915%	10.041	51.99%	0.9573	0.926
SP116819	31	0.863	23.315	75.21%	4.581	56.82%	1.03623	0.839
SP116856	51	0.937	23.858	46.78%	5.179	36.713%	0.34379	0.926
SP116839	78	0.889	53.532	68.631%	10.828	59.606%	0.68866	0.872
SP116925	28	0.77	28.582	102.079%	7.007	99.094%	1.93716	0.749
SP116878	22	0.806	19.511	88.686%	4.278	60.5%	1.29607	0.778
SP116893	52	0.89	35.0	67.308%	7.395	49.857%	0.74844	0.873
SP116876	1	0.011	1.993	199.3%	1.04	104.0%	5.6942	-0.031
SP116927	43	0.794	41.776	97.153%	8.951	81.373%	1.35427	0.767
SP116909	28	0.926	18.443	65.868%	4.297	44.799%	0.86676	0.921
SP116795	7	0.624	7.815	111.643%	2.341	88.481%	2.37892	0.591
SP116826	48	0.961	28.01	58.354%	7.982	39.91%	0.77691	0.96
SP116891	31	0.806	27.3	88.065%	5.496	68.169%	1.11236	0.772
SP116860	36	0.769	37.765	104.903%	9.237	98.467%	1.38935	0.749
SP116848	56	0.855	38.967	69.584%	8.248	58.914%	0.56192	0.827
SP116910	72	0.933	52.631	73.099%	13.358	61.226%	0.84971	0.933
SP116797	11	0.848	8.961	81.464%	2.21	53.6%	1.60516	0.832
SP116862	66	0.867	49.537	75.056%	9.956	63.221%	0.91371	0.845
SP116823	35	0.961	17.135	48.957%	4.076	32.123%	0.67946	0.958
SP116897	15	0.425	21.68	144.533%	6.104	117.472%	6.29169	0.371
SP116846	19	0.762	17.148	90.253%	3.842	76.84%	1.48974	0.723
SP116784	1	0.049	1.964	196.4%	1.048	104.8%	4.01244	0.017
SP116896	14	0.539	18.677	133.407%	5.204	102.059%	5.41047	0.499
SP116824	35	0.95	20.437	58.391%	4.209	31.637%	0.85998	0.946
SP116881	9	0.487	12.708	141.2%	3.283	91.054%	2.20505	0.432
SP116812	43	0.871	35.018	81.437%	8.922	81.788%	1.15219	0.865
SP116915	78	0.884	60.694	77.813%	13.239	65.383%	0.98892	0.872
SP116786	66	0.866	55.916	84.721%	13.824	84.444%	1.12661	0.86
SP116851	15	0.824	11.777	78.513%	3.051	61.02%	1.17425	0.804
CPCT02220038T	1273	0.986	865.264	67.97%	323.123	62.279%	2.68268	0.991
CPCT02290013T	846	0.98	402.36	47.56%	82.928	30.372%	0.35299	0.98
