Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP23435	215	0.991	49.158	22.864%	8.379	13.191%	0.10456	0.99
SP112829	411	0.983	110.448	26.873%	19.474	18.971%	0.10531	0.979
SP112947	325	0.986	86.279	26.547%	13.366	17.194%	0.10154	0.982
SP112985	32	0.96	22.739	71.059%	5.738	40.174%	0.48477	0.965
SP112925	336	0.978	93.79	27.914%	15.58	20.943%	0.09395	0.971
SP112937	122	0.95	52.631	43.14%	8.253	31.328%	0.2443	0.933
SP112989	122	0.969	41.401	33.935%	6.948	24.91%	0.1796	0.959
SP111145	269	0.992	65.595	24.385%	9.611	13.001%	0.11078	0.99
SP111143	219	0.991	51.942	23.718%	8.526	13.466%	0.11722	0.989
SP125584	14	0.801	10.422	74.443%	3.17	59.907%	0.75296	0.78
SP111144	315	0.997	58.697	18.634%	9.08	7.982%	0.08936	0.997
SP116296	70	0.964	31.538	45.054%	5.385	27.48%	0.30035	0.958
SP116254	254	0.993	68.977	27.156%	11.921	12.792%	0.12054	0.993
SP116256	241	0.992	69.174	28.703%	12.012	13.84%	0.13306	0.991
SP116274	119	0.987	34.355	28.87%	6.029	16.33%	0.16886	0.985
SP116259	191	0.993	51.014	26.709%	8.497	11.851%	0.13828	0.992
SP116290	83	0.945	35.883	43.233%	6.391	32.915%	0.24558	0.93
SP116258	226	0.996	54.941	24.31%	8.843	10.096%	0.11096	0.995
SP116261	47	0.89	31.04	66.043%	6.003	47.019%	0.49298	0.87
SP23463	60	0.944	35.245	58.742%	5.959	33.004%	0.42081	0.935
SP116268	62	0.938	31.638	51.029%	5.475	34.627%	0.37118	0.923
SP23471	88	0.974	39.748	45.168%	6.665	22.754%	0.31234	0.971
SP116266	128	0.982	44.785	34.988%	6.895	19.079%	0.23905	0.978
SP116264	179	0.973	74.119	41.407%	12.321	23.173%	0.28191	0.969
SP116269	165	0.976	65.091	39.449%	10.447	21.817%	0.2789	0.972
SP116275	141	0.992	36.817	26.111%	6.335	13.323%	0.14668	0.991
SP23447	84	0.985	29.047	34.58%	4.608	17.269%	0.22568	0.983
SP116255	265	0.987	77.939	29.411%	16.016	16.274%	0.14352	0.986
SP23455	95	0.948	45.772	48.181%	7.499	32.543%	0.27327	0.935
SP23475	82	0.95	40.898	49.876%	7.038	32.057%	0.33827	0.94
SP116227	214	0.996	55.404	25.89%	9.756	9.506%	0.15143	0.996
SP116226	67	0.958	29.02	43.313%	5.294	29.011%	0.30993	0.949
SP23443	199	0.993	60.488	30.396%	10.016	12.906%	0.16212	0.993
SP116260	169	0.988	53.64	31.74%	8.62	15.852%	0.18169	0.986
SP116280	450	0.998	71.881	15.974%	11.301	6.711%	0.06301	0.998
SP116224	81	0.969	41.2	50.864%	7.554	25.537%	0.37988	0.967
SP116249	3	0.465	4.371	145.7%	1.547	89.316%	2.54271	0.434
SP116232	17	0.814	14.018	82.459%	2.799	58.363%	0.82619	0.776
SP116251	58	0.883	34.626	59.7%	6.24	47.036%	0.45552	0.844
SP116272	123	0.988	37.793	30.726%	7.035	15.711%	0.17937	0.987
SP116286	49	0.92	28.176	57.502%	5.36	39.622%	0.39741	0.904
SP116282	120	0.973	52.6	43.833%	8.717	23.364%	0.25927	0.969
SP116288	22	0.894	17.474	79.427%	3.362	44.927%	0.85983	0.88
SP23467	114	0.983	50.987	44.725%	7.593	18.807%	0.35388	0.982
SP116263	64	0.958	29.612	46.269%	5.71	30.263%	0.30726	0.952
SP116292	61	0.95	33.5	54.918%	5.698	31.705%	0.49675	0.942
SP116248	55	0.912	38.675	70.318%	7.592	41.48%	0.54198	0.901
SP116276	17	0.745	15.808	92.988%	3.08	67.211%	0.87516	0.685
SP116265	265	0.991	64.985	24.523%	9.985	13.787%	0.11146	0.989
SP116267	185	0.987	54.042	29.212%	8.543	15.812%	0.17581	0.985
SP116253	151	0.97	56.453	37.386%	9.296	24.489%	0.21535	0.962
SP23481	50	0.896	29.702	59.404%	5.665	45.356%	0.41439	0.871
SP116233	203	0.988	60.297	29.703%	10.482	16.065%	0.15878	0.986
SP116284	146	0.993	45.912	31.447%	7.783	13.889%	0.17876	0.992
SP116270	75	0.959	33.41	44.547%	6.393	29.905%	0.29009	0.953
SP116257	196	0.991	64.991	33.159%	10.601	13.638%	0.19875	0.99
SP116298	13	0.91	9.432	72.554%	2.454	41.48%	0.75987	0.905
SP116294	32	0.885	20.987	65.584%	3.942	47.116%	0.49215	0.859
SP23439	320	0.978	87.808	27.44%	14.841	20.951%	0.09176	0.971
SP23483	10	0.561	13.768	137.68%	2.869	82.821%	1.53591	0.488
SP116262	67	0.967	30.166	45.024%	5.196	25.324%	0.31988	0.963
SP116228	422	0.994	75.745	17.949%	13.095	11.235%	0.06312	0.993
SP116222	98	0.953	45.111	46.032%	8.754	31.145%	0.26901	0.945
SP23451	103	0.965	39.167	38.026%	6.764	26.716%	0.21997	0.956
SP116247	151	0.989	45.595	30.195%	7.86	15.068%	0.17637	0.987
