Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP116788	16	0.858	12.013	75.081%	2.406	51.296%	0.88898	0.833
SP116789	6	0.731	6.878	114.633%	1.71	69.81%	1.36049	0.71
SP116919	1	0.642	1.732	173.2%	0.881	88.1%	2.00902	0.692
SP109002	53	0.929	35.677	67.315%	5.614	39.02%	0.50365	0.917
SP109001	11	0.836	10.605	96.409%	2.098	58.188%	0.9592	0.822
SP109006	65	0.948	33.483	51.512%	5.543	31.844%	0.36649	0.937
SP108998	138	0.99	42.062	30.48%	6.821	15.306%	0.17683	0.99
SP127706	155	0.947	54.443	35.125%	11.134	32.371%	0.21806	0.929
SP108999	111	0.973	50.505	45.5%	7.996	25.555%	0.26885	0.969
SP109007	76	0.935	36.255	47.704%	6.267	36.304%	0.3347	0.916
SP109003	52	0.928	25.345	48.74%	4.784	37.587%	0.39445	0.909
SP116868	55	0.928	29.04	52.8%	4.741	37.599%	0.34834	0.906
SP116794	15	0.934	11.402	76.013%	2.115	40.703%	0.58046	0.932
SP116791	13	0.854	12.093	93.023%	2.412	52.634%	0.96385	0.838
SP116866	48	0.927	24.967	52.015%	4.19	38.572%	0.38101	0.906
SP116815	47	0.965	21.886	46.566%	3.458	26.444%	0.34536	0.959
SP116853	42	0.966	19.595	46.655%	3.088	26.287%	0.37127	0.96
SP116901	24	0.888	16.495	68.729%	3.092	46.614%	0.71857	0.866
SP116830	92	0.98	25.813	28.058%	4.178	19.918%	0.16944	0.974
SP116802	15	0.857	14.429	96.193%	2.665	55.569%	0.73856	0.846
SP116885	90	0.973	39.097	43.441%	6.034	24.04%	0.26457	0.969
SP116834	31	0.881	21.246	68.535%	3.48	47.801%	0.54293	0.846
SP116913	25	0.917	16.193	64.772%	3.103	41.1%	0.53074	0.905
SP116799	35	0.931	22.205	63.443%	4.113	40.527%	0.47599	0.925
SP116920	18	0.868	15.11	83.944%	2.652	50.118%	0.7502	0.846
SP116835	88	0.971	33.859	38.476%	5.04	25.2%	0.23562	0.964
SP116852	38	0.954	23.231	61.134%	3.778	32.16%	0.469	0.95
SP116902	31	0.929	19.547	63.055%	3.319	37.342%	0.60489	0.917
SP116871	10	0.745	10.809	108.09%	2.313	66.771%	1.22889	0.712
SP116820	51	0.949	25.717	50.425%	4.069	31.487%	0.36373	0.937
SP116889	63	0.963	28.396	45.073%	4.542	28.784%	0.28878	0.957
SP116923	62	0.946	29.6	47.742%	4.975	32.523%	0.36432	0.932
SP116829	74	0.976	25.443	34.382%	3.97	22.695%	0.21789	0.97
SP116872	8	0.645	10.212	127.65%	2.175	76.898%	1.48136	0.597
SP116904	5	0.736	6.428	128.56%	1.614	72.18%	1.34796	0.732
SP116806	52	0.981	24.257	46.648%	4.336	24.089%	0.32483	0.98
SP116857	81	0.974	32.812	40.509%	5.198	24.531%	0.25702	0.97
SP116888	27	0.932	18.958	70.215%	3.179	38.838%	0.54565	0.925
SP116818	22	0.924	15.495	70.432%	2.514	41.9%	0.52415	0.917
SP116837	73	0.954	33.544	45.951%	5.11	30.703%	0.32777	0.941
SP116905	4	0.738	5.303	132.575%	1.462	73.1%	1.34863	0.739
SP116804	59	0.974	26.648	45.166%	4.643	24.041%	0.37975	0.971
SP116819	31	0.932	17.51	56.484%	2.966	36.789%	0.45665	0.917
SP116856	51	0.972	23.31	45.706%	3.851	27.299%	0.2792	0.969
SP116839	78	0.955	33.876	43.431%	5.486	30.199%	0.33353	0.942
SP116925	28	0.903	17.439	62.282%	3.041	43.006%	0.53131	0.879
SP116878	22	0.861	17.921	81.459%	3.63	51.336%	0.75248	0.842
SP116893	52	0.961	21.711	41.752%	4.092	27.588%	0.32375	0.955
SP116876	1	0.175	1.903	190.3%	0.99	99.0%	3.03008	0.144
SP116927	43	0.902	25.978	60.414%	4.745	43.136%	0.50086	0.879
SP116909	28	0.959	17.418	62.207%	3.002	31.298%	0.45828	0.956
SP116795	7	0.78	7.361	105.157%	1.717	64.897%	1.1231	0.763
SP116826	48	0.992	21.349	44.477%	3.982	19.91%	0.27332	0.992
SP116891	31	0.897	20.384	65.755%	3.577	44.367%	0.52424	0.873
SP116860	36	0.935	21.538	59.828%	3.431	36.575%	0.43585	0.923
SP116848	56	0.951	28.568	51.014%	4.712	33.657%	0.32674	0.944
SP116910	72	0.972	32.144	44.644%	5.44	24.934%	0.30648	0.968
SP116797	11	0.855	11.424	103.855%	2.293	55.613%	1.00436	0.847
SP116862	66	0.945	32.515	49.265%	5.145	32.671%	0.39586	0.93
SP116823	35	0.982	18.26	52.171%	3.189	25.133%	0.3945	0.982
SP116897	15	0.876	13.291	88.607%	2.717	52.289%	0.81713	0.869
SP116846	19	0.839	15.248	80.253%	2.722	54.44%	0.8278	0.802
SP116784	1	0.182	1.914	191.4%	0.985	98.5%	3.15125	0.149
SP116896	14	0.89	14.243	101.736%	2.781	54.54%	0.81902	0.897
SP116824	35	0.976	20.48	58.514%	3.546	26.653%	0.46691	0.976
SP116881	9	0.758	11.67	129.667%	2.48	68.783%	1.30798	0.747
SP116812	43	0.942	20.045	46.616%	3.744	34.321%	0.37996	0.929
SP116915	78	0.98	28.148	36.087%	4.377	21.616%	0.22121	0.978
SP116786	66	0.965	27.784	42.097%	4.372	26.706%	0.32401	0.957
SP116851	15	0.918	12.828	85.52%	2.349	46.98%	0.62135	0.921
CPCT02220038T	1273	0.999	154.975	12.174%	30.046	5.791%	0.02042	0.999
CPCT02290013T	846	0.999	96.986	11.464%	16.709	6.12%	0.0229	0.999
