Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP116536	100	0.975	42.096	42.096%	6.402	24.128%	0.27388	0.972
SP116539	23	0.859	18.265	79.413%	3.836	52.692%	0.67658	0.841
SP116542	30	0.893	23.034	76.78%	4.141	48.138%	0.58159	0.881
SP116545	29	0.9	21.894	75.497%	4.555	45.324%	0.6057	0.89
SP116548	40	0.926	23.476	58.69%	4.191	38.258%	0.46129	0.912
SP116550	6	0.756	5.656	94.267%	1.61	65.728%	1.07225	0.734
SP116553	35	0.957	19.625	56.071%	3.451	29.701%	0.45787	0.952
SP116557	9	0.659	10.717	119.078%	2.26	75.333%	1.52229	0.606
SP116559	40	0.948	20.778	51.945%	3.427	32.382%	0.41232	0.938
SP116562	46	0.968	27.898	60.648%	4.778	28.155%	0.43504	0.966
SP116564	46	0.887	30.353	65.985%	4.724	46.323%	0.56962	0.847
SP116571	26	0.932	16.701	64.235%	3.007	36.465%	0.65426	0.922
SP116393	2	0.642	2.853	142.65%	1.119	79.125%	2.40772	0.635
SP116442	4	0.802	4.678	116.95%	1.323	66.15%	0.9337	0.802
SP116446	10	0.599	12.179	121.79%	2.776	80.136%	1.42978	0.536
SP116419	131	0.976	42.822	32.689%	6.309	22.019%	0.17576	0.968
SP116383	503	0.992	95.462	18.979%	16.396	13.298%	0.0699	0.99
SP116385	226	0.984	63.716	28.193%	10.271	17.815%	0.143	0.98
SP116440	179	0.97	61.033	34.097%	10.446	25.239%	0.17288	0.963
SP116450	444	0.995	86.259	19.428%	12.636	10.847%	0.07121	0.994
SP116493	83	0.978	36.412	43.87%	6.127	22.152%	0.25159	0.976
SP116391	74	0.947	40.128	54.227%	7.202	32.403%	0.39789	0.939
SP116401	66	0.932	34.955	52.962%	5.851	36.427%	0.44488	0.913
SP116409	144	0.973	54.265	37.684%	9.396	23.301%	0.19492	0.968
SP116416	31	0.819	29.785	96.081%	5.624	58.956%	0.81663	0.794
SP116424	34	0.882	21.917	64.462%	3.794	47.425%	0.52626	0.847
SP116515	94	0.942	41.951	44.629%	7.116	33.695%	0.30334	0.923
SP116499	158	0.978	54.86	34.722%	9.027	20.999%	0.25297	0.973
SP116505	278	0.997	58.258	20.956%	10.357	7.727%	0.13476	0.997
SP116509	182	0.978	57.077	31.361%	9.144	20.728%	0.17074	0.973
SP116437	65	0.947	31.151	47.925%	5.405	33.329%	0.35565	0.935
SP116512	386	0.993	72.999	18.912%	12.271	12.436%	0.0762	0.992
SP116465	192	0.96	70.603	36.772%	12.258	28.137%	0.18033	0.947
SP116496	552	0.989	119.669	21.679%	17.463	15.239%	0.08475	0.985
SP116525	254	0.989	59.477	23.416%	9.019	15.368%	0.118	0.987
SP116481	41	0.909	30.328	73.971%	5.642	42.895%	0.68758	0.898
SP116586	75	0.956	31.842	42.456%	5.131	29.773%	0.31208	0.943
SP116528	375	0.998	59.482	15.862%	9.183	5.795%	0.08023	0.998
SP116589	395	0.99	90.629	22.944%	13.743	14.638%	0.10633	0.987
SP116406	117	0.978	36.416	31.125%	6.217	20.898%	0.19909	0.973
SP116484	43	0.88	34.649	80.579%	7.15	50.685%	0.59162	0.87
SP116453	99	0.955	43.888	44.331%	6.866	29.966%	0.28792	0.943
SP116469	432	0.992	79.076	18.305%	12.944	13.961%	0.06579	0.989
SP116578	719	0.995	102.542	14.262%	16.833	10.414%	0.05017	0.993
SP116531	98	0.981	38.708	39.498%	6.691	19.364%	0.2854	0.979
SP116593	62	0.946	31.667	51.076%	5.96	32.909%	0.43414	0.937
SP116487	30	0.863	23.308	77.693%	3.997	50.762%	0.67511	0.832
SP116456	49	0.879	34.649	70.712%	5.528	48.298%	0.55511	0.845
SP116472	239	0.988	66.007	27.618%	9.975	15.942%	0.13127	0.985
SP116518	567	0.996	96.987	17.105%	15.594	9.062%	0.07281	0.995
SP116412	103	0.989	34.966	33.948%	6.512	17.678%	0.19221	0.988
SP116534	89	0.959	38.964	43.78%	6.343	28.626%	0.31386	0.95
SP116596	398	0.988	89.834	22.571%	13.953	16.157%	0.08547	0.985
SP116490	157	0.989	40.179	25.592%	7.038	15.008%	0.17679	0.987
SP116459	201	0.976	67.762	33.712%	10.631	21.824%	0.19247	0.97
SP116475	113	0.986	40.465	35.81%	6.623	17.508%	0.25524	0.985
SP116520	252	0.99	65.108	25.837%	10.003	15.676%	0.12171	0.989
SP116431	284	0.991	70.07	24.673%	11.127	14.063%	0.14189	0.99
SP116582	393	0.994	83.731	21.306%	12.682	10.885%	0.07958	0.993
SP116599	159	0.993	46.137	29.017%	7.226	12.669%	0.15698	0.993
SP116478	169	0.986	51.097	30.235%	8.827	17.764%	0.15693	0.985
SP116462	102	0.975	45.69	44.794%	7.288	23.024%	0.29881	0.972
SP116523	127	0.993	41.206	32.446%	6.516	13.685%	0.19908	0.992
SP116434	27	0.889	20.27	75.074%	3.416	46.061%	0.68197	0.867
SP122725	295	0.992	67.821	22.99%	10.447	12.829%	0.10198	0.99
SP122476	279	0.979	79.205	28.389%	12.93	21.061%	0.14571	0.973
SP122372	287	0.985	68.139	23.742%	11.721	17.529%	0.10969	0.981
SP122489	181	0.988	46.019	25.425%	7.594	15.831%	0.14264	0.986
SP122560	183	0.981	63.481	34.689%	10.489	20.387%	0.19448	0.978
SP122590	193	0.974	61.945	32.096%	10.387	22.672%	0.15936	0.967
SP122714	148	0.977	44.81	30.277%	6.864	21.62%	0.186	0.968
SP121870	226	0.992	56.603	25.046%	8.733	13.056%	0.14358	0.99
SP123010	278	0.993	60.05	21.601%	9.033	12.151%	0.10206	0.992
SP121865	214	0.976	56.935	26.605%	11.281	22.553%	0.12426	0.969
SP122676	371	0.997	69.167	18.643%	10.391	7.977%	0.09272	0.996
SP122412	188	0.956	75.04	39.915%	10.934	29.391%	0.23227	0.936
