Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
SP97749	0	74	37	0	126	0	30	0	15	0	9	36	29	0	7
SP49235	14	57	52	0	35	72	30	19	11	81	21	16	9	0	10
SP50177	2	34	0	189	81	0	12	134	18	0	14	0	14	0	3
SP97775	49	171	39	0	43	285	126	91	120	0	20	0	0	48	14
SP97685	9	46	0	60	57	80	130	4	36	39	11	0	11	16	2
SP97747	11	89	123	29	53	0	53	15	26	0	20	105	51	0	10
SP97771	18	73	73	102	103	90	77	24	16	0	11	54	0	30	5
SP97681	40	88	123	0	121	0	49	108	47	0	23	84	0	10	2
SP98082	22	144	13	0	67	152	24	36	10	0	45	95	0	23	10
SP49334	8	69	31	138	82	0	34	55	18	0	17	0	17	13	2
SP49124	29	0	0	129	31	0	561	74	0	152	184	104	0	4	12
SP115501	35	292	0	46	42	79	0	0	11	0	33	0	0	34	8
SP98305	50	329	109	141	103	35	17	19	70	184	56	0	0	43	5
SP49247	39	141	150	0	205	61	50	0	21	145	39	1	0	49	2
SP49328	22	78	93	213	0	45	40	0	0	0	21	0	22	26	8
SP98092	24	55	9	208	88	1	28	0	9	0	38	0	64	13	14
SP120755	2	7	0	0	51	37	12	0	0	0	6	0	22	0	2
SP49417	32	157	28	0	77	105	39	88	27	0	47	0	71	1	2
SP49175	12	330	63	71	0	0	12	93	7	0	10	20	24	0	0
SP49223	5	98	3	17	0	0	21	38	6	0	51	15	26	5	0
SP49187	20	31	131	92	0	7	44	14	32	0	1	0	42	0	3
SP49157	16	94	252	26	87	0	28	32	23	0	26	32	57	35	2
SP49379	12	194	58	157	0	0	20	129	16	0	16	19	0	29	1
SP49541	53	194	120	0	11	125	33	13	30	0	90	63	74	22	6
SP98164	22	147	217	0	165	49	52	25	35	18	30	17	53	51	1
SP49481	10	0	6	0	65	20	43	6	13	0	7	12	0	0	0
SP98078	7	0	94	169	65	90	108	58	23	67	14	32	12	42	4
SP106677	26	121	23	0	64	50	20	38	30	0	26	25	75	0	0
SP106743	12	54	1	40	0	40	8	0	8	0	13	0	75	8	8
SP98359	46	224	32	60	44	23	58	64	35	0	30	2	42	32	10
SP98192	5	309	16	3	0	0	5	43	5	0	15	41	0	0	0
SP98053	28	167	123	0	115	40	46	0	20	28	8	101	11	68	6
SP106631	9	0	30	162	34	0	37	10	115	0	16	0	0	9	3
SP49551	17	68	92	115	0	107	5	5	24	27	11	7	0	0	4
SP49651	0	102	2	0	16	23	70	63	3	0	475	0	16	18	10
SP98265	32	179	0	269	26	58	49	0	11	0	16	193	0	11	4
SP98297	28	52	177	93	51	92	62	135	19	0	17	0	0	21	7
SP98060	3	0	2	0	7	42	0	17	3	0	2	0	14	0	0
SP98289	15	108	80	98	0	0	36	222	53	0	61	0	38	43	4
SP115498	68	115	189	0	91	96	0	13	18	235	9	47	0	21	20
SP98096	31	63	105	217	0	19	34	0	36	155	15	16	22	12	10
SP49114	17	89	194	0	212	118	144	0	42	0	46	138	39	46	11
SP98090	98	767	352	186	42	241	17	52	27	0	16	0	0	81	0
SP49286	14	75	95	73	74	43	59	65	26	0	13	0	14	45	7
SP49469	55	169	0	48	102	37	65	0	22	0	47	59	56	21	1
SP49205	28	109	0	0	34	18	18	0	9	32	49	46	2	22	3
SP98327	13	34	47	248	104	0	38	23	26	22	16	0	0	31	8
SP49449	18	253	0	1	0	36	7	0	5	2	9	34	4	26	0
SP49391	4	72	18	0	96	0	53	17	8	0	6	30	19	4	5
SP49531	84	259	153	346	11	19	40	104	7	0	26	0	0	33	13
SP49322	48	255	0	85	71	78	11	11	14	0	15	0	15	23	7
SP49433	16	123	22	0	50	7	25	50	26	0	4	23	28	6	0
SP109384	14	70	26	0	26	51	34	24	1	25	23	0	47	0	3
SP98065	38	6	24	0	72	39	45	166	13	174	9	0	0	22	7
SP49591	48	94	0	0	31	101	10	35	17	0	34	0	0	29	0
SP49385	10	83	30	0	70	139	74	39	29	0	40	100	0	15	2
SP98313	29	366	26	17	21	11	8	14	12	0	15	81	0	22	8
SP49119	27	177	47	13	78	56	17	75	24	0	7	56	0	35	6
SP109301	44	162	212	0	118	28	46	22	34	0	3	10	46	26	0
SP115830	30	180	12	199	0	35	14	8	15	0	24	30	14	11	2
