Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP135192	2	0.383	3.459	172.95%	1.307	92.419%	2.00243	0.355
SP135335	56	0.912	35.879	64.07%	6.495	41.078%	0.56793	0.896
SP135278	24	0.828	19.104	79.6%	4.153	56.515%	0.68594	0.801
SP135287	64279	1.0	3342.697	5.2%	1029.867	2.312%	0.00664	1.0
SP135345	283	0.983	80.254	28.358%	14.44	18.481%	0.1428	0.98
SP85122	100440	1.0	4269.39	4.251%	1235.871	1.815%	0.00397	1.0
SP84384	101638	1.0	4298.413	4.229%	1216.019	1.799%	0.00438	1.0
SP135184	7	0.327	11.332	161.886%	3.428	95.076%	2.03639	0.261
SP135226	229	0.995	57.168	24.964%	8.988	10.245%	0.15162	0.994
SP135436	1306	0.999	156.805	12.007%	27.363	4.762%	0.04129	0.999
SP135262	133	0.967	55.145	41.462%	9.765	25.76%	0.26717	0.961
SP135431	1632	0.999	168.63	10.333%	28.039	3.581%	0.03689	0.999
SP135425	840	0.996	144.923	17.253%	25.246	8.621%	0.0557	0.996
SP135222	472	0.998	89.106	18.878%	14.913	7.142%	0.08463	0.998
SP135230	310	0.997	65.35	21.081%	10.125	8.33%	0.09872	0.997
SP135205	99	0.988	38.686	39.077%	6.191	16.109%	0.27054	0.987
SP135180	5	0.177	9.011	180.22%	2.359	105.498%	3.00907	0.08
SP135213	352	0.992	82.624	23.473%	14.203	12.767%	0.10116	0.991
SP135217	1	0.215	1.869	186.9%	0.98	98.0%	2.7295	0.19
SP135405	808	0.996	166.527	20.61%	27.919	9.49%	0.06944	0.995
SP135238	8	0.656	11.014	137.675%	2.812	88.923%	2.10138	0.631
SP135270	865	0.997	133.782	15.466%	22.582	8.146%	0.05012	0.996
SP135411	284	0.99	89.979	31.683%	16.159	15.326%	0.16246	0.989
SP135188	200	0.989	53.616	26.808%	8.432	15.213%	0.14728	0.986
SP135194	367	0.998	63.696	17.356%	10.788	7.056%	0.08369	0.997
SP135186	433	0.993	111.199	25.681%	19.417	13.309%	0.10091	0.992
SP135420	777	0.998	103.963	13.38%	16.586	6.295%	0.03948	0.998
SP135258	70	0.986	29.965	42.807%	5.054	16.555%	0.36151	0.985
SP135234	1146	0.999	141.031	12.306%	23.441	5.078%	0.03758	0.999
SP135293	5	0.431	7.416	148.32%	2.052	91.768%	2.05765	0.374
SP135393	597	0.998	99.952	16.742%	14.443	7.023%	0.07089	0.997
SP135299	817	0.994	159.596	19.534%	32.345	11.388%	0.06376	0.994
SP135415	198	0.979	72.455	36.593%	11.754	20.714%	0.18292	0.976
SP135310	1	0.109	1.959	195.9%	0.997	99.7%	3.87696	0.057
SP135323	147	0.868	80.431	54.715%	14.922	50.103%	0.28353	0.809
SP135390	45	0.937	27.146	60.324%	5.521	36.015%	0.50682	0.93
SP135209	76	0.967	37.835	49.783%	6.027	26.481%	0.31309	0.962
SP135240	694	0.997	126.896	18.285%	22.077	7.456%	0.0689	0.997
SP135182	2828	1.0	249.754	8.831%	41.705	3.097%	0.02282	1.0
SP85251	416	0.994	100.342	24.121%	15.11	10.637%	0.10248	0.994
SP84408	281	0.985	85.0	30.249%	14.772	17.589%	0.13717	0.982
SP84491	3247	0.999	284.452	8.76%	47.272	3.663%	0.01883	0.999
SP84743	3184	1.0	129.309	4.061%	22.856	1.844%	0.00476	1.0
SP83967	481	0.995	98.733	20.527%	16.035	10.56%	0.09921	0.994
SP105253	2082	1.0	166.719	8.008%	28.091	3.131%	0.01943	0.999
SP84998	915	0.999	110.476	12.074%	17.376	4.156%	0.04026	0.999
SP84062	211	0.96	85.792	40.66%	14.601	28.455%	0.25617	0.95
SP84982	52976	1.0	2261.575	4.269%	636.776	1.669%	0.0046	1.0
SP84790	1219	0.997	185.589	15.225%	28.889	7.597%	0.04743	0.997
SP105673	1377	0.997	161.097	11.699%	28.019	8.164%	0.02816	0.996
SP85339	1654	1.0	135.531	8.194%	21.046	2.508%	0.02781	1.0
SP84719	861	0.998	134.099	15.575%	21.918	6.335%	0.0573	0.998
SP105425	1623	1.0	136.136	8.388%	20.576	2.594%	0.02364	1.0
SP84056	1328	0.997	222.754	16.774%	38.892	8.375%	0.04985	0.996
SP105261	532	0.997	95.098	17.876%	15.322	8.179%	0.06879	0.996
SP85379	1871	1.0	157.155	8.4%	24.825	2.967%	0.01829	1.0
SP105086	1573	0.997	202.494	12.873%	37.903	7.706%	0.02626	0.997
SP84392	102175	1.0	4011.367	3.926%	1199.718	1.755%	0.00415	1.0
SP105018	4707	0.998	291.03	6.183%	77.941	5.816%	0.00465	0.998
SP84858	1929	0.999	222.006	11.509%	37.351	5.044%	0.03283	0.999
SP84086	639	0.998	106.655	16.691%	17.17	5.588%	0.07196	0.998
SP105213	998	0.998	147.439	14.773%	27.843	6.822%	0.05242	0.998
SP105577	813	0.998	124.745	15.344%	19.324	6.327%	0.04728	0.998
SP85431	523	0.993	122.201	23.365%	19.935	11.391%	0.08253	0.993
SP84962	712	0.997	127.295	17.879%	20.858	7.748%	0.07063	0.997
SP105006	983	0.998	167.446	17.034%	25.234	7.493%	0.05626	0.997
SP84439	95879	1.0	3557.853	3.711%	822.646	1.362%	0.00426	1.0
SP105159	673	0.996	124.515	18.501%	20.06	9.523%	0.05482	0.995
SP85230	1047	0.982	219.89	21.002%	47.934	18.708%	0.04705	0.978
SP84922	2326	0.999	221.097	9.505%	37.262	3.633%	0.02034	0.999
SP85130	1578	0.999	210.639	13.348%	32.905	4.898%	0.03972	0.999
SP104984	747	0.998	125.784	16.839%	21.065	7.058%	0.07073	0.997
SP85222	312	0.99	93.913	30.1%	15.657	13.837%	0.17469	0.99
SP105375	3087	0.999	238.35	7.721%	40.844	3.312%	0.01561	0.999
SP85287	1049	0.999	147.71	14.081%	22.288	4.912%	0.06816	0.999
CPCT02060042T	217	0.988	64.664	29.799%	10.381	15.436%	0.14684	0.986
CPCT02130027T	698	0.997	109.914	15.747%	17.47	7.503%	0.0489	0.997
CPCT02290024T	2754	1.0	179.075	6.502%	27.834	2.162%	0.01272	1.0
CPCT02230080T	1797	1.0	127.466	7.093%	18.94	2.271%	0.01885	1.0
CPCT02070282T	1797	0.999	160.278	8.919%	27.058	3.732%	0.01907	0.999
CPCT02060201T	1667	1.0	160.693	9.64%	25.564	3.361%	0.02552	1.0
CPCT02010752T	741	0.99	194.45	26.242%	35.666	14.907%	0.09671	0.988
CPCT02130046T	1473	1.0	137.826	9.357%	19.642	3.193%	0.02308	0.999
CPCT02190033T	2397	0.999	217.391	9.069%	35.979	3.515%	0.02063	0.999
WIDE01010213T	2214	0.999	227.863	10.292%	37.92	5.166%	0.01923	0.999
CPCT02440010T	2693	0.999	245.748	9.125%	41.385	4.099%	0.0169	0.999
WIDE01010272T	904	0.999	141.221	15.622%	22.026	5.608%	0.05435	0.998
DRUP01070085T	91101	1.0	4782.327	5.249%	1149.08	1.981%	0.00883	1.0
CPCT02380045T	1981	0.999	186.443	9.412%	32.345	3.625%	0.02441	0.999
CPCT02150013T	865	0.997	143.621	16.604%	22.245	8.075%	0.05174	0.996
CPCT02010769T	1357	0.998	183.336	13.51%	30.093	6.442%	0.0384	0.998
CPCT02450014T	267486	1.0	2436.826	0.911%	697.45	0.578%	0.00023	1.0
CPCT02130122T	1230	0.999	153.985	12.519%	21.944	4.632%	0.03403	0.999
CPCT02230107T	2029	1.0	176.329	8.69%	26.675	2.655%	0.02741	1.0
DRUP01090017T	3396	0.999	294.774	8.68%	49.639	4.086%	0.01608	0.999
CPCT02020781T	2387	0.998	274.266	11.49%	45.052	6.191%	0.02221	0.998
CPCT02310016T	1201	0.998	190.609	15.871%	30.647	6.851%	0.04551	0.998
CPCT02300050T	2450	0.998	274.897	11.22%	59.415	6.226%	0.02306	0.998
CPCT02020808T	1981	0.999	223.092	11.262%	38.718	4.904%	0.02433	0.999
CPCT02050414T	2537	0.999	238.725	9.41%	37.301	3.393%	0.02191	0.999
CPCT02230042T	332	0.992	106.047	31.942%	17.224	13.212%	0.16364	0.992
CPCT02040170T	816	0.996	124.262	15.228%	22.369	9.26%	0.04721	0.995
CPCT02330059T	3231	1.0	249.305	7.716%	39.442	3.001%	0.0138	1.0
CPCT02330063T	2518	0.999	208.416	8.277%	34.084	3.315%	0.01709	0.999
CPCT02020512T	986	0.999	107.587	10.911%	17.114	3.958%	0.03353	0.999
CPCT02110031T	1245	0.983	294.259	23.635%	73.157	18.611%	0.10731	0.98
CPCT02030347T	167318	1.0	11331.466	6.772%	2931.196	2.497%	0.01385	1.0
CPCT02050179T	3083	1.0	265.261	8.604%	39.672	2.861%	0.01579	1.0
CPCT02010591T	1050	0.997	161.137	15.346%	24.492	7.501%	0.04251	0.997
CPCT02170007T	1673	0.998	229.884	13.741%	36.72	6.642%	0.03008	0.998
CPCT02210025T	2112	0.999	232.051	10.987%	35.919	4.855%	0.0213	0.999
CPCT02030376T	1138	0.999	147.116	12.928%	22.62	5.434%	0.03447	0.998
CPCT02050110T	2302	0.999	213.355	9.268%	32.709	3.592%	0.02084	0.999
CPCT02030318T	2785	1.0	217.467	7.809%	32.868	2.638%	0.01558	1.0
CPCT02100056T	748	0.998	123.069	16.453%	21.577	7.033%	0.05472	0.997
CPCT02030326T	1615	1.0	116.931	7.24%	19.318	2.917%	0.02112	1.0
CPCT02120007T	2057	0.999	229.699	11.167%	38.844	4.958%	0.02812	0.999
WIDE01010573T	2337	0.998	299.76	12.827%	49.999	7.036%	0.02631	0.997
WIDE01010693T	1115	0.999	118.168	10.598%	18.188	4.001%	0.03248	0.999
