Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP18310	133982	1.0	6981.971	5.211%	1725.166	1.887%	0.012	1.0
SP17172	39880	1.0	5581.281	13.995%	2344.909	8.168%	0.0338	1.0
SP96133	77388	1.0	4740.2	6.125%	1401.1	2.658%	0.01475	1.0
SP110242	124495	1.0	7025.432	5.643%	1564.391	1.968%	0.01287	1.0
SP114330	1288	0.998	208.269	16.17%	42.583	6.816%	0.06572	0.998
SP21017	112379	1.0	5848.53	5.204%	1297.379	1.715%	0.01218	1.0
SP22383	79288	1.0	6146.159	7.752%	1641.02	2.988%	0.01985	1.0
SP81312	11589	0.998	2147.447	18.53%	477.578	7.231%	0.07372	0.998
SP22031	3494	0.999	595.874	17.054%	213.509	9.255%	0.0569	0.999
SP96112	753	0.997	153.384	20.37%	27.262	8.035%	0.09259	0.997
SP19215	73731	0.999	7161.883	9.714%	2215.358	4.455%	0.02975	0.999
SP96120	2015	0.998	248.263	12.321%	52.078	5.696%	0.044	0.998
SP16886	7663	0.993	1917.815	25.027%	608.536	12.786%	0.08347	0.993
SP96124	1637	0.999	202.693	12.382%	36.927	4.306%	0.0475	0.999
SP19295	4278	0.998	573.834	13.414%	144.127	5.612%	0.06162	0.998
SP19670	1150	0.999	191.483	16.651%	33.494	5.506%	0.07797	0.998
SP17905	25666	0.975	10593.855	41.276%	2692.128	22.356%	0.305	0.974
SP16934	1534	0.998	210.095	13.696%	38.579	5.625%	0.05681	0.998
SP20993	2004	0.999	288.181	14.38%	53.828	5.28%	0.06005	0.999
SP19983	2272	0.998	321.584	14.154%	58.879	5.602%	0.06537	0.998
SP18121	100030	1.0	9467.798	9.465%	2415.524	3.848%	0.02725	1.0
SP96122	2474	0.999	324.681	13.124%	58.695	4.565%	0.0578	0.999
SP119755	2411	0.999	308.729	12.805%	56.304	4.892%	0.04378	0.999
SP96126	3300	1.0	347.718	10.537%	60.063	3.177%	0.03987	1.0
SP19606	1000	0.995	191.112	19.111%	39.074	10.584%	0.06903	0.994
SP96118	9465	0.991	2460.019	25.991%	820.033	15.449%	0.10467	0.991
SP21528	1302	0.998	219.736	16.877%	38.161	5.592%	0.08518	0.998
SP21400	10551	0.998	2016.588	19.113%	534.965	7.927%	0.0723	0.999
SP23078	1053	0.99	249.446	23.689%	53.086	14.476%	0.11232	0.989
SP17430	626	0.993	164.511	26.28%	30.349	12.155%	0.12424	0.992
SP96110	1245	0.997	211.498	16.988%	42.048	7.641%	0.08579	0.997
SP18946	16801	0.996	3378.394	20.108%	798.694	8.857%	0.09254	0.996
SP21057	2132	0.998	340.475	15.97%	60.622	5.973%	0.07044	0.998
SP22750	1226	0.998	188.678	15.39%	39.704	6.484%	0.07775	0.998
SP19750	1232	0.999	166.006	13.475%	30.085	4.28%	0.06125	0.999
SP17016	1512	0.998	253.761	16.783%	44.652	6.18%	0.0745	0.998
SP16958	2281	0.994	586.431	25.709%	129.482	13.289%	0.1181	0.993
SP17329	863	0.995	191.547	22.195%	35.984	9.634%	0.09658	0.995
SP96116	1319	0.999	169.039	12.816%	27.292	3.993%	0.04859	0.999
SP96129	1707	0.998	305.494	17.897%	55.282	6.885%	0.08126	0.998
SP21193	1041	0.998	177.567	17.057%	32.851	6.795%	0.07247	0.998
SP18787	2259	0.999	309.662	13.708%	54.127	4.383%	0.0633	0.999
SP96114	1427	0.998	217.501	15.242%	42.961	6.603%	0.05316	0.998
SP19582	582	0.981	178.273	30.631%	41.455	19.365%	0.16038	0.979
SP17294	2265	0.999	256.448	11.322%	50.307	4.549%	0.04194	0.999
SP80367	1093	0.993	252.059	23.061%	52.38	11.929%	0.10147	0.992
SP82087	1046	0.996	207.535	19.841%	40.496	8.559%	0.10454	0.996
SP80615	19339	0.996	3762.79	19.457%	961.951	9.139%	0.09155	0.996
SP80271	1373	0.999	165.768	12.073%	33.007	4.983%	0.04799	0.999
SP81172	1303	0.981	405.518	31.122%	87.818	19.86%	0.13437	0.979
SP81840	2364	0.999	298.437	12.624%	52.784	4.264%	0.05825	0.999
SP80657	682	0.998	118.072	17.313%	22.468	7.086%	0.07386	0.998
SP81494	1185	0.977	394.018	33.25%	92.829	21.155%	0.17363	0.975
SP81711	2429	0.997	416.795	17.159%	92.378	8.269%	0.06556	0.996
SP80423	1147	0.994	252.742	22.035%	48.939	11.007%	0.10112	0.993
SP80754	1320	0.976	427.744	32.405%	110.789	21.81%	0.17579	0.974
SP81440	477	0.995	112.211	23.524%	20.587	9.862%	0.10948	0.995
SP80950	789	0.997	169.263	21.453%	28.477	7.731%	0.11757	0.997
SP82103	1478	0.999	215.737	14.597%	42.276	4.785%	0.05545	0.999
SP81137	2654	0.994	473.614	17.845%	121.563	10.603%	0.0801	0.994
DRUP01010006T	1818	0.999	198.314	10.908%	37.366	4.506%	0.02859	0.999
CPCT02020319T	1811	0.998	303.757	16.773%	53.422	6.801%	0.05141	0.998
CPCT02040021T	1869	0.999	274.591	14.692%	49.6	6.301%	0.03464	0.999
CPCT02110003T	1196	0.999	163.449	13.666%	26.922	4.361%	0.05016	0.999
CPCT02140012T	2595	0.933	1146.934	44.198%	307.547	36.067%	0.23264	0.924
CPCT02040027T	2485	0.999	280.588	11.291%	46.842	4.087%	0.02873	0.999
CPCT02100013T	3212	0.991	725.302	22.581%	146.765	13.359%	0.06404	0.99
CPCT02050048T	1615	0.997	229.407	14.205%	49.514	7.544%	0.04374	0.997
CPCT02060015T	2172	0.999	271.138	12.483%	53.893	5.549%	0.03687	0.998
CPCT02010397T	2297	0.999	293.817	12.791%	56.665	5.367%	0.03011	0.999
CPCT02040040T	2011	0.999	223.183	11.098%	39.185	4.477%	0.031	0.999
CPCT02110008T	2177	0.995	386.333	17.746%	81.413	9.681%	0.04999	0.995
CPCT02050057T	2573	0.999	251.327	9.768%	46.33	3.6%	0.02536	0.999
CPCT02050061T	1196	0.998	177.556	14.846%	31.08	6.272%	0.04186	0.998
CPCT02110011T	1473	0.999	161.171	10.942%	25.219	3.508%	0.03813	0.999
CPCT02020383T	1649	0.998	240.407	14.579%	46.649	7.955%	0.03127	0.998
CPCT02010414T	2161	0.997	319.808	14.799%	71.369	8.478%	0.04053	0.997
CPCT02210001T	1970	0.999	180.879	9.182%	35.711	3.824%	0.02731	0.999
CPCT02210003T	2542	0.999	329.561	12.965%	57.817	5.09%	0.03409	0.999
CPCT02330007T	1774	0.998	225.647	12.72%	39.352	5.69%	0.03632	0.998
CPCT02050068T	982	0.967	340.821	34.707%	80.194	25.58%	0.15607	0.962
CPCT02050075T	2561	0.999	288.281	11.257%	47.855	5.155%	0.02486	0.999
CPCT02040058T	2228	0.999	298.978	13.419%	48.612	5.491%	0.03315	0.999
CPCT02330009T	1055	0.999	143.87	13.637%	22.575	4.766%	0.05261	0.999
DRUP01010007T	4286	0.999	524.831	12.245%	112.431	4.954%	0.02997	0.999
DRUP01070001T	105182	1.0	6769.878	6.436%	1733.816	2.462%	0.009	1.0
CPCT02040021TII	2400	0.999	281.752	11.74%	49.753	4.686%	0.02703	0.999
CPCT02340048T	2339	0.998	273.648	11.699%	52.959	6.163%	0.0249	0.998
CPCT02330131T	1289	0.99	305.581	23.707%	56.657	14.311%	0.07199	0.988
CPCT02190027T	1560	0.999	208.059	13.337%	31.811	5.794%	0.03246	0.998
CPCT02050300T	1908	0.998	281.455	14.751%	48.252	6.25%	0.03805	0.998
DRUP01070063T	4150	0.992	858.758	20.693%	170.297	13.127%	0.06793	0.991
CPCT02060160T	2025	0.994	379.036	18.718%	72.17	10.914%	0.04726	0.994
CPCT02030443T	2233	0.986	555.708	24.886%	119.57	17.104%	0.08036	0.984
CPCT02020651T	2537	0.999	227.768	8.978%	37.752	3.496%	0.02372	0.999
DRUP01090009T	1558	0.998	232.38	14.915%	39.823	6.676%	0.04013	0.998
CPCT02070273T	2341	0.999	283.896	12.127%	49.014	5.305%	0.03105	0.998
CPCT02210041T	1795	0.998	283.673	15.804%	49.074	6.661%	0.05065	0.998
CPCT02010750TII	2114	0.998	349.895	16.551%	66.781	7.945%	0.0486	0.998
CPCT02160059T	1583	0.999	198.933	12.567%	35.222	4.653%	0.04131	0.999
DRUP01340003T	3496	0.999	413.649	11.832%	91.563	5.387%	0.02211	0.999
CPCT02080283T	2417	0.998	322.161	13.329%	55.226	6.296%	0.02852	0.998
DRUP01330002T	2573	0.999	240.142	9.333%	42.949	4.413%	0.01774	0.999
CPCT02330078T	2470	0.994	570.644	23.103%	120.174	11.041%	0.07977	0.994
CPCT02010730T	2221	0.998	302.076	13.601%	53.9	6.326%	0.03417	0.998
CPCT02050307T	1644	0.994	326.372	19.852%	64.629	10.949%	0.06683	0.994
DRUP01340004T	3730	0.996	704.876	18.897%	150.76	9.442%	0.0525	0.996
CPCT02120078T	1785	0.959	786.104	44.039%	190.893	29.225%	0.20967	0.955
CPCT02100139T	1632	0.999	180.397	11.054%	30.557	4.094%	0.02966	0.999
CPCT02230077T	2644	0.98	828.928	31.351%	153.782	21.11%	0.08105	0.977
CPCT02230078T	1760	0.999	175.125	9.95%	31.226	4.385%	0.021	0.999
CPCT02010735T	1272	0.999	135.983	10.69%	22.523	3.826%	0.02925	0.999
DRUP01010051TII	2446	0.998	348.144	14.233%	68.297	6.263%	0.04588	0.998
CPCT02440004T	3650	0.999	494.373	13.544%	93.777	5.511%	0.03199	0.999
CPCT02220032T	3496	0.992	630.66	18.039%	139.214	12.797%	0.04245	0.991
CPCT02130031T	2214	0.996	394.251	17.807%	84.116	9.376%	0.04731	0.996
DRUP01020018T	2426	0.998	303.701	12.519%	58.711	6.671%	0.02304	0.998
CPCT02310005T	1973	0.997	256.346	12.993%	47.422	7.552%	0.03104	0.997
CPCT02250005T	37855	1.0	2312.883	6.11%	677.114	2.607%	0.01303	1.0
CPCT02330080T	2240	0.998	280.467	12.521%	50.985	5.575%	0.02834	0.998
CPCT02100144T	2592	0.999	337.236	13.011%	58.787	5.516%	0.02748	0.999
CPCT02330085T	3014	0.999	365.377	12.123%	64.17	5.665%	0.02488	0.999
CPCT02010742T	1490	0.998	214.144	14.372%	37.411	5.924%	0.03981	0.998
DRUP01010123T	196790	1.0	11173.448	5.678%	3224.15	2.513%	0.00561	1.0
DRUP01220007T	2460	0.964	864.428	35.139%	198.957	27.643%	0.18295	0.959
CPCT02300033T	1478	0.988	374.647	25.348%	74.324	15.806%	0.08122	0.986
DRUP01010059T	1609	0.997	308.658	19.183%	58.83	8.624%	0.0591	0.997
DRUP01010070T	1708	0.99	390.506	22.863%	104.908	15.021%	0.09507	0.989
CPCT02160038T	1219	0.999	160.37	13.156%	24.083	5.238%	0.0328	0.999
CPCT02440024T	350	0.973	153.682	43.909%	31.31	23.388%	0.23581	0.971
CPCT02030442T	3228	0.98	858.615	26.599%	213.516	20.582%	0.07783	0.978
CPCT02330089T	2412	0.999	283.459	11.752%	50.26	4.676%	0.03371	0.999
CPCT02210042T	1140	0.996	237.128	20.801%	46.537	10.169%	0.06419	0.996
DRUP01070039T	1120	0.957	413.178	36.891%	98.922	29.401%	0.14229	0.951
CPCT02220067T	2276	0.994	454.72	19.979%	97.529	11.878%	0.0497	0.993
CPCT02340057T	1869	0.998	274.801	14.703%	52.017	6.272%	0.03815	0.998
CPCT02010743T	1699	0.997	310.658	18.285%	59.511	9.19%	0.04345	0.996
CPCT02030454T	1845	0.999	214.793	11.642%	39.055	5.104%	0.02453	0.999
CPCT02320001T	3796	0.999	437.86	11.535%	75.652	5.232%	0.02407	0.999
CPCT02390017T	2033	0.998	276.823	13.616%	44.263	5.846%	0.03239	0.998
CPCT02370012T	3897	0.981	1066.443	27.366%	267.52	20.3%	0.1163	0.978
CPCT02240007TII	1720	0.996	291.123	16.926%	61.427	9.191%	0.04881	0.996
CPCT02010747T	1353	0.998	210.97	15.593%	39.651	6.225%	0.04725	0.998
CPCT02010750T	1733	0.999	173.968	10.039%	28.222	3.603%	0.02995	0.999
CPCT02330092T	863	0.994	180.94	20.966%	33.192	11.163%	0.07118	0.993
DRUP01340017T	195073	1.0	13959.745	7.156%	4641.634	3.538%	0.0084	1.0
CPCT02060259T	2283	0.999	276.517	12.112%	51.252	5.292%	0.03277	0.999
CPCT02080197T	2072	0.999	236.699	11.424%	41.23	4.795%	0.03073	0.999
CPCT02110059T	1576	0.996	313.72	19.906%	66.224	9.537%	0.06121	0.996
CPCT02220076T	1457	0.999	203.349	13.957%	33.311	5.049%	0.03919	0.999
