Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP117956	127	0.911	67.461	53.119%	10.873	43.216%	0.34462	0.875
SP117975	88	0.924	58.598	66.589%	10.573	44.442%	0.55072	0.912
SP2149	608	0.989	142.332	23.41%	29.285	18.722%	0.11996	0.988
SP117113	209	0.979	186.349	89.162%	87.735	84.876%	3.92227	0.983
SP117245	159	0.933	73.024	45.927%	12.525	37.476%	0.25239	0.91
SP117402	120	0.956	50.537	42.114%	8.396	29.501%	0.33274	0.944
SP117136	152	0.973	106.85	70.296%	30.347	53.579%	0.99584	0.976
SP117378	141	0.956	72.011	51.072%	12.949	33.224%	0.35978	0.949
SP116947	154	0.923	99.69	64.734%	18.101	51.951%	0.4552	0.913
SP117369	157	0.925	103.039	65.63%	22.818	42.615%	0.91599	0.918
SP117244	104	0.977	76.541	73.597%	26.151	58.417%	1.44934	0.98
SP117162	126	0.935	70.837	56.22%	11.64	41.361%	0.63089	0.921
SP117079	128	0.918	74.611	58.29%	13.199	41.328%	0.45608	0.899
SP117344	576	0.981	209.943	36.448%	49.22	33.043%	0.14778	0.982
SP118074	480	0.983	344.799	71.833%	123.795	66.067%	1.78986	0.988
SP117598	541	0.935	238.247	44.038%	44.174	37.583%	0.20788	0.914
SP117312	120	0.936	75.969	63.308%	16.253	48.222%	1.26935	0.931
SP118038	140	0.968	114.395	81.711%	37.309	71.537%	1.30926	0.973
SP117552	91	0.933	66.797	73.403%	14.021	54.868%	1.63098	0.931
SP118073	152	0.968	76.98	50.645%	14.139	29.279%	0.33827	0.965
SP117933	84	0.918	57.05	67.917%	10.163	43.414%	0.55288	0.905
SP118012	153	0.888	96.859	63.307%	19.248	57.489%	0.71789	0.865
SP117108	124	0.951	92.565	74.649%	21.464	49.346%	0.58025	0.951
SP117812	109	0.937	62.471	57.313%	11.857	47.657%	0.45405	0.929
SP117354	242	0.952	161.283	66.646%	35.099	57.179%	0.60689	0.956
SP117370	144	0.953	161.245	111.976%	77.894	141.978%	4.74748	0.966
SP116991	173	0.966	97.507	56.362%	18.455	40.691%	0.36844	0.966
SP117629	606	0.977	226.272	37.339%	55.685	33.245%	0.16982	0.977
SP124199	186	0.964	113.396	60.966%	25.619	42.382%	0.4555	0.964
SP124195	192	0.961	212.411	110.631%	97.581	123.215%	6.01153	0.97
SP117850	126	0.959	64.148	50.911%	11.062	35.372%	0.35332	0.954
SP117127	137	0.955	139.971	102.169%	56.353	118.618%	2.81585	0.968
SP117614	179	0.925	95.138	53.15%	16.236	46.695%	0.3554	0.906
SP116948	292	0.968	187.533	64.224%	46.707	45.499%	0.40333	0.969
SP117409	728	0.979	224.981	30.904%	41.78	23.412%	0.12189	0.975
SP117593	147	0.928	92.635	63.017%	16.796	47.038%	0.39549	0.918
SP117372	143	0.9	116.687	81.599%	25.053	71.29%	1.23726	0.896
SP118077	168	0.948	75.629	45.017%	12.261	33.696%	0.24061	0.932
SP117840	201	0.966	131.485	65.415%	31.769	41.448%	0.54296	0.966
SP117363	504	0.982	160.31	31.808%	30.585	25.981%	0.17609	0.981
SP117887	901	0.972	375.227	41.646%	95.428	41.139%	0.16552	0.975
SP116946	191	0.925	112.798	59.057%	21.987	45.404%	0.46501	0.913
SP117901	364	0.983	105.848	29.079%	20.534	22.594%	0.15327	0.981
SP117454	158	0.944	97.875	61.946%	20.507	48.634%	0.66358	0.941
SP124197	1095	0.965	393.232	35.912%	89.969	32.716%	0.16337	0.961
SP117919	886	0.96	382.069	43.123%	97.607	39.642%	0.19311	0.958
SP117250	153	0.934	134.199	87.712%	34.731	74.712%	1.43581	0.938
SP117983	213	0.968	150.757	70.778%	42.741	57.029%	0.57401	0.972
SP117676	84	0.894	54.387	64.746%	9.254	48.638%	0.50431	0.865
SP117011	186	0.927	142.669	76.704%	29.879	61.662%	0.65774	0.926
SP117057	100	0.938	74.851	74.851%	19.092	68.186%	1.18267	0.941
SP117126	194	0.981	76.595	39.482%	13.854	24.692%	0.20512	0.979
SP117728	159	0.983	77.966	49.035%	16.877	27.225%	0.29441	0.983
SP117618	101	0.961	98.076	97.105%	37.738	95.516%	3.24305	0.969
SP117257	90	0.9	60.725	67.472%	11.328	49.772%	0.76013	0.882
SP116963	101	0.918	83.127	82.304%	18.778	66.432%	0.96862	0.917
SP117078	321	0.975	198.498	61.837%	51.415	42.506%	0.37765	0.976
SP117944	472	0.967	167.948	35.582%	38.279	33.383%	0.1929	0.964
SP117639	389	0.954	223.381	57.424%	42.948	45.651%	0.36141	0.953
SP117834	261	0.957	120.613	46.212%	22.697	35.865%	0.27033	0.952
SP117105	225	0.962	177.017	78.674%	51.162	74.477%	0.69845	0.971
SP117785	152	0.793	112.547	74.044%	20.571	72.013%	0.59711	0.714
SP117882	108	0.954	89.334	82.717%	23.35	62.495%	1.29534	0.956
SP117778	304	0.976	131.537	43.269%	23.747	28.65%	0.29251	0.974
SP117032	166	0.954	106.07	63.898%	20.511	41.955%	0.46183	0.951
SP117710	407	0.964	127.962	31.44%	21.62	27.202%	0.14602	0.947
SP117538	1126	0.988	245.434	21.797%	50.51	16.805%	0.06651	0.986
SP124207	849	0.993	413.064	48.653%	141.637	37.106%	1.21817	0.994
SP117800	172	0.976	75.184	43.712%	15.953	31.481%	0.32685	0.975
SP117724	214	0.974	103.604	48.413%	20.561	30.1%	0.31176	0.973
SP124193	82	0.91	54.504	66.468%	10.248	50.488%	0.67594	0.895
SP2293	333	0.899	253.457	76.113%	55.225	51.693%	1.38563	0.889
SP2357	528	0.981	155.472	29.445%	28.584	22.979%	0.11853	0.979
SP2144	381	0.984	104.348	27.388%	22.878	20.249%	0.1298	0.983
SP2145	779	0.977	248.936	31.956%	62.011	27.838%	0.13908	0.975
SP2147	1196	0.992	213.334	17.837%	42.087	12.825%	0.06026	0.991
SP2146	316	0.964	144.031	45.579%	32.629	38.48%	0.20954	0.962
SP2148	325	0.961	129.6	39.877%	29.094	30.618%	0.19838	0.956
SP2150	141	0.929	88.847	63.012%	15.613	43.42%	0.61859	0.918
SP2152	103	0.977	56.566	54.918%	11.915	27.342%	0.79382	0.977
SP2349	314	0.973	130.015	41.406%	24.945	32.06%	0.2263	0.972
SP2155	790	0.953	354.7	44.899%	72.542	36.831%	0.21346	0.946
SP2154	1218	0.982	368.638	30.266%	73.808	23.842%	0.09942	0.98
SP2158	249	0.966	236.29	94.896%	87.968	95.185%	2.08257	0.974
SP2156	92	0.901	56.872	61.817%	9.916	44.435%	0.48398	0.876
SP2159	160	0.939	117.248	73.28%	26.519	59.18%	1.40324	0.939
SP2153	703	0.989	387.039	55.055%	118.934	41.723%	0.77783	0.992
SP2160	174	0.956	104.561	60.093%	23.124	46.453%	0.4509	0.956
SP2151	89	0.924	62.734	70.488%	12.9	58.697%	0.68775	0.921
SP116341	590	0.975	214.378	36.335%	44.212	27.623%	0.17073	0.973
SP116331	422	0.978	356.152	84.396%	146.564	81.672%	2.45792	0.984
SP116351	265	0.957	152.856	57.682%	31.574	46.508%	0.68143	0.957
SP116371	496	0.959	232.577	46.891%	42.947	34.579%	0.28237	0.954
SP116361	387	0.967	153.691	39.713%	35.655	32.14%	0.19017	0.964
SP116343	406	0.944	328.446	80.898%	93.261	86.621%	1.23688	0.956
SP116333	363	0.974	178.566	49.192%	36.874	37.858%	0.33981	0.975
SP116373	583	0.968	198.061	33.973%	47.098	30.42%	0.16023	0.964
SP116363	311	0.976	106.471	34.235%	25.129	27.933%	0.15579	0.975
SP116353	844	0.988	401.89	47.617%	99.129	31.474%	0.27795	0.989
SP116345	313	0.98	168.385	53.797%	40.028	34.87%	0.50706	0.981
SP116365	668	0.992	131.037	19.616%	30.173	14.044%	0.07561	0.991
SP116375	497	0.977	313.045	62.987%	91.08	56.473%	0.93133	0.982
SP116335	509	0.981	123.46	24.255%	22.842	19.395%	0.09871	0.975
SP116355	373	0.977	107.457	28.809%	23.265	22.299%	0.13187	0.973
