Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP127630	1208	0.999	133.55	11.055%	21.619	3.641%	0.03963	0.999
SP127634	1449	0.997	190.764	13.165%	33.375	8.347%	0.03282	0.996
SP127636	1238	0.999	125.716	10.155%	20.042	3.6%	0.03029	0.999
SP127628	630	0.999	78.033	12.386%	13.989	4.635%	0.07402	0.999
SP127640	1164	0.999	130.504	11.212%	21.33	3.862%	0.03582	0.999
SP127638	1656	1.0	196.273	11.852%	34.996	4.093%	0.03363	1.0
SP127632	2106	1.0	203.669	9.671%	30.993	3.198%	0.024	1.0
SP59388	369	0.998	75.25	20.393%	11.532	6.639%	0.09032	0.998
SP116649	1020	0.999	124.109	12.168%	22.045	4.747%	0.04054	0.999
SP59416	490	0.997	101.398	20.693%	16.908	7.695%	0.09621	0.997
SP124977	802	0.999	106.791	13.316%	16.461	4.185%	0.05566	0.999
SP59356	405	0.998	64.853	16.013%	10.022	6.325%	0.07558	0.998
SP116612	868	0.999	107.187	12.349%	18.855	5.041%	0.03312	0.999
SP116659	869	0.998	139.885	16.097%	21.803	6.102%	0.05803	0.998
SP116668	1773	0.999	267.074	15.063%	50.378	7.079%	0.04505	0.999
SP116630	1516	1.0	165.118	10.892%	38.398	4.574%	0.03438	1.0
SP59412	1068	0.999	111.217	10.414%	17.73	3.721%	0.03798	0.999
SP116686	370	0.994	88.943	24.039%	15.973	11.909%	0.0987	0.994
SP116694	935	0.999	139.597	14.93%	26.088	6.422%	0.03761	0.999
SP116712	117	0.99	42.014	35.909%	6.693	13.899%	0.28117	0.99
SP116726	1059	0.999	123.489	11.661%	18.661	4.044%	0.0375	0.999
SP116723	249	0.993	62.255	25.002%	10.427	12.102%	0.12137	0.992
SP59276	178	0.994	58.315	32.761%	10.164	12.667%	0.17736	0.994
SP116703	226	0.994	59.554	26.351%	10.222	12.446%	0.14282	0.994
SP59312	1283	0.999	143.307	11.17%	24.071	3.878%	0.02981	0.999
SP116701	827	0.999	125.04	15.12%	18.886	5.677%	0.04852	0.999
SP59296	261	0.997	60.462	23.166%	10.616	8.242%	0.1431	0.997
SP59280	482	0.999	81.939	17.0%	12.604	5.453%	0.08923	0.999
SP59344	215	0.998	43.791	20.368%	6.759	7.253%	0.11365	0.998
SP59460	820	0.998	123.072	15.009%	22.53	6.066%	0.04593	0.998
SP59404	275	0.998	63.218	22.988%	9.891	7.029%	0.15883	0.998
SP116709	439	0.997	83.224	18.958%	13.66	8.021%	0.07838	0.997
SP59448	3358	1.0	228.376	6.801%	36.475	2.12%	0.01698	1.0
SP116614	1285	0.999	144.929	11.279%	25.305	4.158%	0.03261	0.999
SP59464	286	0.996	62.162	21.735%	9.669	8.776%	0.10804	0.996
SP59364	597	0.994	121.198	20.301%	23.508	11.423%	0.06521	0.994
SP116663	1900	1.0	129.358	6.808%	21.055	2.223%	0.01569	1.0
SP59444	277	0.992	71.513	25.817%	11.52	13.224%	0.12408	0.99
SP116690	1823	0.999	170.099	9.331%	30.348	3.756%	0.02371	0.999
SP59270	165	0.996	42.774	25.924%	6.599	9.317%	0.16663	0.995
SP59352	644	0.998	86.207	13.386%	13.54	5.53%	0.06962	0.998
SP116652	185	0.994	50.261	27.168%	9.882	11.323%	0.1599	0.993
SP116715	3442	1.0	271.566	7.89%	45.789	2.647%	0.01748	1.0
SP116718	584	0.997	103.719	17.76%	18.005	7.837%	0.06422	0.997
SP116720	250	0.996	49.41	19.764%	8.873	9.832%	0.0786	0.996
SP59284	460	0.999	75.065	16.318%	13.097	5.277%	0.08312	0.999
SP116618	381	0.996	73.514	19.295%	11.906	8.802%	0.08528	0.996
SP59436	61	0.946	31.903	52.3%	5.507	32.507%	0.41931	0.936
SP116645	1314	0.999	177.864	13.536%	32.377	5.183%	0.04043	0.999
SP59320	328	0.985	103.611	31.589%	21.546	17.518%	0.15242	0.984
SP116672	123	0.984	46.904	38.133%	7.779	18.422%	0.24007	0.982
SP116635	402	0.998	73.75	18.346%	12.189	7.733%	0.06322	0.998
SP59328	274	0.998	43.706	15.951%	6.912	5.633%	0.08615	0.998
SP116627	267	0.996	59.678	22.351%	9.204	8.908%	0.12463	0.996
SP116725	156	0.996	42.793	27.431%	7.253	9.899%	0.17083	0.996
SP59292	280	0.994	72.52	25.9%	11.605	11.223%	0.12945	0.993
SP116683	667	0.998	92.455	13.861%	15.251	6.024%	0.04583	0.998
SP59372	144	0.976	48.142	33.432%	7.982	22.328%	0.1799	0.97
