Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP85623	68	0.875	43.592	64.106%	7.38	48.875%	0.36565	0.834
SP85491	98	0.875	60.665	61.903%	10.966	49.14%	0.36576	0.838
SP87582	63	0.838	44.373	70.433%	7.055	55.601%	0.50357	0.765
SP89090	72	0.868	49.582	68.864%	8.693	49.858%	0.49499	0.831
SP85511	157	0.915	71.472	45.524%	12.307	40.686%	0.22478	0.873
SP85952	55	0.792	47.44	86.255%	8.12	61.034%	0.68939	0.729
SP85840	92	0.921	46.519	50.564%	7.297	39.116%	0.2642	0.886
SP87675	67	0.909	36.308	54.191%	6.696	42.434%	0.34859	0.883
SP85836	155	0.909	74.248	47.902%	13.237	41.755%	0.26606	0.869
SP120767	138	0.931	56.332	40.82%	9.734	36.634%	0.19304	0.895
SP105708	96	0.933	44.213	46.055%	7.056	36.197%	0.30997	0.904
SP85818	2	0.299	3.773	188.65%	1.921	96.05%	2.87108	0.291
SP105922	61	0.854	42.107	69.028%	7.481	52.506%	0.44294	0.81
SP86118	94	0.863	55.418	58.955%	10.306	50.529%	0.35947	0.812
SP86306	159	0.937	78.312	49.253%	14.344	35.111%	0.31214	0.923
SP87099	103	0.91	58.533	56.828%	10.448	42.761%	0.36736	0.888
SP87434	70	0.877	45.4	64.857%	7.719	48.433%	0.48443	0.837
SP85864	24	0.671	26.9	112.083%	5.648	74.162%	1.14555	0.613
SP105807	104	0.848	60.219	57.903%	10.821	55.221%	0.33121	0.769
SP89291	52	0.796	41.012	78.869%	7.041	60.825%	0.60217	0.72
SP88050	42	0.809	38.272	91.124%	7.156	58.822%	0.78685	0.772
SP88593	72	0.836	51.779	71.915%	9.262	55.154%	0.48122	0.786
SP88158	29	0.754	26.216	90.4%	4.883	65.842%	0.73632	0.687
SP87534	185	0.966	72.854	39.381%	11.354	25.878%	0.22582	0.956
SP88776	103	0.871	57.944	56.256%	10.428	49.104%	0.33558	0.815
SP85725	84	0.818	60.965	72.577%	11.361	57.529%	0.49665	0.76
SP86660	162	0.965	62.204	38.398%	9.645	27.001%	0.18148	0.954
SP87903	48	0.82	36.348	75.725%	6.271	57.246%	0.61162	0.758
SP88098	121	0.905	70.762	58.481%	12.9	42.646%	0.39219	0.881
SP85487	241	0.981	77.902	32.324%	12.609	19.191%	0.15443	0.978
SP105759	60	0.87	36.913	61.522%	6.195	49.285%	0.44481	0.816
SP86775	20	0.601	25.58	127.9%	4.531	80.098%	1.33677	0.499
SP88322	93	0.881	53.672	57.712%	10.283	47.281%	0.35364	0.845
SP85582	87	0.892	50.939	58.551%	8.251	45.215%	0.37005	0.848
SP87446	201	0.971	70.832	35.24%	11.243	24.063%	0.16881	0.963
SP87337	40	0.737	35.907	89.767%	6.089	68.077%	0.76835	0.634
SP86929	157	0.956	65.117	41.476%	10.734	29.489%	0.21129	0.943
SP86130	73	0.851	48.424	66.334%	8.64	52.679%	0.46465	0.798
SP86425	136	0.832	79.798	58.675%	16.831	55.49%	0.35889	0.771
SP85495	29	0.682	29.587	102.024%	6.092	73.339%	0.90723	0.612
SP85787	41	0.727	40.898	99.751%	8.457	69.282%	0.95109	0.677
SP86836	16	0.344	26.864	167.9%	9.681	94.03%	2.497	0.305
SP89245	32	0.779	27.006	84.394%	4.62	62.87%	0.69609	0.702
SP86989	151	0.942	62.63	41.477%	10.483	34.029%	0.18095	0.918
SP88757	59	0.75	46.466	78.756%	7.975	68.135%	0.60489	0.627
SP85733	99	0.868	58.25	58.838%	9.848	49.677%	0.34644	0.805
SP85737	25	0.673	26.549	106.196%	4.851	73.977%	0.909	0.581
SP85647	67	0.89	40.409	60.312%	6.894	46.166%	0.40143	0.854
CPCT02011098T	188	0.956	94.816	50.434%	15.941	34.142%	0.29989	0.948
WIDE01010618T	1016	0.999	116.341	11.451%	25.574	5.161%	0.01804	0.999
WIDE01010310T	757	0.992	165.298	21.836%	32.768	12.387%	0.08685	0.992
CPCT02080230T	389	0.988	130.349	33.509%	23.734	18.184%	0.1484	0.988
CPCT02010914T	230	0.963	110.898	48.217%	19.705	28.706%	0.2494	0.958
DRUP01010057T	701	0.993	147.394	21.026%	21.405	12.01%	0.05391	0.991
CPCT02010635T	749	0.982	223.235	29.804%	57.303	25.498%	0.07315	0.984
WIDE01010556T	3926	1.0	140.924	3.59%	40.659	2.481%	0.0023	1.0
WIDE01010540T	511	0.992	125.558	24.571%	21.583	12.845%	0.08953	0.991
