Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP117655	1464	0.997	264.212	18.047%	49.005	8.973%	0.04381	0.997
SP117556	786	0.999	93.27	11.866%	14.533	3.816%	0.03742	0.999
SP117627	457	0.997	92.624	20.268%	15.924	8.581%	0.06659	0.997
SP117775	982	0.998	152.684	15.548%	24.891	6.965%	0.0408	0.998
SP117332	154	0.966	61.242	39.768%	10.427	25.763%	0.21504	0.959
SP117712	527	0.989	134.092	25.444%	22.253	15.136%	0.08028	0.987
SP117017	385	0.997	74.622	19.382%	13.117	7.879%	0.08192	0.997
SP117031	942	0.999	137.757	14.624%	22.089	4.852%	0.05661	0.999
SP117759	1542	0.999	200.98	13.034%	39.445	5.832%	0.03377	0.999
SP117621	867	0.998	134.548	15.519%	21.112	6.51%	0.05997	0.998
SP117425	590	0.995	125.386	21.252%	19.121	10.547%	0.0736	0.994
SP117930	1650	1.0	142.799	8.654%	22.462	2.561%	0.02316	1.0
SP99287	166	0.989	51.222	30.857%	8.463	15.629%	0.16269	0.988
SP99293	314	0.97	93.894	29.903%	17.862	24.407%	0.13746	0.962
SP99289	725	0.993	122.907	16.953%	22.191	12.241%	0.04614	0.991
SP99297	23	0.731	20.603	89.578%	5.092	68.661%	0.87602	0.69
SP99301	1277	0.997	288.296	22.576%	60.039	9.771%	0.0855	0.997
SP99305	265	0.993	60.742	22.922%	9.313	12.281%	0.08627	0.992
SP99309	492	0.996	111.405	22.643%	19.206	9.638%	0.07778	0.996
SP99313	544	0.99	103.446	19.016%	20.029	14.484%	0.05627	0.988
SP99317	37	0.689	33.089	89.43%	7.931	72.703%	0.75142	0.627
SP99321	246	0.99	71.255	28.965%	12.758	14.473%	0.15428	0.989
SP99325	126072	0.999	16686.108	13.235%	3669.365	4.655%	0.04341	0.999
SP99329	520	0.993	90.462	17.397%	17.657	12.194%	0.05808	0.991
SP99333	250	0.994	66.96	26.784%	11.3	11.308%	0.13556	0.993
SP99337	440	0.998	83.574	18.994%	13.988	6.63%	0.08132	0.998
SP99341	334	0.997	73.408	21.978%	11.987	7.888%	0.09079	0.997
SP99345	55	0.917	31.919	58.035%	5.881	40.108%	0.35833	0.899
SP99113	79	0.854	47.678	60.352%	9.932	52.566%	0.38648	0.812
SP99185	433	0.975	119.926	27.697%	22.204	22.447%	0.09668	0.968
