Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP29914	1477	0.998	205.461	13.911%	32.866	6.574%	0.03313	0.998
SP31046	186	0.99	65.148	35.026%	10.842	14.46%	0.23641	0.989
SP31334	530	0.989	117.775	22.222%	19.201	15.091%	0.0764	0.986
SP30011	706	0.989	190.836	27.031%	33.192	16.564%	0.08228	0.988
SP31174	492	0.992	142.254	28.913%	22.897	13.523%	0.13067	0.991
SP32662	739	0.997	114.409	15.482%	18.473	7.593%	0.04678	0.997
SP31126	1552	0.989	288.103	18.563%	52.04	15.248%	0.04675	0.985
SP32958	556	0.999	98.327	17.685%	17.206	6.188%	0.06057	0.999
SP31422	799	0.995	141.886	17.758%	22.556	10.544%	0.04687	0.994
SP33496	1198	0.996	225.866	18.854%	41.97	9.403%	0.07279	0.996
SP34005	259	0.992	71.574	27.635%	11.847	12.883%	0.14712	0.991
SP30113	3582	0.998	301.774	8.425%	66.615	7.105%	0.01306	0.997
SP31030	982	0.998	168.407	17.149%	26.04	6.374%	0.05508	0.998
SP33544	1196	0.994	205.392	17.173%	34.581	11.17%	0.04815	0.993
SP33688	1345	0.949	504.074	37.478%	118.202	31.571%	0.1411	0.94
SP30907	737	0.988	143.431	19.461%	24.893	15.199%	0.05349	0.985
SP30185	103	0.952	55.7	54.078%	9.082	30.598%	0.42378	0.944
SP33837	237	0.983	87.411	36.882%	14.136	19.526%	0.17821	0.98
SP31790	476	0.994	106.473	22.368%	17.697	11.405%	0.0906	0.993
SP30143	324	0.995	75.955	23.443%	11.308	9.899%	0.09406	0.995
SP30071	812	0.996	135.19	16.649%	21.199	9.105%	0.05045	0.995
SP30493	186	0.965	74.779	40.204%	13.374	26.269%	0.21991	0.958
SP32014	428	0.992	142.161	33.215%	26.366	16.192%	0.16809	0.991
SP30332	2375	0.998	251.514	10.59%	46.363	7.891%	0.02179	0.997
SP31814	385	0.991	99.553	25.858%	17.51	13.765%	0.12277	0.99
SP29987	1128	0.995	192.957	17.106%	32.215	10.527%	0.0441	0.994
SP30083	337	0.996	68.11	20.211%	10.717	9.256%	0.08361	0.995
