Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP111062	1067	0.999	126.645	11.869%	19.044	4.241%	0.03844	0.999
SP111006	2549	0.999	226.756	8.896%	36.523	3.626%	0.01649	0.999
SP110846	675	0.996	125.696	18.622%	19.479	9.173%	0.07316	0.996
SP111086	2143	0.999	176.239	8.224%	27.765	3.525%	0.01903	0.999
SP111096	1077	0.999	121.13	11.247%	18.765	3.933%	0.03907	0.999
SP111021	2	0.541	3.262	163.1%	1.223	86.479%	1.69443	0.535
SP111058	2336	0.999	183.871	7.871%	29.656	3.349%	0.01811	0.999
SP111092	2507	0.999	299.809	11.959%	56.385	5.981%	0.02315	0.999
SP111076	1898	1.0	164.734	8.679%	25.158	2.719%	0.02515	1.0
SP111098	1275	0.999	143.177	11.23%	25.862	4.961%	0.03431	0.999
SP111039	253	0.984	69.27	27.379%	11.571	18.082%	0.11431	0.98
SP111052	120	0.953	57.396	47.83%	8.937	30.404%	0.35079	0.941
SP111166	2278	1.0	217.879	9.564%	36.948	3.589%	0.02119	1.0
SP111014	270	0.991	68.311	25.3%	11.785	13.656%	0.12999	0.99
SP111066	2370	0.999	239.656	10.112%	44.194	4.458%	0.02359	0.999
SP111094	1717	0.996	256.804	14.957%	50.978	8.859%	0.03592	0.996
SP111015	603	0.997	107.667	17.855%	17.46	8.457%	0.06675	0.996
SP110853	1397	0.999	151.166	10.821%	23.247	5.229%	0.02457	0.999
SP111051	841	0.998	171.153	20.351%	33.941	10.03%	0.06935	0.998
SP110855	1538	0.999	184.248	11.98%	29.668	5.303%	0.02775	0.999
SP111004	1586	0.999	160.951	10.148%	24.979	3.5%	0.02985	0.999
SP111078	418	0.997	75.669	18.103%	12.201	7.609%	0.08591	0.997
SP110863	930	0.998	124.822	13.422%	21.114	6.75%	0.03983	0.997
SP111013	844	0.997	154.999	18.365%	27.684	8.087%	0.06523	0.997
SP111042	89	0.947	48.972	55.025%	8.893	33.782%	0.33297	0.94
SP111040	584	0.997	102.856	17.612%	17.643	8.32%	0.04931	0.997
SP111031	3259	1.0	256.693	7.876%	47.349	2.905%	0.01646	1.0
SP23496	1021	0.998	144.369	14.14%	23.358	5.985%	0.04446	0.998
SP111030	542	0.994	108.375	19.995%	17.759	11.076%	0.07084	0.993
SP111019	471	0.984	113.435	24.084%	21.521	17.838%	0.09793	0.981
SP111026	1552	0.999	175.264	11.293%	26.91	4.486%	0.02807	0.999
SP110860	1915	1.0	159.765	8.343%	25.571	3.125%	0.01927	0.999
SP110851	1598	0.999	147.609	9.237%	23.122	3.437%	0.02425	0.999
SP111059	1415	0.999	133.373	9.426%	21.087	3.844%	0.02577	0.999
SP111170	2302	0.999	257.087	11.168%	46.718	4.707%	0.02829	0.999
SP111054	1564	0.998	199.492	12.755%	40.802	6.524%	0.03543	0.998
SP111033	1869	1.0	170.429	9.119%	28.719	3.14%	0.02253	1.0
SP111113	3007	0.999	273.324	9.09%	51.852	4.029%	0.01634	0.999
SP110865	3052	0.997	416.557	13.649%	72.256	7.646%	0.02633	0.997
SP111061	1157	0.999	120.378	10.404%	18.237	3.905%	0.03527	0.999
SP111101	2163	0.999	216.417	10.005%	42.03	4.023%	0.02406	0.999
SP110859	1359	0.999	159.136	11.71%	26.078	4.4%	0.03308	0.999
SP111168	524	0.993	122.042	23.29%	21.929	12.891%	0.07329	0.993
SP111067	737	0.998	110.463	14.988%	17.157	5.858%	0.05182	0.998
SP111036	1269	1.0	122.399	9.645%	20.053	3.287%	0.02777	1.0
SP111116	2198	1.0	206.632	9.401%	34.93	3.338%	0.02328	1.0
SP111099	1474	0.999	152.342	10.335%	26.609	4.656%	0.02641	0.999
SP23502	2274	0.999	218.26	9.598%	38.42	4.58%	0.02022	0.999
SP111069	1868	0.999	183.903	9.845%	30.373	3.763%	0.02734	0.999
SP111043	2592	0.999	322.832	12.455%	55.59	5.408%	0.03654	0.999
SP111024	1669	1.0	136.21	8.161%	23.078	3.153%	0.02141	0.999
SP111011	1422	0.998	167.994	11.814%	29.194	6.025%	0.03104	0.998
SP111082	1827	0.999	191.614	10.488%	31.33	4.106%	0.02899	0.999
SP111074	1065	0.999	106.654	10.014%	15.566	4.129%	0.03169	0.999
SP110845	1167	0.999	127.223	10.902%	19.78	4.35%	0.03144	0.999
SP110857	1129	1.0	112.79	9.99%	16.945	3.273%	0.03562	1.0
SP111017	1610	0.999	164.212	10.2%	25.695	3.612%	0.03223	0.999
SP111080	344	0.991	90.806	26.397%	15.558	13.701%	0.11557	0.99
SP23506	617	0.997	108.251	17.545%	17.74	8.009%	0.04852	0.996
SP111075	1291	0.999	148.216	11.481%	22.887	4.382%	0.03251	0.999
SP111112	1264	0.999	148.003	11.709%	22.549	4.245%	0.03056	0.999
SP111001	2639	0.999	295.778	11.208%	48.208	4.538%	0.02579	0.999
SP111027	279	0.99	75.596	27.095%	11.885	13.86%	0.12891	0.989
SP111117	1970	1.0	186.787	9.482%	30.42	3.204%	0.02083	1.0
SP110842	2105	1.0	210.254	9.988%	32.968	3.586%	0.02302	0.999
SP111173	2200	0.999	189.525	8.615%	33.299	3.544%	0.02153	0.999
SP111008	1517	0.999	213.508	14.074%	38.897	5.697%	0.03725	0.999
SP111070	1820	0.999	199.184	10.944%	33.816	4.089%	0.02731	0.999
SP110847	1726	1.0	179.546	10.402%	34.872	3.808%	0.03005	1.0
SP111077	2050	0.999	212.279	10.355%	34.514	4.438%	0.02386	0.999
