Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP29914	1477	0.998	201.09	13.615%	31.92	6.385%	0.03276	0.998
SP31046	186	0.992	65.161	35.033%	10.42	13.897%	0.20599	0.991
SP31334	530	0.993	93.927	17.722%	15.269	12.001%	0.06522	0.991
SP30011	706	0.994	134.254	19.016%	24.108	12.031%	0.05496	0.993
SP31174	492	0.994	114.791	23.332%	18.857	11.137%	0.08151	0.993
SP32662	739	0.998	109.68	14.842%	16.541	6.798%	0.04442	0.998
SP31126	1552	0.997	170.97	11.016%	27.061	7.929%	0.02039	0.996
SP32958	556	0.999	98.854	17.779%	17.437	6.271%	0.05712	0.999
SP31422	799	0.996	135.673	16.98%	21.088	9.858%	0.04326	0.995
SP33496	1198	0.999	171.316	14.3%	27.201	6.094%	0.04165	0.999
SP34005	259	0.994	65.074	25.125%	10.159	11.047%	0.13191	0.993
SP30113	3582	0.999	223.832	6.249%	47.758	5.094%	0.00651	0.998
SP31030	982	0.999	127.838	13.018%	18.981	4.646%	0.04867	0.999
SP33544	1196	0.994	199.154	16.652%	34.344	11.093%	0.04481	0.993
SP33688	1345	0.999	105.364	7.834%	19.498	5.208%	0.01728	0.999
SP30907	737	0.996	103.106	13.99%	15.384	9.393%	0.03591	0.994
SP30185	103	0.962	50.671	49.195%	8.231	27.731%	0.40028	0.955
SP33837	237	0.986	77.748	32.805%	12.219	16.878%	0.14996	0.984
SP31790	476	0.995	105.952	22.259%	16.642	10.725%	0.08897	0.994
SP30143	324	0.996	63.577	19.623%	10.296	9.013%	0.08676	0.995
SP30071	812	0.997	114.293	14.075%	17.269	7.417%	0.03901	0.997
SP30493	186	0.98	65.476	35.202%	10.153	19.942%	0.17742	0.976
SP32014	428	0.994	112.99	26.4%	17.941	11.018%	0.12546	0.994
SP30332	2375	0.999	148.46	6.251%	25.539	4.346%	0.01023	0.999
SP31814	385	0.993	90.257	23.443%	14.671	11.533%	0.10808	0.993
SP29987	1128	0.998	120.08	10.645%	19.041	6.222%	0.02744	0.998
SP30083	337	0.997	65.729	19.504%	10.557	9.118%	0.08097	0.997
SP32742	543	0.995	123.754	22.791%	19.619	9.712%	0.09084	0.995
SP115162	204	0.989	56.649	27.769%	9.108	15.018%	0.14866	0.987
SP29940	383	0.997	78.343	20.455%	11.805	8.308%	0.10123	0.996
SP30843	170	0.994	48.481	28.518%	7.422	11.53%	0.16814	0.993
SP32222	5	0.238	8.303	166.06%	2.673	101.03%	4.10436	0.173
SP31190	703	0.996	122.198	17.382%	20.712	9.367%	0.06193	0.995
SP30077	1089	0.996	165.718	15.217%	28.192	9.51%	0.03517	0.995
SP32694	818	0.997	111.345	13.612%	19.034	7.65%	0.03771	0.997
SP33774	297	0.993	81.557	27.46%	13.669	12.505%	0.11955	0.992
SP30093	441	0.997	86.515	19.618%	13.404	7.853%	0.07672	0.997
SP33094	646	0.996	123.875	19.176%	21.41	10.02%	0.05748	0.996
SP30803	644	0.991	140.489	21.815%	23.539	14.776%	0.05937	0.989
SP30675	2514	0.998	206.656	8.22%	40.375	6.353%	0.01321	0.998
SP31854	1471	0.997	204.994	13.936%	33.507	8.224%	0.02926	0.996
