Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP99325	126072	1.0	4252.111	3.373%	841.342	1.067%	0.00678	1.0
SP18310	133982	1.0	5539.492	4.135%	1341.564	1.467%	0.00594	1.0
SP17172	39880	1.0	2609.425	6.543%	961.529	3.349%	0.01026	1.0
SP96133	77388	1.0	2373.398	3.067%	543.744	1.032%	0.00356	1.0
SP110242	124495	1.0	4059.156	3.26%	936.779	1.178%	0.00408	1.0
SP21017	112379	1.0	3750.956	3.338%	920.446	1.217%	0.00526	1.0
SP22383	79288	1.0	1791.562	2.26%	361.465	0.658%	0.00252	1.0
SP81312	11589	0.999	2388.083	20.606%	582.082	8.813%	0.0726	0.999
SP19215	73731	1.0	2552.204	3.462%	639.316	1.286%	0.0059	1.0
SP16886	7663	0.997	2082.652	27.178%	523.454	10.999%	0.12264	0.997
SP17905	25666	0.994	5471.977	21.32%	1343.608	11.158%	0.0942	0.994
SP18121	100030	1.0	4693.812	4.692%	1148.043	1.829%	0.00687	1.0
SP96118	9465	0.999	1184.393	12.513%	327.865	6.177%	0.02708	0.999
SP21400	10551	0.999	1889.82	17.911%	495.738	7.345%	0.06355	0.999
SP18946	16801	0.999	1976.534	11.764%	426.837	4.734%	0.03233	0.999
SP80615	19339	0.996	4857.398	25.117%	1171.133	11.126%	0.10631	0.996
SP102897	13474	1.0	1240.996	9.21%	221.178	3.077%	0.02387	1.0
SP98845	9214	1.0	805.685	8.744%	153.64	2.796%	0.02302	1.0
SP107012	29773	1.0	1597.942	5.367%	345.981	1.904%	0.01265	1.0
SP55142	5828	0.98	1383.541	23.74%	285.574	20.23%	0.07422	0.975
SP53810	5442	0.99	1013.762	18.628%	252.348	15.873%	0.04232	0.99
SP116697	9384	0.997	1992.271	21.231%	388.744	8.581%	0.08746	0.997
SP102133	20099	0.999	2296.769	11.427%	594.569	4.609%	0.02864	0.999
SP125732	7743	1.0	533.87	6.895%	123.252	2.404%	0.02135	1.0
SP125746	47457	1.0	1389.664	2.928%	369.848	1.206%	0.00273	1.0
SP125770	21732	0.999	2804.358	12.904%	622.19	5.315%	0.05837	0.999
SP77956	5473	0.333	7892.204	144.203%	2114.98	99.013%	1.6231	0.242
SP124384	22000	1.0	1714.444	7.793%	351.601	2.688%	0.01779	1.0
SP135287	64279	1.0	1496.495	2.328%	301.72	0.677%	0.00409	1.0
SP85122	100440	1.0	3530.015	3.515%	890.922	1.308%	0.00419	1.0
