Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP124389	423	0.995	89.442	21.145%	14.065	11.12%	0.11455	0.995
SP124362	1026	0.996	206.085	20.086%	36.319	11.638%	0.06662	0.995
SP124394	605	0.985	159.735	26.402%	28.989	18.509%	0.12914	0.983
SP124334	548	0.988	138.701	25.31%	25.792	16.509%	0.13094	0.986
SP124339	129	0.971	51.174	39.67%	7.34	23.877%	0.2985	0.963
SP124454	460	0.991	113.274	24.625%	19.651	16.515%	0.15579	0.99
SP124380	746	0.989	176.712	23.688%	32.471	15.538%	0.08908	0.988
SP124273	491	0.997	121.261	24.697%	23.311	10.745%	0.17	0.997
SP124357	313	0.985	91.052	29.09%	13.517	17.659%	0.14351	0.981
SP124399	994	0.995	140.551	14.14%	26.422	9.938%	0.03746	0.994
SP124311	1015	0.993	190.548	18.773%	35.296	12.803%	0.05972	0.992
SP124355	223	0.987	73.894	33.136%	10.723	16.26%	0.2162	0.985
SP124434	642	0.994	93.081	14.499%	17.849	10.649%	0.04775	0.993
SP124428	1718	0.996	225.58	13.13%	41.627	9.206%	0.0361	0.995
SP124449	781	0.997	117.387	15.03%	17.672	8.026%	0.04894	0.996
SP124298	2107	0.995	368.628	17.495%	65.047	12.348%	0.05696	0.994
SP124431	696	0.989	159.578	22.928%	29.657	17.219%	0.08167	0.987
SP124396	669	0.993	171.528	25.639%	29.891	16.325%	0.12016	0.992
SP124409	1154	0.996	171.694	14.878%	28.203	8.955%	0.04449	0.995
SP124341	363	0.97	127.916	35.239%	23.954	25.051%	0.1648	0.964
SP124353	140	0.95	66.508	47.506%	11.28	31.358%	0.30521	0.938
SP124278	340	0.995	103.454	30.428%	18.657	13.044%	0.20635	0.995
SP124376	521	0.989	127.291	24.432%	20.514	16.943%	0.1291	0.986
SP124346	545	0.997	105.091	19.283%	17.971	8.755%	0.07959	0.996
SP124439	1222	0.997	157.774	12.911%	28.163	7.264%	0.03854	0.997
SP124351	135	0.962	63.606	47.116%	11.381	30.341%	0.37301	0.956
SP124406	728	0.992	137.226	18.85%	21.46	12.956%	0.07908	0.989
SP124323	221	0.99	74.855	33.871%	13.029	18.314%	0.16916	0.989
SP124391	322	0.98	108.5	33.696%	18.283	21.193%	0.22865	0.976
SP124423	79	0.973	31.314	39.638%	6.137	23.727%	0.25865	0.97
SP124382	3153	0.997	406.14	12.881%	72.641	7.85%	0.0485	0.997
SP124415	2234	0.994	346.236	15.498%	65.052	10.967%	0.03363	0.993
SP124436	2284	0.998	224.981	9.85%	38.372	6.138%	0.02168	0.998
SP124460	1024	0.996	188.235	18.382%	32.377	10.79%	0.07706	0.995
SP124425	415	0.988	108.477	26.139%	20.431	18.833%	0.1125	0.986
SP124456	444	0.976	129.474	29.161%	24.106	22.932%	0.15149	0.971
SP124367	756	0.994	135.446	17.916%	22.413	10.953%	0.07852	0.993
SP124281	182	0.989	64.924	35.673%	10.706	14.916%	0.33759	0.988
SP124377	558	0.993	92.881	16.645%	16.902	11.916%	0.07326	0.991
SP124412	467	0.989	126.437	27.074%	23.938	17.087%	0.2032	0.987
SP124333	386	0.99	67.568	17.505%	12.246	14.323%	0.06648	0.986
SP124359	417	0.991	120.971	29.01%	19.756	14.569%	0.16554	0.991
SP124286	111	0.971	53.568	48.259%	9.537	25.229%	0.42595	0.968
SP124329	218	0.992	48.969	22.463%	8.136	13.223%	0.11417	0.991
SP124326	498	0.99	120.763	24.25%	18.995	15.053%	0.10718	0.988
SP124458	1128	0.995	172.621	15.303%	30.33	11.112%	0.05558	0.994
SP124401	2721	0.998	308.207	11.327%	53.526	6.706%	0.03742	0.998
SP124264	549	0.952	236.174	43.019%	45.098	30.742%	0.22066	0.942
SP124384	22000	0.999	3257.369	14.806%	1122.527	8.583%	0.06497	0.999
SP124403	155	0.947	69.278	44.695%	11.466	33.393%	0.24268	0.931
SP124462	964	0.993	169.846	17.619%	29.617	12.736%	0.0626	0.991
SP124271	884	0.992	230.531	26.078%	40.577	13.356%	0.11424	0.991
SP124336	454	0.996	114.254	25.166%	21.363	11.782%	0.17442	0.996
SP124452	649	0.993	120.618	18.585%	20.804	11.947%	0.13093	0.992
SP124386	872	0.992	192.645	22.092%	31.616	14.218%	0.08696	0.99
SP124441	539	0.984	157.776	29.272%	27.348	17.843%	0.15201	0.981
SP124418	628	0.995	103.386	16.463%	17.98	9.812%	0.05234	0.994
SP124291	301	0.99	102.11	33.924%	17.23	16.346%	0.19081	0.989
SP124319	657	0.994	166.026	25.27%	30.668	13.797%	0.10366	0.994
SP124305	455	0.99	100.108	22.002%	18.108	14.936%	0.09501	0.988
SP124447	3892	0.995	493.661	12.684%	97.051	10.376%	0.03569	0.993
SP124344	225	0.977	79.046	35.132%	12.897	22.05%	0.16217	0.972
SP124369	903	0.991	167.531	18.553%	30.157	13.814%	0.07084	0.988
SP124348	213	0.954	101.236	47.529%	19.888	30.604%	0.26438	0.947
SP124295	580	0.986	181.1	31.224%	31.823	16.956%	0.14055	0.984
SP124444	389	0.994	104.532	26.872%	18.383	13.434%	0.21607	0.994
SP124365	740	0.993	139.116	18.799%	21.875	12.088%	0.0813	0.992
SP124420	619	0.993	103.383	16.702%	16.357	11.399%	0.06068	0.992
SP124364	1785	0.994	289.677	16.228%	47.505	11.257%	0.03682	0.993
SP124307	745	0.994	153.564	20.613%	25.213	12.051%	0.10249	0.993
SP82445	1738	0.997	239.303	13.769%	44.701	7.849%	0.03322	0.997
SP83242	515	0.989	122.344	23.756%	19.622	14.755%	0.11806	0.987
SP103894	4732	1.0	233.29	4.93%	41.439	2.413%	0.01027	1.0
SP83382	612	0.987	122.176	19.963%	22.732	16.118%	0.07577	0.983
SP82451	672	0.994	109.96	16.363%	17.665	10.895%	0.0545	0.993
SP104330	81	0.867	53.813	66.436%	11.288	52.012%	0.62981	0.841
SP83312	484	0.989	116.431	24.056%	22.342	18.153%	0.11472	0.988
SP82614	543	0.988	114.137	21.02%	19.656	15.226%	0.08099	0.985
SP82431	2061	0.996	323.29	15.686%	64.882	11.503%	0.05422	0.995
SP82459	444	0.985	122.741	27.644%	19.911	17.485%	0.10639	0.982
SP113197	178	0.969	71.401	40.113%	11.389	25.24%	0.26396	0.962
SP82532	1006	0.992	219.006	21.77%	36.526	13.728%	0.08095	0.991
SP82636	394	0.991	99.884	25.351%	16.225	14.104%	0.12253	0.99
SP82796	416	0.988	100.102	24.063%	17.082	15.591%	0.12457	0.985
SP83482	420	0.987	99.154	23.608%	16.25	16.62%	0.09305	0.983
SP104530	1284	0.997	222.422	17.323%	44.662	9.983%	0.06169	0.997
SP82429	353	0.985	84.126	23.832%	14.425	18.438%	0.11413	0.981
SP82644	1142	0.996	188.37	16.495%	35.817	10.595%	0.06312	0.995
SP82988	479	0.99	107.671	22.478%	18.805	14.386%	0.11102	0.988
SP82461	742	0.994	116.811	15.743%	19.539	10.964%	0.04133	0.993
SP82900	949	0.992	150.736	15.884%	26.915	12.945%	0.04876	0.989
SP82399	805	0.989	191.022	23.729%	33.055	17.656%	0.08935	0.987
SP82756	226	0.925	103.04	45.593%	18.863	40.345%	0.29648	0.899
SP82836	426	0.988	111.931	26.275%	20.137	15.583%	0.11553	0.987
SP82417	789	0.996	158.037	20.03%	29.104	10.953%	0.10555	0.996
SP82471	465	0.994	138.587	29.804%	32.387	16.571%	0.18784	0.994
SP82435	249	0.989	85.623	34.387%	13.501	16.12%	0.23569	0.987
SP104056	2464	0.998	216.991	8.806%	40.722	6.142%	0.02109	0.998
SP83083	594	0.995	98.066	16.509%	16.019	10.048%	0.07135	0.994
SP82433	399	0.983	123.031	30.835%	21.168	21.928%	0.13486	0.98
SP82780	390	0.99	82.59	21.177%	13.74	14.134%	0.08787	0.988
SP83019	619	0.992	165.933	26.807%	31.035	17.649%	0.15388	0.991
SP83099	245	0.973	93.667	38.231%	15.333	24.174%	0.23452	0.968
SP83146	1700	0.995	221.598	13.035%	42.732	9.576%	0.02963	0.994
SP103866	673	0.991	141.823	21.073%	24.728	13.826%	0.08699	0.989
SP83844	533	0.991	108.515	20.359%	20.678	14.981%	0.11706	0.99
SP83027	230	0.987	78.269	34.03%	12.869	17.761%	0.21574	0.985
CPCT02060044T	906	0.991	140.978	15.56%	25.884	13.385%	0.05095	0.988
CPCT02030247T	450	0.986	102.25	22.722%	17.034	16.893%	0.08329	0.981
CPCT02050043T	302	0.991	84.659	28.033%	13.773	13.444%	0.15443	0.991
CPCT02020342T	647	0.99	144.836	22.386%	24.807	15.486%	0.07759	0.988
CPCT02010371T	620	0.992	107.485	17.336%	17.781	12.73%	0.05112	0.99
CPCT02030256T	264	0.982	70.349	26.647%	10.883	19.203%	0.13956	0.975
CPCT02050045T	831	0.994	135.852	16.348%	21.788	11.194%	0.04824	0.992
CPCT02050047T	599	0.994	174.999	29.215%	31.849	13.449%	0.15645	0.994
CPCT02010393T	1245	0.994	182.718	14.676%	33.414	11.371%	0.03152	0.992
CPCT02020358T	311	0.984	78.961	25.389%	12.665	17.764%	0.11581	0.979
CPCT02090002T	819	0.993	155.997	19.047%	23.915	12.168%	0.07161	0.991
CPCT02010403T	148	0.961	65.333	44.144%	10.115	29.648%	0.28424	0.952
CPCT02030272T	616	0.992	108.649	17.638%	17.673	12.597%	0.05702	0.99
CPCT02020373T	590	0.99	128.747	21.822%	19.997	14.522%	0.06598	0.987
CPCT02050052T	637	0.986	134.161	21.061%	20.529	16.732%	0.07459	0.979
CPCT02030270T	294	0.987	73.385	24.961%	11.787	16.031%	0.13426	0.984
CPCT02050056T	636	0.99	135.067	21.237%	23.73	14.909%	0.08417	0.988
CPCT02050055T	873	0.994	154.534	17.701%	23.309	11.05%	0.06296	0.992
CPCT02030279T	330	0.98	109.057	33.048%	16.753	22.284%	0.14759	0.975
CPCT02020320T	811	0.993	144.727	17.845%	23.304	12.106%	0.04991	0.991
CPCT02060037T	128	0.938	61.013	47.666%	9.793	34.667%	0.297	0.917
CPCT02100033T	278	0.99	69.143	24.872%	10.463	15.093%	0.12161	0.987
CPCT02010436T	651	0.992	125.247	19.239%	20.514	13.652%	0.05902	0.991
CPCT02010439T	401	0.989	82.368	20.541%	13.2	14.614%	0.08198	0.986
CPCT02060043T	590	0.995	158.423	26.851%	25.129	13.03%	0.09926	0.995
CPCT02030284T	706	0.995	110.029	15.585%	18.02	10.04%	0.05523	0.994
CPCT02020410T	559	0.994	98.082	17.546%	16.491	10.831%	0.06318	0.993
CPCT02020408T	596	0.995	87.026	14.602%	13.814	10.4%	0.04324	0.993
CPCT02030291T	1308	0.995	260.867	19.944%	46.59	12.729%	0.05995	0.995
CPCT02050079T	177	0.971	72.956	41.218%	11.919	26.97%	0.25842	0.966
CPCT02050073T	379	0.985	86.792	22.9%	14.137	17.283%	0.08706	0.98
CPCT02220001T	280	0.988	79.907	28.538%	13.304	16.545%	0.16067	0.986
CPCT02010440T	394	0.991	82.73	20.997%	12.273	13.777%	0.07817	0.988
CPCT02011020T	1259	0.994	190.591	15.138%	28.701	10.704%	0.03667	0.992
CPCT02340050T	1203	0.998	172.182	14.313%	27.93	6.037%	0.04701	0.998
CPCT02080280T	789	0.987	173.889	22.039%	31.503	16.938%	0.08287	0.983
CPCT02080282T	569	0.994	95.567	16.796%	14.161	10.944%	0.04924	0.993
CPCT02060163T	186	0.975	62.873	33.803%	11.535	22.561%	0.19994	0.97
CPCT02011025T	687	0.991	129.558	18.859%	19.706	13.11%	0.05886	0.989
CPCT02010754TII	665	0.983	161.826	24.335%	27.868	19.603%	0.09612	0.977
CPCT02010716T	1329	0.997	159.614	12.01%	27.26	7.443%	0.03635	0.997
CPCT02170039T	313	0.981	86.518	27.642%	14.31	19.393%	0.13456	0.976
CPCT02080284T	144	0.962	59.84	41.556%	9.758	28.192%	0.26031	0.953
CPCT02030555T	677	0.99	145.062	21.427%	23.066	14.065%	0.06734	0.988
CPCT02011037T	1129	0.998	129.803	11.497%	20.274	6.561%	0.03111	0.997
CPCT02120180T	393	0.985	92.243	23.472%	15.222	17.101%	0.09595	0.981
CPCT02050304T	2688	0.997	275.771	10.259%	49.391	8.255%	0.01524	0.996
CPCT02020895T	420	0.99	106.716	25.409%	17.068	14.143%	0.09569	0.989
CPCT02090032T	833	0.958	235.161	28.231%	49.151	28.967%	0.08308	0.94
CPCT02020662T	400	0.989	89.522	22.38%	13.488	14.791%	0.07961	0.986
