Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP53460	1190	0.995	167.759	14.097%	33.323	10.379%	0.03481	0.994
SP50827	1926	0.998	178.056	9.245%	29.527	6.333%	0.01753	0.997
SP50263	520	0.995	105.643	20.316%	16.791	9.817%	0.06887	0.995
SP50317	530	0.992	99.648	18.802%	17.646	12.394%	0.06751	0.991
SP54113	3873	0.999	257.044	6.637%	41.948	3.912%	0.01019	0.999
SP50406	13	0.508	18.015	138.577%	3.966	86.545%	1.99465	0.425
SP51824	910	0.996	115.895	12.736%	19.808	9.235%	0.03331	0.995
SP55387	266	0.986	61.756	23.217%	12.192	17.123%	0.0992	0.983
SP52779	1608	0.997	167.342	10.407%	31.083	7.958%	0.02023	0.996
SP55235	3234	0.997	274.656	8.493%	59.416	7.145%	0.01473	0.997
SP50713	442	0.99	89.803	20.317%	15.007	14.178%	0.08069	0.988
SP50611	1893	0.999	146.52	7.74%	28.028	5.427%	0.01581	0.998
SP50485	155	0.972	52.412	33.814%	9.194	23.668%	0.20365	0.965
SP51037	231	0.996	54.505	23.595%	9.554	9.93%	0.1163	0.996
SP55142	5828	0.999	360.897	6.192%	67.596	4.788%	0.01033	0.999
SP53387	1303	0.996	156.532	12.013%	28.943	9.508%	0.02613	0.994
SP54745	1100	0.994	160.826	14.621%	30.067	11.396%	0.03895	0.993
SP52284	435	0.996	82.515	18.969%	13.49	8.789%	0.07923	0.996
SP53618	2328	0.998	178.682	7.675%	33.095	5.527%	0.01475	0.998
SP52232	934	0.996	125.589	13.446%	22.606	8.842%	0.0404	0.995
SP50412	119	0.963	50.705	42.609%	8.217	27.874%	0.2599	0.955
SP50321	597	0.991	99.44	16.657%	17.288	13.018%	0.0537	0.989
SP53548	259	0.989	66.165	25.546%	11.823	14.72%	0.13428	0.988
SP55004	21	0.852	17.81	84.81%	3.355	52.396%	0.86327	0.828
SP56079	1503	0.997	153.055	10.183%	30.131	7.259%	0.02208	0.997
SP56168	597	0.995	83.98	14.067%	14.661	10.457%	0.04018	0.993
SP54363	1511	0.996	181.79	12.031%	32.741	8.424%	0.02571	0.996
SP53810	5442	0.998	545.415	10.022%	109.071	6.861%	0.01483	0.997
SP50518	402	0.992	97.799	24.328%	15.687	12.556%	0.08087	0.991
SP56303	804	0.994	144.856	18.017%	23.031	11.495%	0.05381	0.992
SP55711	426	0.991	104.378	24.502%	17.361	13.527%	0.10295	0.989
SP55509	2177	0.998	171.564	7.881%	32.937	5.528%	0.01643	0.998
SP55309	69	0.89	41.517	60.17%	6.31	45.658%	0.45106	0.839
SP52607	124	0.972	44.679	36.031%	7.335	23.975%	0.22583	0.965
SP52667	1180	0.998	124.699	10.568%	19.984	6.488%	0.03017	0.997
SP51446	409	0.995	83.085	20.314%	12.833	9.631%	0.08999	0.995
SP50592	341	0.994	66.281	19.437%	12.105	11.528%	0.09759	0.993
SP53073	889	0.992	166.187	18.694%	27.671	13.163%	0.0623	0.989
SP56638	1509	0.998	141.062	9.348%	24.669	6.718%	0.02386	0.997
SP56537	1733	0.998	151.614	8.749%	26.647	6.106%	0.02132	0.998
SP57586	1309	0.996	157.792	12.054%	27.773	9.036%	0.03074	0.995
SP56541	1478	0.998	133.16	9.009%	23.215	6.508%	0.02012	0.997
SP56553	2824	0.998	234.309	8.297%	39.195	5.523%	0.01737	0.998
SP56771	788	0.997	129.058	16.378%	19.257	7.815%	0.06214	0.997
SP57941	2831	0.995	264.89	9.357%	72.933	10.299%	0.01988	0.993
SP57818	2049	0.998	171.144	8.353%	30.955	6.273%	0.01645	0.998
SP56460	1387	0.999	152.45	10.991%	23.723	5.044%	0.02612	0.999
SP56474	769	0.997	114.613	14.904%	19.475	7.712%	0.05965	0.997
SP56704	2180	0.998	200.06	9.177%	35.337	6.343%	0.01764	0.998
SP56533	1105	0.995	149.566	13.535%	25.993	10.128%	0.0323	0.993
SP56730	1696	0.999	143.791	8.478%	22.653	5.261%	0.02366	0.998
