Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP117956	127	0.939	55.531	43.725%	8.748	34.77%	0.26691	0.912
SP117975	88	0.956	39.283	44.64%	7.003	29.436%	0.32869	0.947
SP2149	608	0.995	87.181	14.339%	15.813	10.109%	0.06292	0.994
SP117113	209	0.994	53.667	25.678%	11.152	10.789%	0.15737	0.994
SP117245	159	0.968	52.532	33.039%	8.56	25.612%	0.16232	0.956
SP117402	120	0.971	45.822	38.185%	7.08	24.877%	0.25084	0.963
SP117136	152	0.99	47.623	31.331%	7.991	14.109%	0.18797	0.989
SP117378	141	0.979	47.911	33.979%	8.031	20.606%	0.19279	0.975
SP116947	154	0.977	46.183	29.989%	7.451	21.385%	0.14101	0.97
SP117369	157	0.991	47.805	30.449%	7.337	13.703%	0.16595	0.99
SP117244	104	0.993	37.459	36.018%	5.314	11.871%	0.26963	0.993
SP117162	126	0.972	43.018	34.141%	6.646	23.616%	0.23594	0.964
SP117079	128	0.949	62.834	49.089%	10.575	33.112%	0.34218	0.938
SP117344	576	0.994	94.768	16.453%	16.541	11.105%	0.06245	0.992
SP118074	480	0.997	89.645	18.676%	15.213	8.119%	0.07672	0.996
SP117598	541	0.988	98.052	18.124%	18.215	15.497%	0.06322	0.984
SP117312	120	0.967	49.554	41.295%	8.693	25.792%	0.24587	0.961
SP118038	140	0.986	52.021	37.158%	8.732	16.743%	0.23952	0.985
SP117552	91	0.971	37.815	41.555%	6.255	24.478%	0.28302	0.966
SP118073	152	0.982	55.969	36.822%	9.599	19.877%	0.19706	0.98
SP117933	84	0.96	42.457	50.544%	6.797	29.035%	0.30649	0.953
SP118012	153	0.962	56.435	36.886%	9.498	28.368%	0.17871	0.951
SP117108	124	0.986	41.751	33.67%	7.31	16.806%	0.23679	0.984
SP117812	109	0.971	37.584	34.481%	5.941	23.879%	0.21101	0.963
SP117354	242	0.99	58.801	24.298%	8.638	14.072%	0.12016	0.988
SP117370	144	0.989	47.96	33.306%	8.21	14.964%	0.22298	0.988
SP116991	173	0.983	51.526	29.784%	8.49	18.719%	0.14666	0.98
SP117629	606	0.993	113.274	18.692%	20.387	12.171%	0.06139	0.991
SP124199	186	0.987	57.187	30.746%	9.635	15.939%	0.15265	0.986
SP124195	192	0.995	54.033	28.142%	8.028	10.137%	0.15334	0.995
SP117850	126	0.976	44.563	35.367%	6.793	21.722%	0.20944	0.97
SP117127	137	0.991	40.221	29.358%	6.479	13.638%	0.14409	0.99
SP117614	179	0.964	60.353	33.717%	9.267	26.652%	0.15349	0.947
SP116948	292	0.994	73.171	25.059%	11.615	11.315%	0.10339	0.994
SP117409	728	0.99	128.755	17.686%	25.066	14.046%	0.05103	0.988
SP117593	147	0.979	47.966	32.63%	7.361	20.615%	0.18198	0.973
SP117372	143	0.947	64.984	45.443%	11.372	32.36%	0.31005	0.934
SP118077	168	0.972	51.993	30.948%	8.718	23.959%	0.16162	0.962
SP117840	201	0.99	63.7	31.692%	11.035	14.397%	0.20148	0.989
