Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP24708	425	0.992	98.194	23.104%	14.872	13.053%	0.09645	0.991
SP24301	641	0.996	106.204	16.568%	16.819	9.163%	0.05881	0.995
SP27201	497	0.994	94.855	19.086%	15.15	10.879%	0.08271	0.993
SP28791	167	0.979	55.917	33.483%	9.002	20.401%	0.21769	0.975
SP23739	253	0.99	55.189	21.814%	8.591	14.076%	0.10699	0.988
SP24702	483	0.996	87.291	18.073%	14.381	9.359%	0.07561	0.995
SP25332	154	0.961	58.124	37.743%	10.253	27.741%	0.22151	0.95
SP28335	312	0.988	66.383	21.277%	10.179	15.537%	0.09516	0.983
SP26709	232	0.994	59.593	25.687%	9.501	11.166%	0.13513	0.993
SP25350	443	0.986	98.814	22.306%	16.289	16.699%	0.0802	0.982
SP25380	504	0.993	103.917	20.618%	16.067	11.802%	0.0787	0.992
SP24565	237	0.974	75.187	31.724%	12.017	23.765%	0.14736	0.965
SP25833	411	0.993	78.567	19.116%	13.565	11.548%	0.07391	0.992
SP25905	208	0.982	58.664	28.204%	8.822	19.097%	0.11831	0.976
SP26439	161	0.981	47.838	29.713%	7.511	19.361%	0.18064	0.976
SP24236	603	0.989	126.304	20.946%	24.149	14.695%	0.07921	0.987
SP23925	1757	0.997	175.447	9.986%	34.195	7.852%	0.01799	0.996
SP24815	576	0.992	120.998	21.007%	19.314	13.353%	0.07063	0.99
SP27957	375	0.985	98.834	26.356%	17.302	17.594%	0.11431	0.982
SP27603	379	0.981	107.136	28.268%	17.0	19.636%	0.1189	0.976
SP27825	518	0.995	93.419	18.035%	13.827	10.368%	0.07136	0.994
SP24135	1064	0.992	170.385	16.014%	27.107	13.063%	0.04166	0.988
SP26499	249	0.989	59.363	23.841%	9.544	15.089%	0.11312	0.987
SP25518	557	0.992	101.378	18.201%	18.74	12.353%	0.06068	0.991
SP28659	1191	0.994	148.641	12.48%	27.563	11.345%	0.0295	0.991
SP23622	392	0.99	76.701	19.567%	12.894	13.93%	0.08433	0.988
SP27939	316	0.992	66.463	21.033%	9.991	13.114%	0.09716	0.99
SP23754	129	0.96	53.742	41.66%	9.105	28.412%	0.22777	0.95
SP29697	313	0.991	73.333	23.429%	11.682	13.176%	0.10229	0.99
SP27339	312	0.991	65.331	20.939%	10.494	13.644%	0.10276	0.988
SP29559	814	0.993	125.359	15.4%	21.221	11.841%	0.04455	0.991
SP29331	453	0.99	92.311	20.378%	15.111	13.801%	0.07933	0.988
SP26475	407	0.995	77.191	18.966%	12.299	10.082%	0.07838	0.994
SP23775	1020	0.991	169.827	16.65%	28.117	13.698%	0.04401	0.987
SP28275	288	0.986	71.02	24.66%	10.629	16.752%	0.10339	0.982
SP28581	421	0.993	83.54	19.843%	13.057	11.654%	0.08061	0.992
SP23639	473	0.987	109.479	23.146%	18.429	15.976%	0.08538	0.984
SP24391	426	0.992	87.953	20.646%	14.282	12.997%	0.08561	0.991
SP28041	537	0.996	84.913	15.812%	13.956	8.766%	0.05836	0.996
SP25494	1956	0.996	212.39	10.858%	35.315	8.804%	0.02168	0.995
SP26649	436	0.987	86.432	19.824%	16.214	15.81%	0.06053	0.984
SP78927	63	0.994	23.567	37.408%	4.412	11.396%	0.42905	0.994
SP78913	51	0.975	26.405	51.775%	4.267	22.094%	0.47349	0.973
SP107375	195	0.994	48.772	25.011%	8.075	12.068%	0.12096	0.993
SP107408	320	0.999	59.405	18.564%	8.958	5.345%	0.11398	0.999
SP107439	287	0.993	60.641	21.129%	14.145	14.848%	0.07899	0.993
SP78816	44	0.995	17.091	38.843%	3.144	11.102%	0.40731	0.994
SP78663	211	0.998	58.395	27.675%	11.594	9.772%	0.16147	0.998
SP78709	131	0.999	32.199	24.579%	5.755	6.95%	0.15525	0.999
