Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP111062	1067	0.991	614.067	57.551%	210.82	46.954%	1.27923	0.994
SP111006	2549	0.993	1092.676	42.867%	339.238	33.681%	0.29816	0.995
SP110846	675	0.978	446.645	66.17%	124.765	58.753%	0.74634	0.985
SP111086	2143	0.997	472.427	22.045%	101.458	12.882%	0.07969	0.997
SP111096	1077	0.994	554.235	51.461%	185.066	38.789%	1.7846	0.996
SP111021	2	0.773	2.528	126.4%	0.991	70.074%	1.00001	0.773
SP111058	2336	0.997	413.504	17.701%	73.94	8.349%	0.06798	0.997
SP111092	2507	0.989	1037.316	41.377%	297.345	31.538%	0.24698	0.99
SP111076	1898	0.997	696.195	36.68%	235.728	25.478%	1.21832	0.998
SP111098	1275	0.987	818.715	64.213%	277.086	53.152%	2.59577	0.99
SP111039	253	0.957	133.075	52.599%	24.792	38.742%	0.32782	0.954
SP111052	120	0.952	63.522	52.935%	10.493	35.698%	0.45882	0.944
SP111166	2278	0.992	1159.824	50.914%	420.171	40.816%	2.38983	0.994
SP111014	270	0.976	114.451	42.389%	21.717	25.164%	0.26936	0.973
SP111066	2370	0.997	359.21	15.157%	77.467	7.815%	0.05766	0.997
SP111094	1717	0.986	820.511	47.787%	229.574	39.894%	0.27402	0.99
SP111015	603	0.979	262.764	43.576%	62.089	30.073%	0.37225	0.979
SP110853	1397	0.977	649.926	46.523%	155.158	34.899%	0.38559	0.978
SP111051	841	0.992	338.461	40.245%	98.463	29.098%	0.70925	0.993
SP110855	1538	0.994	537.917	34.975%	119.895	21.429%	0.15445	0.994
SP111004	1586	0.993	866.439	54.63%	314.033	44.005%	1.16711	0.996
SP111078	418	0.992	148.374	35.496%	30.094	18.767%	0.21252	0.992
SP110863	930	0.987	326.005	35.054%	74.706	23.884%	0.27452	0.987
SP111013	844	0.986	526.861	62.424%	182.869	53.42%	1.84908	0.989
SP111042	89	0.949	60.062	67.485%	12.901	49.007%	1.48926	0.949
SP111040	584	0.979	371.128	63.549%	116.796	55.075%	2.33673	0.983
SP111031	3259	0.997	1152.181	35.354%	403.495	24.754%	1.3977	0.998
SP23496	1021	0.981	733.255	71.817%	252.41	64.677%	2.93896	0.987
SP111030	542	0.97	290.951	53.681%	68.768	42.891%	0.34238	0.971
SP111019	471	0.958	228.26	48.463%	39.721	32.924%	0.3394	0.952
SP111026	1552	0.996	366.647	23.624%	74.331	12.391%	0.08265	0.996
SP110860	1915	0.99	1053.335	55.004%	383.035	46.813%	2.43159	0.993
SP110851	1598	0.99	984.334	61.598%	361.432	53.725%	1.6791	0.993
SP111059	1415	0.986	955.019	67.493%	329.635	60.089%	1.93327	0.991
SP111170	2302	0.992	1234.266	53.617%	427.383	43.06%	1.70683	0.994
SP111054	1564	0.994	463.865	29.659%	103.636	16.57%	0.15499	0.995
SP111033	1869	0.997	653.438	34.962%	227.389	24.864%	1.07115	0.998
SP111113	3007	0.993	833.77	27.728%	207.171	16.097%	0.25314	0.993
SP110865	3052	0.982	1180.45	38.678%	302.093	31.966%	0.26813	0.983
SP111061	1157	0.987	710.826	61.437%	248.823	53.285%	2.4497	0.991
SP111101	2163	0.999	306.217	14.157%	56.928	5.449%	0.06893	0.999
SP110859	1359	0.991	829.234	61.018%	304.923	51.447%	1.91187	0.994
SP111168	524	0.978	311.355	59.419%	84.86	49.885%	1.32339	0.983
SP111067	737	0.983	549.439	74.551%	199.632	68.159%	1.83233	0.988
SP111036	1269	0.997	489.17	38.548%	165.849	27.183%	1.04665	0.998
SP111116	2198	0.996	872.878	39.712%	299.627	28.631%	1.47495	0.998
SP111099	1474	0.992	746.474	50.643%	233.215	40.804%	0.42398	0.995
SP23502	2274	0.995	518.366	22.795%	97.476	11.621%	0.09299	0.995
SP111069	1868	0.996	710.741	38.048%	215.321	26.674%	0.25646	0.997
SP111043	2592	0.986	1669.907	64.425%	583.569	56.774%	2.77929	0.99
SP111024	1669	0.992	861.629	51.625%	314.393	42.954%	2.23934	0.995
SP111011	1422	0.989	500.513	35.198%	100.234	20.686%	0.16139	0.989
SP111082	1827	0.995	714.172	39.09%	226.007	29.621%	0.28995	0.996
SP111074	1065	0.988	412.512	38.734%	95.653	25.373%	0.27717	0.989
SP110845	1167	0.997	271.77	23.288%	58.735	12.918%	0.09882	0.997
SP110857	1129	0.995	536.007	47.476%	190.285	36.756%	1.33768	0.997
SP111017	1610	0.994	789.966	49.066%	276.946	38.926%	1.99163	0.996
SP111080	344	0.978	202.862	58.972%	56.666	49.903%	0.97133	0.982
SP23506	617	0.978	407.967	66.121%	138.554	62.556%	1.03843	0.983
SP111075	1291	0.992	652.774	50.563%	205.0	39.252%	0.43244	0.995
SP111112	1264	0.99	748.93	59.251%	254.19	47.858%	2.15569	0.993
SP111001	2639	0.983	1665.716	63.119%	583.402	54.921%	3.31055	0.987
SP111027	279	0.978	123.707	44.339%	22.953	26.767%	0.32627	0.977
SP111117	1970	0.996	921.201	46.761%	323.53	34.08%	1.56748	0.997
SP110842	2105	0.991	1082.534	51.427%	380.096	41.345%	2.39771	0.993
SP111173	2200	0.994	510.512	23.205%	105.268	11.204%	0.2077	0.994
SP111008	1517	0.992	764.979	50.427%	272.844	39.961%	1.50582	0.994
SP111070	1820	0.995	883.454	48.541%	292.645	35.385%	1.08863	0.997
SP110847	1726	0.998	554.655	32.135%	188.038	20.533%	1.05644	0.998
SP111077	2050	0.989	783.743	38.231%	186.973	24.044%	0.29704	0.989
SP111091	639	0.971	240.238	37.596%	45.901	27.716%	0.19693	0.966
SP111072	1024	0.994	530.57	51.813%	178.218	39.362%	1.43203	0.996
SP111084	1129	0.986	392.9	34.801%	82.014	22.752%	0.17032	0.985
SP23504	500	0.972	441.376	88.275%	171.712	90.826%	2.72571	0.98
SP23500	389	0.987	148.819	38.257%	29.689	24.042%	0.19287	0.987
SP111029	297	0.951	225.16	75.811%	65.994	76.423%	2.72347	0.959
SP111175	4567	0.995	1477.881	32.36%	467.365	23.715%	0.22625	0.996
SP111049	1741	0.995	803.783	46.168%	290.698	36.025%	1.24353	0.997
SP23498	1778	0.993	926.655	52.118%	320.271	41.369%	1.54359	0.995
SP111002	392	0.984	192.708	49.16%	42.502	31.923%	0.36056	0.985
SP110866	1228	0.996	332.251	27.056%	78.126	14.91%	0.21595	0.996
SP111035	2576	0.996	939.041	36.453%	336.135	26.566%	1.88299	0.997
SP111009	1560	0.991	889.005	56.988%	293.91	43.482%	2.20547	0.993
SP111114	3627	0.995	1405.318	38.746%	491.886	28.132%	2.08315	0.996
SP111000	1840	0.996	705.729	38.355%	250.771	27.659%	1.91192	0.997
SP111045	2216	0.997	855.646	38.612%	291.517	27.352%	1.1712	0.998
SP110861	1140	0.979	873.164	76.593%	325.963	74.019%	2.74424	0.986
SP111047	1381	0.98	1037.108	75.098%	359.659	68.813%	1.89777	0.986
